Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
KCK,7865,1985.0,Otis Thorpe,PF,22.0,82.0,23.0,1918.0,16.6,0.62,0.003,0.542,11.2,21.8,16.5,8.1,0.8,1.1,18.1,21.3,,2.8,1.3,4.0,0.1,,0.7,-1.1,-0.4,0.8,411.0,685.0,0.6,0.0,2.0,0.0,411.0,683.0,0.602,0.6,230.0,371.0,0.62,187.0,369.0,556.0,111.0,34.0,37.0,187.0,256.0,1052.0
HOU,12238,1995.0,Otis Thorpe,PF,32.0,82.0,82.0,3135.0,17.2,0.619,0.01,0.491,11.5,21.7,16.6,12.8,1.2,0.8,17.1,19.7,,5.8,4.9,10.4,0.16399999999999998,,1.8,1.7,2.6,3.5,558.0,998.0,0.5920000000000001,3.0,10.0,0.429,558.0,988.0,0.596,0.5920000000000001,334.0,480.0,0.7290000000000001,287.0,599.0,870.0,261.0,82.0,37.0,237.0,307.0,1435.0
POR,12239,1995.0,Otis Thorpe,PF,32.0,34.0,0.0,908.0,18.6,0.598,0.013000000000000001,0.489,10.6,19.2,14.7,9.6,1.1,1.2,12.8,20.4,,2.1,1.2,3.3,0.174,,1.3,0.3,1.6,0.8,179.0,315.0,0.568,0.0,4.0,0.0,179.0,311.0,0.5760000000000001,0.568,100.0,154.0,0.649,89.0,147.0,236.0,54.0,19.0,15.0,56.0,122.0,458.0
DET,13354,1997.0,Otis Thorpe,PF,34.0,82.0,82.0,2841.0,16.1,0.573,0.005,0.424,10.8,19.6,14.6,10.1,1.3,1.1,16.2,20.3,,4.5,4.1,7.9,0.142,,0.4,1.1,0.9,1.9,452.0,853.0,0.532,0.0,4.0,0.0,452.0,849.0,0.534,0.532,257.0,362.0,0.71,226.0,477.0,688.0,158.0,59.0,39.0,195.0,300.0,1161.0
SAC,13895,1998.0,Otis Thorpe,PF,35.0,82.0,82.0,3072.0,18.7,0.617,0.005,0.517,9.8,21.0,15.1,16.1,1.5,1.2,17.0,22.6,,6.8,2.1,9.0,0.146,,2.2,0.5,2.0,3.1,622.0,1226.0,0.5870000000000001,0.0,6.0,0.0,622.0,1220.0,0.5870000000000001,0.5870000000000001,460.0,609.0,0.7609999999999999,279.0,560.0,837.0,266.0,62.0,60.0,228.0,292.0,1704.0
TOT,13893,1998.0,Otis Thorpe,PF,35.0,74.0,66.0,2197.0,16.4,0.5820000000000001,0.01,0.413,11.1,20.1,15.2,16.3,1.1,1.0,17.2,19.5,,3.2,2.4,5.6,0.129,,0.0,0.1,0.0,1.1,385.0,681.0,0.565,0.0,7.0,0.0,385.0,674.0,0.5710000000000001,0.565,167.0,281.0,0.6829999999999999,202.0,386.0,558.0,222.0,48.0,30.0,152.0,238.0,937.0
VAN,13894,1998.0,Otis Thorpe,PF,35.0,47.0,46.0,1574.0,13.0,0.523,0.009000000000000001,0.395,7.3,19.7,13.6,16.3,1.0,1.0,18.6,17.5,,0.9,0.4,1.4,0.040999999999999995,,-1.0,-0.1,-1.1,0.4,205.0,430.0,0.47700000000000004,0.0,4.0,0.0,205.0,426.0,0.48100000000000004,0.47700000000000004,118.0,170.0,0.6940000000000001,100.0,271.0,371.0,161.0,30.0,23.0,115.0,158.0,528.0
WAS,14413,1999.0,Otis Thorpe,PF,36.0,49.0,38.0,1539.0,15.0,0.569,0.005,0.24100000000000002,7.1,18.5,12.7,11.4,1.5,0.9,15.3,17.2,,2.3,1.4,3.7,0.11599999999999999,,0.5,0.9,1.4,1.3,240.0,440.0,0.545,0.0,2.0,0.0,240.0,438.0,0.5479999999999999,0.545,74.0,106.0,0.698,96.0,238.0,334.0,101.0,42.0,19.0,88.0,196.0,554.0
MIA,14918,2000.0,Otis Thorpe,PF,37.0,51.0,1.0,777.0,11.1,0.528,0.012,0.198,8.8,15.6,12.4,7.2,1.8,0.8,18.3,19.4,,0.0,1.1,1.1,0.069,,-2.9,0.0,-2.9,-0.2,125.0,243.0,0.514,0.0,3.0,0.0,125.0,240.0,0.521,0.514,29.0,48.0,0.604,56.0,110.0,166.0,33.0,26.0,9.0,59.0,136.0,279.0
CHH,15456,2001.0,Otis Thorpe,PF,38.0,49.0,4.0,647.0,7.6,0.48700000000000004,0.0,0.183,8.9,16.7,12.8,7.3,1.0,0.8,18.4,12.4,,0.1,0.8,1.0,0.071,,-4.1,0.2,-3.9,-0.3,59.0,131.0,0.45,0.0,0.0,,59.0,131.0,0.45,0.45,20.0,24.0,0.833,50.0,95.0,145.0,29.0,12.0,7.0,32.0,108.0,138.0
