Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,20605,2011.0,Rasual Butler,SG,31.0,6.0,0.0,26.0,14.5,0.727,0.636,0.0,0.0,4.4,2.3,0.0,0.0,0.0,15.4,23.0,,0.0,0.0,0.1,0.107,,1.2,-6.1,-4.9,0.0,6.0,11.0,0.545,4.0,7.0,0.5710000000000001,2.0,4.0,0.5,0.727,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,16.0
IND,22357,2014.0,Rasual Butler,SG,34.0,50.0,2.0,378.0,12.2,0.585,0.564,0.127,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,,0.5,0.6,1.1,0.138,,-0.6,-0.3,-0.9,0.1,51.0,110.0,0.46399999999999997,26.0,62.0,0.419,25.0,48.0,0.521,0.5820000000000001,8.0,14.0,0.5710000000000001,6.0,35.0,41.0,17.0,7.0,9.0,11.0,30.0,136.0
LAC,20604,2011.0,Rasual Butler,SG,31.0,82.0,64.0,2702.0,10.7,0.524,0.5710000000000001,0.16699999999999998,1.7,10.3,6.0,6.8,0.7,1.9,8.5,17.0,,1.8,0.9,2.7,0.048,,-0.4,-1.1,-1.6,0.3,356.0,870.0,0.409,145.0,432.0,0.336,211.0,438.0,0.48200000000000004,0.493,122.0,145.0,0.841,39.0,201.0,240.0,116.0,36.0,68.0,79.0,121.0,979.0
MIA,17165,2005.0,Rasual Butler,SG,25.0,72.0,28.0,1514.0,14.0,0.586,0.43200000000000005,0.182,2.1,12.7,7.3,11.4,0.8,2.2,11.1,21.6,,1.0,1.4,1.7,0.113,,0.2,-0.4,-2.2,0.0,207.0,572.0,0.47600000000000003,57.0,171.0,0.46299999999999997,157.0,401.0,0.486,0.5760000000000001,76.0,104.0,0.7709999999999999,29.0,157.0,186.0,93.0,21.0,43.0,77.0,105.0,540.0
NOH,19431,2009.0,Rasual Butler,SF,29.0,82.0,74.0,2614.0,11.8,0.541,0.512,0.13699999999999998,2.3,11.5,6.7,5.9,1.1,2.0,6.5,16.8,,2.2,2.4,4.6,0.084,,-0.3,-0.2,-0.5,1.0,348.0,803.0,0.433,140.0,359.0,0.39,208.0,444.0,0.46799999999999997,0.521,86.0,110.0,0.8390000000000001,49.0,222.0,271.0,75.0,51.0,61.0,59.0,159.0,922.0
NOK,18300,2007.0,Rasual Butler,SF,27.0,81.0,38.0,2223.0,10.8,0.501,0.461,0.18,3.2,11.8,7.4,4.7,1.0,2.0,8.7,18.6,,0.8,1.8,2.6,0.055999999999999994,,-1.0,-0.8,-1.7,0.2,314.0,788.0,0.406,134.0,363.0,0.38,180.0,425.0,0.424,0.484,79.0,114.0,0.693,51.0,214.0,256.0,63.0,40.0,54.0,67.0,148.0,818.0
SAS,23595,2016.0,Rasual Butler,SF,36.0,46.0,0.0,432.0,13.4,0.5579999999999999,0.47100000000000003,0.154,0.8,13.5,7.4,7.7,1.5,4.1,6.7,12.6,,0.4,0.9,1.3,0.146,,-0.9,2.7,1.8,0.4,49.0,104.0,0.47100000000000003,15.0,49.0,0.306,34.0,55.0,0.618,0.5429999999999999,11.0,16.0,0.688,3.0,53.0,56.0,24.0,13.0,23.0,8.0,11.0,124.0
TOR,21201,2012.0,Rasual Butler,SF,32.0,34.0,14.0,453.0,4.8,0.39799999999999996,0.579,0.09,1.6,15.4,8.5,6.8,0.8,0.9,9.8,15.9,,-0.6,0.4,-0.2,-0.022000000000000002,,-4.2,-1.3,-5.5,-0.4,41.0,133.0,0.308,21.0,77.0,0.273,20.0,56.0,0.35700000000000004,0.387,7.0,12.0,0.583,6.0,60.0,66.0,19.0,7.0,5.0,15.0,39.0,110.0
TOT,20603,2011.0,Rasual Butler,SG,31.0,47.0,2.0,770.0,6.2,0.446,0.574,0.114,1.5,10.1,5.9,5.3,0.5,1.5,8.8,15.8,,-0.5,0.3,-0.1,-0.009000000000000001,,-3.4,-1.9,-5.3,-0.6,79.0,237.0,0.33299999999999996,46.0,136.0,0.33799999999999997,33.0,101.0,0.327,0.43,18.0,27.0,0.667,10.0,67.0,77.0,27.0,8.0,15.0,24.0,37.0,222.0
WAS,22953,2015.0,Rasual Butler,SF,35.0,75.0,1.0,1505.0,11.4,0.531,0.455,0.13,2.1,12.4,7.4,6.5,1.0,1.2,8.1,17.9,,1.0,1.6,2.6,0.084,,-0.8,-0.8,-1.7,0.1,218.0,517.0,0.42200000000000004,91.0,235.0,0.387,127.0,282.0,0.45,0.51,53.0,67.0,0.7909999999999999,27.0,170.0,197.0,63.0,29.0,22.0,48.0,98.0,580.0
