Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHA,22240,2013.0,Reggie Williams,SF,26.0,40.0,13.0,747.0,13.2,0.517,0.545,0.159,4.0,13.3,7.7,18.2,1.7,0.3,11.9,19.2,,0.3,0.1,0.3,0.035,,0.0,-2.5,-2.5,-0.1,106.0,255.0,0.43200000000000005,33.0,107.0,0.308,73.0,148.0,0.583,0.515,29.0,40.0,0.725,27.0,66.0,93.0,60.0,20.0,3.0,33.0,34.0,274.0
CLE,9993,1990.0,Reggie Williams,SF,25.0,32.0,12.0,542.0,7.8,0.424,0.113,0.172,3.5,9.0,6.2,10.9,2.1,1.1,11.1,23.1,,-0.8,0.6,-0.2,-0.016,,-4.9,-1.0,-5.9,-0.5,91.0,239.0,0.381,6.0,27.0,0.222,85.0,212.0,0.401,0.39299999999999996,30.0,41.0,0.732,17.0,43.0,60.0,38.0,22.0,10.0,32.0,79.0,218.0
DEN,12813,1996.0,Reggie Williams,SF,31.0,82.0,80.0,2722.0,18.1,0.5379999999999999,0.35,0.254,6.5,13.8,9.0,17.6,2.7,2.2,15.8,24.3,,3.7,3.9,6.6,0.126,,2.2,1.4,3.5,3.1,601.0,1277.0,0.47100000000000003,85.0,266.0,0.359,545.0,1121.0,0.522,0.509,238.0,296.0,0.846,145.0,296.0,428.0,300.0,148.0,76.0,194.0,288.0,1474.0
GSW,21108,2011.0,Reggie Williams,SF,24.0,80.0,10.0,1626.0,16.1,0.588,0.42100000000000004,0.23399999999999999,3.1,13.3,7.8,12.7,1.4,0.5,8.5,18.7,,3.4,0.3,3.7,0.109,,1.5,-1.7,-0.2,0.4,268.0,572.0,0.495,102.0,241.0,0.423,166.0,331.0,0.56,0.5579999999999999,100.0,134.0,0.8390000000000001,45.0,171.0,216.0,121.0,28.0,6.0,57.0,124.0,738.0
IND,13397,1997.0,Reggie Williams,SF,32.0,2.0,0.0,33.0,-1.5,0.253,0.111,0.222,3.7,21.4,12.6,9.3,0.0,0.0,16.8,16.6,,-0.1,0.0,-0.1,-0.128,,-10.0,-1.0,-11.0,-0.1,2.0,9.0,0.222,0.0,1.0,0.0,2.0,8.0,0.25,0.222,1.0,2.0,0.5,1.0,6.0,7.0,2.0,0.0,0.0,2.0,5.0,5.0
LAC,9992,1990.0,Reggie Williams,SF,25.0,63.0,17.0,1303.0,12.6,0.496,0.175,0.368,7.0,8.9,7.3,11.5,3.3,1.4,15.0,24.6,,-0.1,1.0,0.4,0.028999999999999998,,-1.6,-0.8,-2.4,0.0,260.0,594.0,0.43799999999999994,30.0,104.0,0.28800000000000003,230.0,490.0,0.469,0.46299999999999997,92.0,122.0,0.857,70.0,109.0,179.0,103.0,81.0,29.0,114.0,181.0,642.0
NJN,13398,1997.0,Reggie Williams,SF,32.0,11.0,0.0,167.0,11.4,0.49700000000000005,0.493,0.149,2.4,13.8,7.8,8.0,2.5,1.8,12.3,20.8,,0.0,0.1,0.2,0.054000000000000006,,-1.6,-1.3,-2.9,0.0,27.0,67.0,0.40299999999999997,9.0,33.0,0.273,18.0,34.0,0.529,0.47,8.0,10.0,0.8,4.0,20.0,24.0,8.0,8.0,4.0,10.0,28.0,71.0
NOP,24671,2017.0,Reggie Williams,SF,30.0,6.0,0.0,79.0,11.7,0.518,0.478,0.304,2.7,5.4,4.0,7.2,1.9,0.0,0.0,14.6,,0.1,0.1,0.2,0.098,,-0.8,-1.6,-2.4,0.0,8.0,23.0,0.348,5.0,11.0,0.455,3.0,12.0,0.25,0.457,6.0,7.0,0.857,2.0,4.0,6.0,4.0,3.0,0.0,0.0,2.0,27.0
OKC,22851,2014.0,Reggie Williams,SF,27.0,3.0,0.0,17.0,16.4,0.611,0.33299999999999996,0.0,0.0,0.0,0.0,11.5,3.0,0.0,18.2,28.7,,0.0,0.0,0.0,0.034,,-2.0,-6.2,-8.2,0.0,5.0,9.0,0.556,1.0,3.0,0.33299999999999996,4.0,6.0,0.667,0.611,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,11.0
SAS,23495,2015.0,Reggie Williams,SF,28.0,22.0,0.0,354.0,15.5,0.589,0.48700000000000004,0.32299999999999995,5.6,12.7,9.2,18.9,2.8,2.7,19.9,29.7,,0.4,0.6,1.0,0.141,,0.7,1.6,2.3,0.4,61.0,127.0,0.48,14.0,26.0,0.5379999999999999,47.0,101.0,0.6,0.535,35.0,41.0,1.0,17.0,42.0,59.0,46.0,20.0,11.0,36.0,64.0,171.0
TOT,13396,1997.0,Reggie Williams,SF,32.0,73.0,46.0,1896.0,14.8,0.526,0.447,0.23,6.3,15.0,8.6,11.1,2.6,1.5,12.9,23.8,,2.2,1.0,3.3,0.08199999999999999,,0.8,-0.6,0.2,1.1,384.0,855.0,0.449,57.0,157.0,0.363,327.0,698.0,0.47600000000000003,0.48200000000000004,166.0,197.0,0.843,133.0,173.0,306.0,133.0,113.0,41.0,112.0,253.0,991.0
