Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,17565,2005.0,Rod Strickland,PG,38.0,16.0,2.0,196.0,4.6,0.295,0.047,0.233,1.8,13.9,8.0,29.7,0.8,0.8,25.2,15.2,,-0.5,0.2,-0.2,-0.051,,-8.0,0.2,-7.7,-0.3,9.0,43.0,0.209,1.0,2.0,0.5,8.0,41.0,0.195,0.221,9.0,10.0,0.9,3.0,24.0,27.0,39.0,3.0,2.0,16.0,15.0,28.0
MIA,15949,2002.0,Rod Strickland,PG,35.0,76.0,64.0,2294.0,15.6,0.495,0.036000000000000004,0.282,2.5,9.2,5.9,35.7,2.0,0.4,16.5,20.0,,1.9,3.0,4.9,0.10300000000000001,,-0.3,-0.1,-0.4,0.9,316.0,714.0,0.44299999999999995,8.0,26.0,0.308,308.0,688.0,0.44799999999999995,0.44799999999999995,154.0,201.0,0.7659999999999999,49.0,183.0,232.0,463.0,82.0,11.0,159.0,114.0,794.0
MIN,16418,2003.0,Rod Strickland,PG,36.0,47.0,8.0,956.0,15.4,0.49200000000000005,0.04,0.385,2.4,8.7,5.6,33.3,2.5,0.5,18.9,19.0,,0.8,0.9,1.7,0.084,,-1.0,-1.2,-2.2,0.0,120.0,278.0,0.43200000000000005,1.0,11.0,0.091,119.0,267.0,0.446,0.433,79.0,107.0,0.738,20.0,75.0,95.0,215.0,46.0,6.0,76.0,55.0,320.0
NYK,9926,1990.0,Rod Strickland,PG,23.0,81.0,10.0,1358.0,18.0,0.539,0.10400000000000001,0.40700000000000003,4.8,9.1,6.9,31.8,3.4,0.5,18.1,23.3,,2.2,1.5,3.7,0.131,,1.2,0.1,0.5,0.9,265.0,567.0,0.467,19.0,59.0,0.322,246.0,508.0,0.484,0.484,172.0,231.0,0.745,51.0,109.0,160.0,319.0,98.0,8.0,148.0,142.0,721.0
ORL,16979,2004.0,Rod Strickland,PG,37.0,46.0,9.0,915.0,15.8,0.514,0.12300000000000001,0.28300000000000003,2.9,11.9,7.3,33.8,1.6,0.6,18.1,18.3,,1.2,0.0,1.2,0.062,,0.0,-2.7,-2.8,-0.2,122.0,269.0,0.45399999999999996,10.0,33.0,0.303,112.0,236.0,0.475,0.47200000000000003,57.0,76.0,0.75,24.0,94.0,118.0,185.0,27.0,7.0,67.0,59.0,311.0
POR,15442,2001.0,Rod Strickland,SG,34.0,82.0,63.0,2889.0,21.6,0.544,0.13,0.467,5.1,12.8,7.9,43.4,2.8,0.6,18.0,25.4,,6.3,3.3,9.3,0.179,,4.1,1.0,5.0,4.0,528.0,1093.0,0.485,46.0,123.0,0.374,526.0,1083.0,0.499,0.49,353.0,471.0,0.7490000000000001,122.0,248.0,370.0,740.0,147.0,24.0,257.0,171.0,1411.0
SAS,10845,1992.0,Rod Strickland,PG,25.0,58.0,56.0,2076.0,16.9,0.5379999999999999,0.051,0.402,4.9,9.1,7.0,33.8,2.9,0.5,17.3,19.2,,2.7,3.1,5.7,0.132,,1.4,1.1,2.5,2.4,314.0,659.0,0.48200000000000004,11.0,33.0,0.33299999999999996,303.0,644.0,0.49,0.491,182.0,265.0,0.763,92.0,173.0,265.0,491.0,118.0,17.0,160.0,125.0,800.0
TOR,16980,2004.0,Rod Strickland,PG,37.0,15.0,1.0,282.0,11.8,0.379,0.036000000000000004,0.262,4.1,11.1,7.5,37.0,1.6,1.0,16.1,19.2,,-0.2,0.3,0.1,0.019,,-3.9,-0.6,-4.5,-0.2,28.0,84.0,0.33299999999999996,0.0,3.0,0.0,28.0,81.0,0.34600000000000003,0.33299999999999996,15.0,22.0,0.682,10.0,27.0,37.0,59.0,8.0,4.0,18.0,17.0,71.0
TOT,16978,2004.0,Rod Strickland,PG,37.0,82.0,28.0,2140.0,16.1,0.494,0.102,0.40299999999999997,4.8,11.7,7.4,37.1,2.9,0.7,17.7,20.4,,1.7,2.6,4.3,0.095,,0.4,0.2,0.7,1.4,343.0,756.0,0.45399999999999996,10.0,36.0,0.278,335.0,726.0,0.461,0.45899999999999996,174.0,278.0,0.7509999999999999,90.0,169.0,259.0,468.0,127.0,14.0,170.0,160.0,868.0
WAS,15441,2001.0,Rod Strickland,PG,34.0,76.0,76.0,3020.0,20.2,0.507,0.07,0.444,4.1,11.4,7.6,45.9,2.5,0.6,17.3,24.0,,5.1,3.0,8.1,0.129,,3.1,0.1,2.8,3.5,490.0,1130.0,0.434,12.0,48.0,0.28600000000000003,478.0,1082.0,0.442,0.439,357.0,492.0,0.782,112.0,293.0,405.0,801.0,126.0,25.0,266.0,182.0,1349.0
WSB,13341,1997.0,Rod Strickland,PG,30.0,82.0,81.0,2997.0,19.7,0.5329999999999999,0.07,0.45,3.8,9.2,6.5,38.1,2.5,0.3,16.9,23.9,,5.5,3.3,8.8,0.141,,2.2,-0.3,1.9,2.9,515.0,1105.0,0.466,13.0,77.0,0.16899999999999998,502.0,1028.0,0.488,0.47200000000000003,367.0,497.0,0.738,95.0,240.0,335.0,727.0,143.0,14.0,270.0,166.0,1410.0
