Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,5032,1978.0,Ron Behagen,PF,27.0,26.0,,571.0,15.9,0.509,,0.281,9.8,23.7,16.5,9.4,2.4,1.2,17.2,23.8,,0.3,1.0,1.2,0.10300000000000001,,-1.2,0.5,-0.6,0.2,117.0,249.0,0.47,,,,117.0,249.0,0.47,0.47,51.0,70.0,0.7290000000000001,53.0,120.0,173.0,34.0,30.0,12.0,58.0,97.0,285.0
DET,5404,1979.0,Ron Behagen,PF,28.0,1.0,,1.0,-60.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,38.1,,0.0,0.0,0.0,-1.2770000000000001,,-41.7,0.6,-41.1,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
HOU,5033,1978.0,Ron Behagen,PF,27.0,3.0,,33.0,11.6,0.612,,0.091,6.3,16.5,11.2,8.9,0.0,0.0,20.8,17.4,,0.0,0.0,0.0,0.045,,-1.3,-2.9,-4.2,0.0,7.0,11.0,0.636,,,,7.0,11.0,0.636,0.636,0.0,1.0,0.0,2.0,5.0,7.0,2.0,0.0,0.0,3.0,6.0,14.0
IND,5034,1978.0,Ron Behagen,PF,27.0,51.0,,1131.0,13.5,0.46,,0.324,12.3,16.5,14.3,8.4,1.3,0.9,15.4,24.4,,0.1,1.0,1.1,0.048,,-1.6,-1.7,-3.3,-0.4,222.0,544.0,0.408,,,,222.0,544.0,0.408,0.408,128.0,176.0,0.727,146.0,187.0,333.0,65.0,32.0,19.0,113.0,160.0,572.0
KCK,5406,1979.0,Ron Behagen,PF,28.0,9.0,,126.0,10.8,0.49200000000000005,,0.22,9.3,17.7,13.4,5.2,0.7,0.4,9.9,18.6,,0.1,0.1,0.3,0.096,,-2.1,-1.9,-4.0,-0.1,23.0,50.0,0.46,,,,23.0,50.0,0.46,0.46,8.0,11.0,0.727,11.0,20.0,31.0,5.0,2.0,1.0,6.0,27.0,54.0
KCO,4119,1975.0,Ron Behagen,PF,24.0,81.0,,2205.0,13.9,0.47600000000000003,,0.317,9.6,21.0,14.4,10.3,1.3,1.0,,,,0.2,2.8,2.2,0.049,,-1.2,0.0,-2.1,0.0,357.0,834.0,0.43200000000000005,,,,357.0,834.0,0.43200000000000005,0.43200000000000005,199.0,264.0,0.764,188.0,446.0,592.0,153.0,60.0,42.0,,301.0,876.0
NOJ,4672,1977.0,Ron Behagen,PF,26.0,66.0,,1733.0,16.3,0.494,,0.259,12.1,23.4,17.8,12.1,1.7,0.8,,,,1.8,2.5,4.3,0.11800000000000001,,0.5,0.9,1.4,1.5,308.0,691.0,0.446,,,,308.0,691.0,0.446,0.446,144.0,179.0,0.804,190.0,363.0,553.0,139.0,67.0,26.0,,222.0,760.0
NYK,5405,1979.0,Ron Behagen,PF,28.0,5.0,,38.0,7.5,0.466,,0.16699999999999998,5.6,25.6,15.6,6.6,2.4,0.0,23.7,17.4,,-0.1,0.1,0.0,0.004,,-6.2,-0.2,-6.4,0.0,5.0,12.0,0.41700000000000004,,,,5.0,12.0,0.41700000000000004,0.41700000000000004,2.0,2.0,1.0,2.0,9.0,11.0,2.0,2.0,0.0,4.0,8.0,12.0
TOT,5403,1979.0,Ron Behagen,PF,28.0,80.0,,1735.0,14.2,0.48700000000000004,,0.307,11.3,19.4,15.0,8.7,1.6,1.0,16.0,24.1,,0.4,2.0,2.4,0.066,,-1.5,-1.0,-2.4,-0.1,346.0,804.0,0.452,,,,346.0,804.0,0.452,0.452,179.0,247.0,0.769,201.0,312.0,513.0,101.0,62.0,31.0,174.0,263.0,871.0
WSB,5742,1980.0,Ron Behagen,PF,29.0,6.0,,64.0,10.2,0.449,0.0,0.261,9.3,12.7,11.0,14.4,0.0,3.3,13.5,18.3,,0.0,0.1,0.1,0.055,,-2.7,0.1,-2.6,0.0,9.0,23.0,0.391,0.0,0.0,,9.0,23.0,0.391,0.391,5.0,6.0,0.833,6.0,8.0,14.0,7.0,0.0,4.0,4.0,14.0,23.0
