Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,21372,2012.0,Ryan Hollins,C,27.0,15.0,1.0,160.0,6.8,0.5710000000000001,0.0,0.7140000000000001,7.0,12.0,9.6,3.0,0.3,2.4,23.0,14.3,,-0.1,0.2,0.1,0.044000000000000004,,-5.0,0.3,-4.7,-0.1,18.0,28.0,0.643,0.0,0.0,,18.0,28.0,0.643,0.643,6.0,20.0,0.3,9.0,17.0,26.0,3.0,1.0,5.0,11.0,23.0,42.0
CHA,19584,2009.0,Ryan Hollins,PF,24.0,60.0,1.0,532.0,15.3,0.613,0.0,1.114,12.9,13.2,12.1,4.0,1.1,7.6,23.0,17.1,,0.6,0.4,1.1,0.158,,-1.9,2.4,0.5,0.1,46.0,94.0,0.556,0.0,0.0,,46.0,94.0,0.556,0.556,55.0,82.0,0.6709999999999999,53.0,54.0,107.0,14.0,10.0,30.0,25.0,96.0,147.0
CLE,21371,2012.0,Ryan Hollins,C,27.0,70.0,16.0,1182.0,10.7,0.642,0.0,0.982,7.6,11.6,9.0,3.6,1.0,2.7,23.0,13.7,,1.3,0.5,1.8,0.07200000000000001,,-2.5,-0.2,-2.7,-0.2,131.0,219.0,0.598,0.0,0.0,,131.0,219.0,0.598,0.598,111.0,163.0,0.6809999999999999,70.0,116.0,186.0,26.0,22.0,42.0,67.0,199.0,373.0
DAL,19585,2009.0,Ryan Hollins,C,24.0,27.0,2.0,260.0,11.3,0.537,0.0,0.5589999999999999,12.0,14.9,13.5,1.7,0.8,4.3,16.0,15.5,,0.1,0.3,0.4,0.076,,-3.7,-0.1,-3.8,-0.1,31.0,59.0,0.525,0.0,0.0,,31.0,59.0,0.525,0.525,17.0,33.0,0.515,27.0,34.0,61.0,3.0,4.0,15.0,14.0,44.0,79.0
LAC,22532,2014.0,Ryan Hollins,PF,29.0,61.0,0.0,663.0,11.9,0.73,0.0,0.778,9.1,15.7,12.5,2.4,0.9,4.9,23.1,13.6,,1.0,0.8,1.7,0.126,,-2.0,1.7,-0.3,0.2,70.0,114.0,0.736,0.0,0.0,,70.0,114.0,0.736,0.736,66.0,88.0,0.75,50.0,89.0,139.0,11.0,9.0,34.0,44.0,133.0,206.0
MEM,23758,2016.0,Ryan Hollins,C,31.0,32.0,9.0,412.0,12.9,0.6409999999999999,0.0,0.583,10.6,13.6,12.0,3.7,0.7,4.5,18.8,12.1,,0.6,0.3,0.9,0.107,,-1.7,0.5,-1.2,0.1,45.0,72.0,0.625,0.0,0.0,,45.0,72.0,0.625,0.625,26.0,42.0,0.619,40.0,47.0,87.0,10.0,6.0,20.0,21.0,58.0,116.0
MIN,20162,2010.0,Ryan Hollins,C,25.0,73.0,27.0,1223.0,11.0,0.6,0.003,0.521,7.1,11.9,9.5,6.4,0.8,2.3,20.3,16.6,,0.8,0.5,1.2,0.048,,-2.6,-0.7,-3.3,-0.4,169.0,303.0,0.5579999999999999,0.0,1.0,0.0,169.0,302.0,0.56,0.5579999999999999,109.0,158.0,0.69,79.0,128.0,207.0,51.0,19.0,38.0,95.0,199.0,447.0
SAC,23137,2015.0,Ryan Hollins,C,30.0,46.0,9.0,441.0,13.1,0.648,0.0,0.659,9.6,16.6,13.2,5.0,0.7,3.4,19.1,13.1,,0.7,0.3,1.0,0.10400000000000001,,-1.4,0.0,-1.4,0.1,53.0,82.0,0.6459999999999999,0.0,0.0,,53.0,82.0,0.6459999999999999,0.6459999999999999,31.0,54.0,0.574,36.0,67.0,103.0,14.0,6.0,19.0,25.0,65.0,137.0
TOT,23756,2016.0,Ryan Hollins,C,31.0,45.0,12.0,522.0,12.9,0.636,0.0,0.893,12.4,13.4,12.9,3.3,0.8,5.7,23.0,15.7,,0.6,0.6,1.0,0.11,,-2.0,0.9,-1.8,0.0,50.0,94.0,0.62,0.0,0.0,,50.0,94.0,0.62,0.62,43.0,75.0,0.619,47.0,51.0,98.0,10.0,7.0,32.0,35.0,78.0,143.0
WAS,23757,2016.0,Ryan Hollins,C,31.0,5.0,3.0,48.0,7.2,0.5710000000000001,0.0,0.0,16.0,9.5,12.8,0.0,0.0,1.7,30.0,9.1,,0.0,0.0,0.0,0.04,,-4.5,-3.1,-7.6,-0.1,4.0,7.0,0.5710000000000001,0.0,0.0,,4.0,7.0,0.5710000000000001,0.5710000000000001,0.0,0.0,,7.0,4.0,11.0,0.0,0.0,1.0,3.0,4.0,8.0
