Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,20927,2011.0,Steve Novak,SF,27.0,7.0,0.0,18.0,19.6,0.688,0.5,0.0,0.0,31.3,16.2,0.0,0.0,0.0,0.0,20.8,,0.1,0.0,0.1,0.205,,0.3,-7.2,-6.9,0.0,4.0,8.0,0.5,3.0,4.0,0.75,1.0,4.0,0.25,0.688,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,11.0
HOU,19141,2008.0,Steve Novak,SF,24.0,35.0,1.0,264.0,17.3,0.6509999999999999,0.78,0.04,2.4,13.2,7.8,4.9,1.4,0.8,7.3,18.7,,0.7,0.3,1.1,0.196,,2.6,-0.6,-0.2,0.1,49.0,102.0,0.48,34.0,71.0,0.479,15.0,31.0,0.484,0.647,3.0,4.0,1.0,4.0,31.0,35.0,6.0,5.0,3.0,4.0,21.0,135.0
LAC,20328,2010.0,Steve Novak,SF,26.0,71.0,3.0,1161.0,13.5,0.606,0.722,0.083,1.8,10.9,6.2,5.8,1.0,0.4,5.4,16.8,,2.0,0.2,2.2,0.092,,1.6,-3.2,-1.9,0.0,176.0,396.0,0.444,119.0,286.0,0.41600000000000004,57.0,110.0,0.541,0.595,21.0,23.0,0.9129999999999999,19.0,106.0,125.0,40.0,20.0,5.0,23.0,71.0,492.0
MIL,24498,2017.0,Steve Novak,PF,33.0,8.0,0.0,22.0,6.7,0.5429999999999999,1.0,0.16699999999999998,0.0,15.7,7.9,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,0.05,,-0.5,-6.7,-7.8,0.0,2.0,7.0,0.33299999999999996,2.0,6.0,0.33299999999999996,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0
NYK,22066,2013.0,Steve Novak,SF,29.0,81.0,1.0,1641.0,15.9,0.684,0.8370000000000001,0.077,1.2,10.9,5.9,3.3,0.9,0.7,5.7,16.2,,3.2,0.9,4.0,0.18100000000000002,,3.7,-2.0,1.1,0.8,178.0,430.0,0.478,149.0,351.0,0.47200000000000003,29.0,79.0,0.509,0.675,30.0,33.0,0.909,17.0,135.0,152.0,35.0,28.0,9.0,21.0,97.0,535.0
OKC,23920,2016.0,Steve Novak,PF,32.0,13.0,0.0,88.0,20.8,0.708,0.75,0.0,1.2,17.2,9.1,7.7,0.0,0.9,8.7,23.1,,0.1,0.0,0.1,0.18100000000000002,,2.9,-2.8,-5.7,0.0,6.0,21.0,0.5,5.0,15.0,0.556,3.0,6.0,0.5,0.708,0.0,0.0,,1.0,5.0,6.0,5.0,0.0,1.0,2.0,10.0,17.0
SAS,20928,2011.0,Steve Novak,SF,27.0,23.0,0.0,197.0,17.7,0.7440000000000001,0.7120000000000001,0.136,2.4,10.9,6.8,2.4,0.3,1.8,6.0,15.5,,0.6,0.2,0.8,0.195,,3.5,-2.5,1.0,0.2,31.0,59.0,0.525,23.0,42.0,0.5479999999999999,8.0,17.0,0.47100000000000003,0.72,8.0,8.0,1.0,4.0,19.0,23.0,3.0,1.0,5.0,4.0,11.0,93.0
TOR,22676,2014.0,Steve Novak,PF,30.0,54.0,1.0,540.0,11.1,0.599,0.836,0.040999999999999995,1.7,10.8,6.3,3.8,1.2,0.6,3.3,12.9,,1.0,0.5,1.4,0.127,,1.1,-1.7,-0.5,0.2,60.0,146.0,0.41100000000000003,52.0,122.0,0.426,8.0,24.0,0.33299999999999996,0.589,6.0,6.0,1.0,8.0,50.0,58.0,13.0,12.0,4.0,5.0,44.0,178.0
TOT,23919,2016.0,Steve Novak,SF-PF,32.0,35.0,0.0,215.0,17.8,0.737,0.857,0.11900000000000001,2.2,12.6,7.6,8.6,0.2,1.7,8.1,19.2,,0.7,0.2,0.9,0.196,,3.3,-2.9,0.4,0.1,35.0,67.0,0.522,26.0,48.0,0.565,9.0,21.0,0.429,0.716,8.0,8.0,1.0,4.0,24.0,28.0,11.0,1.0,5.0,5.0,23.0,104.0
UTA,23296,2015.0,Steve Novak,SF,31.0,22.0,0.0,109.0,14.5,0.669,0.943,0.057,1.1,15.8,8.5,9.3,0.0,0.7,7.7,16.4,,0.3,0.1,0.4,0.162,,3.3,-3.6,-0.2,0.0,16.0,35.0,0.457,16.0,33.0,0.485,0.0,2.0,0.0,0.6859999999999999,0.0,2.0,0.0,1.0,15.0,16.0,6.0,0.0,1.0,3.0,13.0,48.0
