Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,16925,2004.0,Theo Ratliff,C,30.0,81.0,81.0,2518.0,13.8,0.523,0.0,0.55,7.3,19.7,13.7,5.1,1.2,7.4,22.0,17.6,,0.7,3.4,4.0,0.077,,-3.4,3.3,0.0,1.2,276.0,595.0,0.5,0.0,0.0,,276.0,595.0,0.5,0.5,154.0,214.0,0.72,154.0,453.0,607.0,73.0,56.0,262.0,137.0,271.0,706.0
BOS,18615,2007.0,Theo Ratliff,C,33.0,2.0,2.0,44.0,6.7,0.525,0.0,1.3330000000000002,5.3,13.9,9.5,0.0,1.2,5.3,17.4,5.9,,0.0,0.1,0.1,0.073,,-5.6,1.2,-4.4,0.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,3.0,4.0,0.75,2.0,5.0,7.0,0.0,1.0,3.0,1.0,6.0,5.0
CHA,20372,2010.0,Theo Ratliff,C,36.0,28.0,26.0,624.0,11.0,0.528,0.0,0.397,8.7,13.9,11.3,4.1,0.8,5.7,15.5,12.0,,0.3,1.0,1.3,0.10400000000000001,,-3.4,3.4,0.0,0.3,54.0,116.0,0.466,0.0,0.0,,54.0,116.0,0.466,0.466,36.0,46.0,0.7829999999999999,44.0,73.0,117.0,16.0,9.0,43.0,25.0,60.0,144.0
DET,19189,2008.0,Theo Ratliff,C,34.0,76.0,38.0,1305.0,15.9,0.603,0.004,0.568,10.7,16.7,13.8,4.6,1.3,7.1,19.7,17.0,,1.8,2.2,3.9,0.14400000000000002,,-2.3,3.9,1.1,0.7,179.0,337.0,0.557,0.0,1.0,0.0,179.0,337.0,0.5589999999999999,0.557,85.0,120.0,0.708,110.0,187.0,297.0,15.0,29.0,116.0,56.0,181.0,439.0
LAL,20978,2011.0,Theo Ratliff,C,37.0,10.0,0.0,71.0,4.4,0.145,0.0,0.33299999999999996,9.9,10.8,10.4,5.5,1.5,5.4,30.4,6.3,,-0.1,0.1,0.0,0.0,,-6.4,4.7,-1.8,0.0,1.0,6.0,0.16699999999999998,0.0,0.0,,1.0,6.0,0.16699999999999998,0.16699999999999998,0.0,2.0,0.0,6.0,7.0,13.0,3.0,2.0,5.0,3.0,7.0,2.0
MIN,19188,2008.0,Theo Ratliff,PF,34.0,10.0,6.0,214.0,12.3,0.563,0.022000000000000002,0.556,6.8,14.5,10.6,4.9,0.7,7.1,17.6,14.3,,0.1,0.2,0.3,0.067,,-3.4,2.4,-1.1,0.1,23.0,45.0,0.511,0.0,1.0,0.0,23.0,44.0,0.523,0.511,17.0,25.0,0.68,13.0,26.0,39.0,7.0,3.0,19.0,12.0,30.0,63.0
PHI,19778,2009.0,Theo Ratliff,PF,35.0,58.0,56.0,1861.0,17.2,0.568,0.0,0.547,10.7,19.6,14.5,5.3,1.6,8.1,18.6,17.2,,2.9,3.5,5.6,0.159,,-0.7,4.9,3.3,2.4,249.0,491.0,0.531,0.0,0.0,,249.0,491.0,0.531,0.531,182.0,236.0,0.7709999999999999,175.0,295.0,435.0,58.0,45.0,203.0,126.0,209.0,676.0
POR,18078,2006.0,Theo Ratliff,C,32.0,63.0,45.0,1731.0,16.8,0.599,0.0,0.439,10.6,17.8,13.6,3.4,1.3,10.4,17.2,11.2,,1.4,1.7,3.0,0.14,,-1.3,5.4,4.1,1.6,115.0,257.0,0.5710000000000001,0.0,0.0,,115.0,257.0,0.5710000000000001,0.5710000000000001,74.0,107.0,0.6920000000000001,111.0,220.0,331.0,34.0,24.0,158.0,56.0,183.0,304.0
SAS,20371,2010.0,Theo Ratliff,C,36.0,21.0,3.0,183.0,7.8,0.45,0.0,0.111,9.8,15.7,12.8,6.9,0.9,7.1,29.8,13.4,,-0.3,0.3,0.1,0.019,,-6.1,4.7,-1.4,0.0,16.0,36.0,0.444,0.0,0.0,,16.0,36.0,0.444,0.444,2.0,4.0,0.5,15.0,25.0,40.0,9.0,3.0,18.0,16.0,27.0,34.0
TOT,20370,2010.0,Theo Ratliff,C-PF,36.0,85.0,83.0,2664.0,16.2,0.561,0.012,0.506,10.4,17.9,13.3,4.7,1.1,8.6,19.1,15.5,,3.4,3.4,6.7,0.132,,-1.2,4.0,2.2,2.6,306.0,597.0,0.513,0.0,1.0,0.0,306.0,597.0,0.513,0.513,197.0,281.0,0.76,221.0,419.0,614.0,71.0,54.0,307.0,120.0,300.0,809.0
