Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,7955,1986.0,Tony Brown,SG,25.0,10.0,0.0,132.0,11.5,0.48200000000000004,0.049,0.317,4.1,9.8,6.9,14.4,1.8,0.4,7.9,15.6,,0.1,0.0,0.2,0.067,,-0.9,-1.7,-2.6,0.0,18.0,41.0,0.439,0.0,2.0,0.0,18.0,39.0,0.462,0.439,9.0,13.0,0.6920000000000001,5.0,11.0,16.0,14.0,5.0,1.0,4.0,16.0,45.0
HOU,9153,1989.0,Tony Brown,SG,28.0,14.0,0.0,91.0,4.7,0.371,0.2,0.17800000000000002,8.4,9.4,8.9,7.8,1.6,0.0,12.6,24.5,,-0.2,0.1,-0.1,-0.064,,-5.7,-2.8,-8.5,-0.1,14.0,45.0,0.311,2.0,9.0,0.222,12.0,36.0,0.33299999999999996,0.33299999999999996,6.0,8.0,0.75,7.0,8.0,15.0,5.0,3.0,0.0,7.0,14.0,36.0
IND,7588,1985.0,Tony Brown,SF,24.0,82.0,26.0,1586.0,10.8,0.503,0.013000000000000001,0.368,9.6,9.5,9.6,13.4,1.7,0.4,17.7,16.3,,0.4,1.4,1.8,0.054000000000000006,,-1.3,0.1,-1.1,0.3,214.0,465.0,0.46,0.0,6.0,0.0,214.0,459.0,0.466,0.46,116.0,171.0,0.6779999999999999,146.0,142.0,288.0,159.0,59.0,12.0,116.0,212.0,544.0
LAC,10511,1992.0,Tony Brown,SF,31.0,22.0,0.0,254.0,10.5,0.506,0.247,0.326,3.9,8.4,6.1,9.1,2.3,0.2,12.1,19.4,,0.0,0.3,0.3,0.064,,-1.9,-0.9,-2.8,-0.1,39.0,89.0,0.43799999999999994,7.0,22.0,0.318,32.0,67.0,0.478,0.478,18.0,29.0,0.621,9.0,19.0,28.0,16.0,12.0,1.0,14.0,31.0,103.0
LAL,10056,1991.0,Tony Brown,SF,30.0,7.0,0.0,27.0,-0.4,0.833,0.33299999999999996,0.0,0.0,16.5,8.6,14.5,0.0,0.0,57.1,11.3,,-0.1,0.0,0.0,-0.043,,-6.4,-0.6,-7.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,4.0,8.0,5.0
MIL,9590,1990.0,Tony Brown,SF,29.0,61.0,10.0,635.0,12.2,0.5529999999999999,0.09699999999999999,0.315,6.9,6.1,6.5,10.5,2.5,0.9,18.1,18.6,,0.4,0.5,0.7,0.11599999999999999,,-0.3,-0.2,-0.5,0.1,88.0,206.0,0.493,5.0,20.0,0.28600000000000003,83.0,186.0,0.515,0.507,38.0,56.0,0.7829999999999999,39.0,33.0,72.0,41.0,32.0,4.0,51.0,79.0,219.0
NJN,8341,1987.0,Tony Brown,SG,26.0,77.0,67.0,2339.0,9.7,0.485,0.025,0.254,4.1,6.5,5.3,15.9,1.8,0.4,14.5,18.2,,0.0,1.2,1.3,0.026000000000000002,,-1.4,-0.4,-1.8,0.1,358.0,810.0,0.442,5.0,20.0,0.25,353.0,790.0,0.447,0.445,152.0,206.0,0.738,84.0,135.0,219.0,259.0,89.0,14.0,153.0,273.0,873.0
SEA,10512,1992.0,Tony Brown,SF,31.0,35.0,2.0,401.0,11.9,0.47700000000000004,0.256,0.231,6.5,9.7,8.0,11.5,2.3,0.6,10.6,20.7,,0.3,0.3,0.6,0.073,,-0.4,-1.5,-1.9,0.0,63.0,160.0,0.39399999999999996,12.0,41.0,0.293,51.0,119.0,0.429,0.431,30.0,37.0,0.8109999999999999,23.0,33.0,56.0,32.0,18.0,4.0,21.0,51.0,168.0
TOT,10510,1992.0,Tony Brown,SG-SF,31.0,57.0,2.0,655.0,11.4,0.48700000000000004,0.253,0.28800000000000003,10.3,9.2,8.6,10.6,2.3,0.7,15.1,20.2,,0.3,0.6,0.9,0.071,,-1.0,-0.9,-2.3,0.0,102.0,249.0,0.424,19.0,63.0,0.302,83.0,186.0,0.451,0.44799999999999995,48.0,66.0,0.87,32.0,52.0,84.0,48.0,30.0,5.0,35.0,82.0,271.0
UTA,10057,1991.0,Tony Brown,SG,30.0,23.0,0.0,267.0,6.5,0.44799999999999995,0.14300000000000002,0.299,11.3,6.2,8.6,6.9,0.8,0.0,12.1,16.4,,0.0,0.2,0.2,0.033,,-2.5,-1.4,-3.9,-0.1,28.0,77.0,0.364,2.0,11.0,0.182,26.0,66.0,0.39399999999999996,0.377,20.0,23.0,0.87,24.0,15.0,39.0,13.0,4.0,0.0,12.0,39.0,78.0
