Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,10712,1992.0,Tony Massenburg,PF,24.0,7.0,0.0,46.0,4.1,0.465,0.0,0.444,5.0,16.0,10.8,0.0,0.0,1.3,15.7,11.9,,0.0,0.0,0.0,0.006999999999999999,,-7.0,-3.1,-10.1,-0.1,4.0,9.0,0.444,0.0,0.0,,4.0,9.0,0.444,0.444,2.0,4.0,0.5,2.0,7.0,9.0,0.0,0.0,1.0,2.0,7.0,10.0
CHH,10711,1992.0,Tony Massenburg,PF,24.0,3.0,0.0,13.0,-12.4,0.129,0.0,0.667,8.1,25.3,16.5,0.0,3.6,0.0,50.8,24.5,,-0.2,0.0,-0.1,-0.5,,-23.1,-2.5,-25.6,-0.1,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,0.0,4.0,2.0,1.0
GSW,10713,1992.0,Tony Massenburg,PF,24.0,7.0,0.0,22.0,18.3,0.669,0.0,1.125,20.2,39.1,29.8,0.0,0.0,0.0,20.1,27.2,,0.1,0.0,0.1,0.201,,-3.6,-10.8,-14.4,-0.1,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,6.0,9.0,0.667,4.0,8.0,12.0,0.0,0.0,0.0,3.0,10.0,16.0
HOU,14764,2000.0,Tony Massenburg,PF,32.0,10.0,0.0,109.0,13.8,0.534,0.0,0.444,7.4,20.1,13.9,4.5,0.9,3.0,17.3,21.0,,0.1,0.1,0.2,0.073,,-4.7,-1.4,-6.0,-0.1,16.0,36.0,0.444,0.0,0.0,,16.0,36.0,0.444,0.444,14.0,16.0,0.875,7.0,20.0,27.0,3.0,2.0,5.0,9.0,13.0,46.0
LAC,12100,1995.0,Tony Massenburg,C,27.0,80.0,50.0,2127.0,11.7,0.526,0.005,0.391,8.3,17.5,12.6,4.9,1.1,2.0,14.3,16.8,,0.8,1.4,2.2,0.049,,-3.1,-0.3,-3.4,-0.8,282.0,601.0,0.469,0.0,3.0,0.0,282.0,598.0,0.47200000000000003,0.469,177.0,235.0,0.753,160.0,295.0,455.0,67.0,48.0,58.0,118.0,253.0,741.0
MEM,15794,2002.0,Tony Massenburg,PF,34.0,73.0,31.0,1247.0,11.4,0.503,0.003,0.335,9.0,20.0,14.5,3.5,1.3,1.7,14.0,17.0,,0.3,1.2,1.5,0.059000000000000004,,-4.4,-0.9,-5.3,-1.0,159.0,349.0,0.456,1.0,1.0,1.0,158.0,348.0,0.45399999999999996,0.457,84.0,117.0,0.718,100.0,224.0,324.0,26.0,30.0,31.0,65.0,174.0,403.0
NJN,13159,1997.0,Tony Massenburg,PF,29.0,79.0,49.0,1954.0,11.9,0.523,0.002,0.456,11.6,17.4,14.3,1.8,1.0,1.9,14.4,13.8,,1.6,1.2,2.8,0.069,,-2.8,-1.2,-3.9,-0.9,219.0,452.0,0.485,0.0,1.0,0.0,219.0,451.0,0.486,0.485,130.0,206.0,0.631,222.0,295.0,517.0,23.0,38.0,50.0,91.0,217.0,568.0
PHI,12587,1996.0,Tony Massenburg,PF,28.0,30.0,8.0,804.0,13.1,0.535,0.013000000000000001,0.39,10.5,16.4,13.4,2.6,1.0,1.0,12.1,17.5,,0.7,0.2,0.9,0.055999999999999994,,-2.7,-2.6,-5.3,-0.7,114.0,236.0,0.483,0.0,3.0,0.0,114.0,233.0,0.489,0.483,68.0,92.0,0.7390000000000001,75.0,111.0,186.0,12.0,15.0,11.0,38.0,73.0,296.0
SAC,16815,2004.0,Tony Massenburg,PF,36.0,59.0,0.0,789.0,9.7,0.509,0.005,0.28800000000000003,8.4,18.4,13.5,5.6,0.9,1.6,15.4,16.7,,0.3,0.6,0.9,0.057,,-3.6,-1.3,-4.8,-0.6,104.0,219.0,0.475,0.0,1.0,0.0,104.0,218.0,0.47700000000000004,0.475,43.0,63.0,0.6829999999999999,57.0,131.0,188.0,29.0,14.0,18.0,45.0,144.0,251.0
SAS,17405,2005.0,Tony Massenburg,PF,37.0,61.0,6.0,699.0,16.3,0.514,0.0,0.75,16.7,22.8,19.9,3.6,1.4,3.4,16.0,24.0,,0.1,1.4,1.1,0.129,,-3.2,1.1,-4.3,0.0,74.0,182.0,0.45,0.0,0.0,,74.0,182.0,0.45,0.45,48.0,63.0,0.762,54.0,109.0,163.0,14.0,18.0,20.0,40.0,122.0,196.0
TOR,12586,1996.0,Tony Massenburg,PF,28.0,24.0,20.0,659.0,12.9,0.541,0.0,0.332,9.4,20.7,15.0,4.4,1.0,1.0,13.5,17.4,,0.5,0.3,0.8,0.057,,-2.8,-2.3,-5.1,-0.5,100.0,196.0,0.51,0.0,0.0,,100.0,196.0,0.51,0.51,43.0,65.0,0.662,52.0,114.0,166.0,18.0,13.0,9.0,35.0,67.0,243.0
TOT,12585,1996.0,Tony Massenburg,PF,28.0,54.0,28.0,1463.0,13.0,0.5379999999999999,0.006999999999999999,0.6,10.0,21.4,15.2,3.4,1.0,1.0,22.2,18.6,,1.2,0.6,1.7,0.057,,-2.8,-2.4,-5.2,-0.3,214.0,432.0,0.495,0.0,3.0,0.0,214.0,429.0,0.499,0.495,111.0,157.0,0.7070000000000001,127.0,225.0,352.0,30.0,28.0,20.0,73.0,140.0,539.0
UTA,16282,2003.0,Tony Massenburg,C,35.0,58.0,1.0,792.0,9.2,0.508,0.0,0.36200000000000004,9.4,14.3,11.9,3.6,1.2,1.9,15.7,18.5,,0.2,0.8,1.0,0.061,,-3.4,-1.3,-4.7,-0.5,104.0,232.0,0.44799999999999995,0.0,0.0,,104.0,232.0,0.44799999999999995,0.44799999999999995,65.0,84.0,0.774,59.0,97.0,156.0,17.0,17.0,19.0,50.0,144.0,273.0
