Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,8362,1987.0,Tyrone Corbin,SF,24.0,31.0,15.0,732.0,11.6,0.469,0.016,0.254,7.5,10.5,9.0,14.8,2.9,0.6,14.6,19.0,,0.1,0.5,0.6,0.04,,-1.9,0.0,-1.9,0.0,113.0,264.0,0.428,0.0,1.0,0.0,113.0,264.0,0.429,0.428,49.0,67.0,0.731,52.0,67.0,119.0,80.0,38.0,3.0,46.0,81.0,275.0
CLE,8745,1988.0,Tyrone Corbin,SF,25.0,54.0,4.0,1148.0,11.4,0.5379999999999999,0.034,0.48700000000000004,8.9,14.7,11.8,7.0,1.8,0.8,15.3,16.0,,0.6,1.4,2.0,0.085,,-1.6,0.5,-1.1,0.3,158.0,322.0,0.491,1.0,4.0,0.25,158.0,319.0,0.495,0.491,77.0,98.0,0.7859999999999999,79.0,141.0,220.0,56.0,42.0,15.0,66.0,128.0,393.0
PHO,9178,1989.0,Tyrone Corbin,SF,26.0,77.0,30.0,1655.0,14.7,0.5920000000000001,0.015,0.39399999999999996,11.8,15.7,12.8,13.6,2.4,0.4,14.7,17.8,,3.1,2.3,5.4,0.156,,1.9,1.8,3.6,2.3,245.0,454.0,0.54,1.0,3.0,0.33299999999999996,245.0,452.0,0.542,0.54,141.0,179.0,0.825,176.0,222.0,398.0,118.0,82.0,13.0,92.0,222.0,631.0
MIN,10545,1992.0,Tyrone Corbin,SF,29.0,82.0,82.0,3196.0,16.6,0.512,0.01,0.373,8.2,16.4,12.0,17.1,3.1,1.1,13.6,23.6,,2.8,4.0,6.8,0.10800000000000001,,0.6,2.0,2.6,3.5,587.0,1311.0,0.48100000000000004,2.0,11.0,0.2,585.0,1301.0,0.486,0.48100000000000004,296.0,371.0,0.83,219.0,404.0,604.0,347.0,175.0,53.0,209.0,288.0,1472.0
UTA,11454,1994.0,Tyrone Corbin,SF,31.0,82.0,58.0,2555.0,14.4,0.562,0.049,0.303,8.9,15.3,12.2,9.8,2.4,0.8,12.4,16.3,,3.8,3.0,6.7,0.139,,0.9,2.0,2.6,3.0,385.0,766.0,0.504,6.0,29.0,0.207,385.0,761.0,0.507,0.504,180.0,218.0,0.878,194.0,325.0,519.0,173.0,108.0,32.0,108.0,252.0,950.0
MIA,12384,1996.0,Tyrone Corbin,SF,33.0,22.0,0.0,354.0,10.8,0.484,0.065,0.304,8.8,12.5,10.7,10.4,2.4,0.7,14.0,15.6,,0.2,0.6,0.7,0.09699999999999999,,-2.2,1.7,-0.5,0.1,38.0,92.0,0.413,2.0,6.0,0.33299999999999996,36.0,86.0,0.419,0.424,23.0,28.0,0.821,26.0,39.0,65.0,23.0,16.0,3.0,17.0,51.0,101.0
TOT,12382,1996.0,Tyrone Corbin,SF,33.0,84.0,15.0,2207.0,13.6,0.5429999999999999,0.051,0.342,8.6,15.2,12.0,11.2,2.5,1.2,15.1,17.2,,2.9,2.7,5.6,0.122,,0.2,1.4,1.4,1.9,303.0,630.0,0.49,3.0,18.0,0.25,303.0,626.0,0.493,0.49,174.0,201.0,0.866,163.0,309.0,472.0,140.0,82.0,20.0,104.0,193.0,780.0
ATL,14056,1999.0,Tyrone Corbin,SF,36.0,81.0,79.0,2699.0,12.0,0.514,0.355,0.24600000000000002,8.0,14.1,11.0,10.6,2.2,0.9,12.6,19.2,,2.9,3.1,5.5,0.10400000000000001,,0.2,1.0,0.7,1.8,328.0,747.0,0.442,74.0,208.0,0.35600000000000004,279.0,606.0,0.46799999999999997,0.483,101.0,128.0,0.7959999999999999,98.0,284.0,362.0,173.0,105.0,16.0,86.0,197.0,806.0
SAC,14572,2000.0,Tyrone Corbin,SF,37.0,54.0,5.0,941.0,13.3,0.521,0.17800000000000002,0.355,6.8,15.5,11.1,10.5,2.6,1.4,14.3,16.5,,0.7,1.1,1.8,0.092,,-1.6,1.3,-0.3,0.4,117.0,259.0,0.452,10.0,44.0,0.22699999999999998,116.0,247.0,0.47,0.45399999999999996,77.0,92.0,0.846,55.0,125.0,179.0,61.0,47.0,17.0,50.0,99.0,312.0
TOR,15064,2001.0,Tyrone Corbin,SF,38.0,15.0,1.0,117.0,-2.2,0.252,0.132,0.105,2.8,9.9,6.3,5.0,0.9,0.0,7.0,16.3,,-0.4,0.1,-0.3,-0.126,,-8.4,-2.6,-11.0,-0.3,9.0,38.0,0.237,0.0,5.0,0.0,9.0,33.0,0.273,0.237,2.0,4.0,0.5,3.0,10.0,13.0,4.0,2.0,0.0,3.0,18.0,20.0
