,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6120,6120,1981.0,Tom Burleson,C,28.0,ATL,31.0,,363.0,8.5,0.436,0.0,0.414,13.7,16.0,14.9,4.6,1.1,3.1,17.0,16.1,,-0.2,0.3,0.2,0.021,,-3.5,0.0,-3.6,-0.1,41.0,99.0,0.414,0.0,0.0,,41.0,99.0,0.414,0.414,20.0,41.0,0.488,44.0,50.0,94.0,12.0,8.0,19.0,24.0,73.0,102.0
6137,6137,1981.0,Art Collins,SG,26.0,ATL,29.0,,395.0,4.3,0.409,0.02,0.364,5.4,6.5,6.0,8.6,1.3,0.2,21.8,15.4,,-0.6,0.2,-0.4,-0.054000000000000006,,-5.1,-1.2,-6.3,-0.4,35.0,99.0,0.354,0.0,2.0,0.0,35.0,97.0,0.361,0.354,24.0,36.0,0.667,19.0,22.0,41.0,25.0,11.0,1.0,32.0,35.0,94.0
6139,6139,1981.0,Don Collins,SF,22.0,ATL,47.0,,1184.0,15.0,0.496,0.006,0.306,9.2,8.9,9.1,15.4,2.8,0.6,15.1,24.8,,0.7,1.0,1.8,0.07200000000000001,,0.5,-0.2,0.3,0.7,230.0,530.0,0.434,0.0,3.0,0.0,230.0,527.0,0.436,0.434,137.0,162.0,0.846,96.0,91.0,187.0,115.0,69.0,11.0,107.0,166.0,597.0
6147,6147,1981.0,Charlie Criss,PG,32.0,ATL,66.0,,1708.0,13.0,0.54,0.043,0.441,1.7,5.0,3.4,23.8,1.7,0.1,18.8,17.3,,1.8,0.7,2.5,0.07,,-0.7,-2.3,-2.9,-0.4,220.0,485.0,0.45399999999999996,1.0,21.0,0.048,219.0,464.0,0.47200000000000003,0.455,185.0,214.0,0.8640000000000001,26.0,74.0,100.0,283.0,61.0,3.0,134.0,87.0,626.0
6166,6166,1981.0,John Drew,SF,26.0,ATL,67.0,,2075.0,19.2,0.539,0.006,0.526,7.9,13.3,10.6,6.5,2.3,0.4,12.6,30.9,,3.5,1.9,5.4,0.124,,0.6,-2.4,-1.8,0.1,500.0,1096.0,0.456,0.0,7.0,0.0,500.0,1089.0,0.45899999999999996,0.456,454.0,577.0,0.787,145.0,238.0,383.0,79.0,98.0,15.0,194.0,264.0,1454.0
6214,6214,1981.0,Steve Hawes,C,30.0,ATL,74.0,,2309.0,14.7,0.585,0.006,0.436,8.1,19.9,13.9,10.7,1.5,0.8,17.5,16.5,,3.4,2.3,5.7,0.11900000000000001,,0.7,1.0,1.6,2.1,333.0,637.0,0.523,1.0,4.0,0.25,332.0,633.0,0.524,0.524,222.0,278.0,0.799,165.0,396.0,561.0,168.0,73.0,32.0,161.0,289.0,889.0
6223,6223,1981.0,Armond Hill,PG,27.0,ATL,24.0,,624.0,7.2,0.435,0.009000000000000001,0.431,1.8,7.6,4.7,24.8,2.0,0.3,29.6,13.0,,-0.5,0.4,-0.2,-0.013000000000000001,,-4.0,-0.7,-4.7,-0.4,39.0,116.0,0.336,0.0,1.0,0.0,39.0,115.0,0.33899999999999997,0.336,42.0,50.0,0.84,10.0,41.0,51.0,118.0,26.0,3.0,58.0,60.0,120.0
6240,6240,1981.0,Eddie Johnson,SG,25.0,ATL,75.0,,2693.0,17.9,0.5539999999999999,0.018000000000000002,0.313,2.5,5.1,3.8,24.7,2.3,0.2,13.2,22.9,,5.3,1.5,6.9,0.122,,2.7,-1.7,1.0,2.0,573.0,1136.0,0.504,6.0,20.0,0.3,567.0,1116.0,0.508,0.507,279.0,356.0,0.784,60.0,119.0,179.0,407.0,126.0,11.0,197.0,188.0,1431.0
6301,6301,1981.0,Wes Matthews,PG,21.0,ATL,34.0,,1105.0,13.6,0.5529999999999999,0.018000000000000002,0.373,1.6,5.9,3.7,28.2,2.7,0.4,22.6,18.6,,0.8,0.8,1.6,0.069,,-0.3,-1.2,-1.4,0.2,161.0,330.0,0.488,0.0,6.0,0.0,161.0,324.0,0.49700000000000005,0.488,103.0,123.0,0.8370000000000001,16.0,56.0,72.0,212.0,61.0,7.0,112.0,122.0,425.0
6310,6310,1981.0,Jim McElroy,PG,27.0,ATL,54.0,,680.0,5.9,0.45,0.04,0.292,1.7,6.5,4.0,17.4,1.4,0.8,25.7,18.7,,-1.2,0.3,-0.9,-0.062,,-5.7,-2.0,-7.6,-1.0,78.0,202.0,0.386,1.0,8.0,0.125,77.0,194.0,0.397,0.389,48.0,59.0,0.8140000000000001,10.0,38.0,48.0,84.0,20.0,9.0,79.0,62.0,205.0
