,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3102,3102,1971.0,Don Chaney,SG,24.0,BOS,81.0,,2289.0,13.0,0.515,,0.409,,,8.7,12.7,,,,,,2.7,3.2,5.9,0.124,,,,,,348.0,766.0,0.45399999999999996,,,,348.0,766.0,0.45399999999999996,0.45399999999999996,234.0,313.0,0.748,,,463.0,235.0,,,,288.0,930.0
3112,3112,1971.0,Dave Cowens*,C,22.0,BOS,81.0,,3076.0,15.4,0.46799999999999997,,0.28600000000000003,,,17.0,9.5,,,,,,0.6,5.8,6.4,0.1,,,,,,550.0,1302.0,0.42200000000000004,,,,550.0,1302.0,0.42200000000000004,0.42200000000000004,273.0,373.0,0.732,,,1216.0,228.0,,,,350.0,1373.0
3126,3126,1971.0,Bill Dinwiddie,PF,27.0,BOS,61.0,,717.0,10.4,0.41600000000000004,,0.226,,,12.6,6.0,,,,,,-0.9,1.1,0.2,0.011000000000000001,,,,,,123.0,328.0,0.375,,,,123.0,328.0,0.375,0.375,54.0,74.0,0.73,,,209.0,34.0,,,,90.0,300.0
3137,3137,1971.0,Hank Finkel,C,28.0,BOS,80.0,,1234.0,12.1,0.478,,0.26,,,12.0,8.1,,,,,,0.5,1.8,2.3,0.091,,,,,,214.0,489.0,0.43799999999999994,,,,214.0,489.0,0.43799999999999994,0.43799999999999994,93.0,127.0,0.732,,,343.0,79.0,,,,196.0,521.0
3166,3166,1971.0,John Havlicek*,SF,30.0,BOS,81.0,,3678.0,20.8,0.513,,0.342,,,8.6,23.0,,,,,,6.6,5.9,12.5,0.16399999999999998,,,,,,892.0,1982.0,0.45,,,,892.0,1982.0,0.45,0.45,554.0,677.0,0.818,,,730.0,607.0,,,,200.0,2338.0
3188,3188,1971.0,Rich Johnson,C,24.0,BOS,1.0,,13.0,22.2,0.8,,0.0,,,16.6,0.0,,,,,,0.1,0.0,0.1,0.406,,,,,,4.0,5.0,0.8,,,,4.0,5.0,0.8,0.8,0.0,0.0,,,,5.0,0.0,,,,3.0,8.0
3198,3198,1971.0,Steve Kuberski,PF,23.0,BOS,82.0,,1867.0,11.8,0.46,,0.24600000000000002,,,12.4,5.3,,,,,,-0.1,2.7,2.6,0.066,,,,,,313.0,745.0,0.42,,,,313.0,745.0,0.42,0.42,133.0,183.0,0.727,,,538.0,78.0,,,,198.0,759.0
3228,3228,1971.0,Rex Morgan,SG,22.0,BOS,34.0,,266.0,10.7,0.465,,0.529,,,9.9,10.2,,,,,,0.0,0.4,0.4,0.07400000000000001,,,,,,41.0,102.0,0.402,,,,41.0,102.0,0.402,0.402,35.0,54.0,0.648,,,61.0,22.0,,,,58.0,117.0
3235,3235,1971.0,Don Nelson*,SF,30.0,BOS,82.0,,2254.0,15.9,0.534,,0.484,,,10.8,8.7,,,,,,4.2,3.2,7.4,0.157,,,,,,412.0,881.0,0.46799999999999997,,,,412.0,881.0,0.46799999999999997,0.46799999999999997,317.0,426.0,0.7440000000000001,,,565.0,153.0,,,,232.0,1141.0
3255,3255,1971.0,Tom Sanders*,SF,32.0,BOS,17.0,,121.0,6.1,0.41,,0.182,,,6.1,11.0,,,,,,-0.1,0.1,0.0,0.006,,,,,,16.0,44.0,0.364,,,,16.0,44.0,0.364,0.364,7.0,8.0,0.875,,,17.0,11.0,,,,25.0,39.0
3263,3263,1971.0,Garfield Smith,C,25.0,BOS,37.0,,281.0,7.6,0.377,,0.483,,,14.6,3.9,,,,,,-0.6,0.4,-0.2,-0.035,,,,,,42.0,116.0,0.36200000000000004,,,,42.0,116.0,0.36200000000000004,0.36200000000000004,22.0,56.0,0.39299999999999996,,,95.0,9.0,,,,53.0,106.0
3300,3300,1971.0,Jo Jo,PG,24.0,BOS,75.0,,2787.0,16.2,0.496,,0.18,,,5.8,18.2,,,,,,3.1,3.6,6.7,0.11599999999999999,,,,,,693.0,1494.0,0.46399999999999997,,,,693.0,1494.0,0.46399999999999997,0.46399999999999997,215.0,269.0,0.799,,,376.0,361.0,,,,255.0,1601.0
3302,3302,1971.0,Art Williams,PG,31.0,BOS,74.0,,1141.0,12.5,0.491,,0.252,,,7.7,24.6,,,,,,0.8,1.9,2.7,0.114,,,,,,150.0,330.0,0.455,,,,150.0,330.0,0.455,0.455,60.0,83.0,0.723,,,205.0,233.0,,,,182.0,360.0
3307,3307,1971.0,Willie Williams,F,24.0,BOS,16.0,,56.0,-2.9,0.21899999999999997,,0.156,,,7.7,4.2,,,,,,-0.4,0.1,-0.4,-0.32899999999999996,,,,,,6.0,32.0,0.188,,,,6.0,32.0,0.188,0.188,3.0,5.0,0.6,,,10.0,2.0,,,,8.0,15.0
