,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21148,21148,2012.0,D.J. Augustin,PG,24.0,CHA,48.0,46.0,1408.0,14.1,0.493,0.368,0.24600000000000002,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,,0.7,-0.2,0.5,0.018000000000000002,,0.8,-4.4,-3.6,-0.6,183.0,487.0,0.376,61.0,179.0,0.341,122.0,308.0,0.396,0.43799999999999994,105.0,120.0,0.875,24.0,85.0,109.0,307.0,36.0,1.0,110.0,65.0,532.0
21174,21174,2012.0,Bismack Biyombo,C,19.0,CHA,63.0,41.0,1455.0,10.6,0.48,0.0,0.514,8.6,20.8,14.5,3.1,0.7,5.9,17.2,13.1,,-0.5,1.1,0.6,0.019,,-5.4,1.5,-3.9,-0.7,129.0,278.0,0.46399999999999997,0.0,0.0,,129.0,278.0,0.46399999999999997,0.46399999999999997,69.0,143.0,0.483,113.0,255.0,368.0,27.0,20.0,115.0,71.0,145.0,327.0
21193,21193,2012.0,Derrick Brown,SF,24.0,CHA,65.0,17.0,1443.0,14.7,0.556,0.059000000000000004,0.345,7.3,11.6,9.4,8.5,1.8,0.6,10.5,16.8,,2.0,0.3,2.3,0.076,,-0.3,-1.2,-1.5,0.2,212.0,409.0,0.518,6.0,24.0,0.25,206.0,385.0,0.535,0.526,94.0,141.0,0.667,95.0,141.0,236.0,67.0,48.0,12.0,55.0,96.0,524.0
21213,21213,2012.0,Matt Carroll,SG,31.0,CHA,53.0,2.0,596.0,5.6,0.409,0.27399999999999997,0.242,1.5,10.0,5.6,10.6,1.4,0.9,12.1,15.3,,-0.7,0.1,-0.6,-0.051,,-5.3,-2.1,-7.3,-0.8,52.0,157.0,0.331,8.0,43.0,0.18600000000000003,44.0,114.0,0.386,0.35700000000000004,30.0,38.0,0.789,8.0,50.0,58.0,38.0,16.0,7.0,24.0,52.0,142.0
21253,21253,2012.0,Boris Diaw,PF,29.0,CHA,37.0,28.0,1018.0,10.8,0.461,0.304,0.095,5.1,17.3,11.0,26.9,1.0,1.4,22.2,17.2,,-0.8,0.3,-0.5,-0.023,,-2.2,-0.4,-2.6,-0.2,116.0,283.0,0.41,23.0,86.0,0.267,93.0,197.0,0.47200000000000003,0.451,17.0,27.0,0.63,47.0,148.0,195.0,158.0,20.0,19.0,84.0,71.0,272.0
21256,21256,2012.0,DeSagana Diop,C,30.0,CHA,27.0,9.0,325.0,6.8,0.34700000000000003,0.0,0.14300000000000002,11.2,19.0,15.0,11.0,1.0,3.0,29.9,9.0,,-0.3,0.2,-0.2,-0.025,,-5.8,1.7,-4.1,-0.2,15.0,42.0,0.35700000000000004,0.0,0.0,,15.0,42.0,0.35700000000000004,0.35700000000000004,1.0,6.0,0.16699999999999998,33.0,52.0,85.0,23.0,6.0,13.0,19.0,36.0,31.0
21352,21352,2012.0,Gerald Henderson,SG,24.0,CHA,55.0,55.0,1831.0,14.0,0.511,0.065,0.282,3.9,10.5,7.0,13.5,1.4,0.8,11.0,23.0,,0.8,0.2,1.0,0.026000000000000002,,-0.7,-1.9,-2.6,-0.3,332.0,723.0,0.45899999999999996,11.0,47.0,0.23399999999999999,321.0,676.0,0.475,0.467,155.0,204.0,0.76,64.0,161.0,225.0,126.0,49.0,20.0,100.0,128.0,830.0
21358,21358,2012.0,Cory Higgins,PG,22.0,CHA,38.0,0.0,423.0,4.1,0.402,0.125,0.375,1.8,7.9,4.7,15.0,0.6,1.1,17.3,24.6,,-1.2,-0.1,-1.3,-0.15,,-7.4,-4.1,-11.6,-1.0,52.0,160.0,0.325,4.0,20.0,0.2,48.0,140.0,0.34299999999999997,0.33799999999999997,42.0,60.0,0.7,7.0,28.0,35.0,36.0,5.0,6.0,39.0,40.0,150.0
21458,21458,2012.0,Corey Maggette,SF,32.0,CHA,32.0,28.0,881.0,14.1,0.517,0.177,0.5579999999999999,2.6,14.0,8.1,8.3,1.4,0.1,11.3,27.4,,0.5,0.1,0.7,0.038,,-1.4,-3.7,-5.2,-0.7,139.0,373.0,0.373,24.0,66.0,0.364,115.0,307.0,0.375,0.405,178.0,208.0,0.856,21.0,104.0,125.0,39.0,23.0,1.0,59.0,83.0,480.0
21487,21487,2012.0,Jamario Moon,SF,31.0,CHA,8.0,0.0,123.0,3.4,0.36200000000000004,0.41700000000000004,0.083,1.8,19.3,10.3,6.4,0.4,3.0,24.3,12.3,,-0.3,0.0,-0.3,-0.1,,-8.3,-0.3,-8.6,-0.2,7.0,24.0,0.292,2.0,10.0,0.2,5.0,14.0,0.35700000000000004,0.33299999999999996,2.0,2.0,1.0,2.0,20.0,22.0,5.0,1.0,5.0,8.0,5.0,18.0
21495,21495,2012.0,Byron Mullens,C,22.0,CHA,65.0,25.0,1465.0,13.0,0.473,0.086,0.19,7.3,18.8,12.8,7.5,0.8,2.6,10.4,22.5,,-0.4,0.6,0.2,0.006999999999999999,,-3.3,-1.7,-5.0,-1.1,251.0,591.0,0.425,12.0,51.0,0.235,239.0,540.0,0.44299999999999995,0.435,92.0,112.0,0.821,96.0,231.0,327.0,57.0,21.0,52.0,74.0,137.0,606.0
21498,21498,2012.0,Eduardo Najera,PF,35.0,CHA,22.0,0.0,270.0,9.3,0.441,0.45299999999999996,0.063,4.5,17.2,10.6,7.4,3.7,1.1,9.6,12.4,,-0.1,0.3,0.2,0.035,,-2.8,1.0,-1.8,0.0,24.0,64.0,0.375,8.0,29.0,0.276,16.0,35.0,0.457,0.43799999999999994,2.0,4.0,0.5,11.0,39.0,50.0,12.0,19.0,4.0,7.0,40.0,58.0
21599,21599,2012.0,Tyrus Thomas,PF,25.0,CHA,54.0,30.0,1013.0,9.0,0.418,0.009000000000000001,0.254,5.4,17.7,11.3,6.0,1.9,4.4,12.7,19.0,,-1.5,0.8,-0.6,-0.028999999999999998,,-6.2,0.8,-5.4,-0.9,120.0,327.0,0.36700000000000005,1.0,3.0,0.33299999999999996,119.0,324.0,0.36700000000000005,0.369,63.0,83.0,0.759,49.0,151.0,200.0,35.0,36.0,60.0,53.0,144.0,304.0
21630,21630,2012.0,Kemba Walker,PG,21.0,CHA,66.0,25.0,1792.0,14.9,0.46399999999999997,0.295,0.278,1.9,13.5,7.5,30.2,1.8,0.8,12.1,25.2,,-0.2,0.5,0.3,0.009000000000000001,,0.6,-1.8,-1.2,0.3,281.0,767.0,0.366,69.0,226.0,0.305,212.0,541.0,0.392,0.41100000000000003,168.0,213.0,0.789,30.0,204.0,234.0,289.0,60.0,20.0,119.0,79.0,799.0
21647,21647,2012.0,D.J. White,PF,25.0,CHA,58.0,11.0,1098.0,12.4,0.516,0.003,0.17300000000000001,5.0,17.2,10.9,8.1,0.8,1.6,10.2,17.8,,0.5,0.3,0.8,0.034,,-3.1,-1.5,-4.6,-0.7,174.0,353.0,0.493,1.0,1.0,1.0,173.0,352.0,0.491,0.494,43.0,61.0,0.705,50.0,159.0,209.0,47.0,17.0,23.0,43.0,94.0,392.0
21658,21658,2012.0,Reggie Williams,SF,25.0,CHA,33.0,13.0,747.0,12.4,0.503,0.42,0.157,4.0,10.5,7.1,14.7,1.4,0.3,10.8,18.9,,0.3,0.0,0.3,0.022000000000000002,,0.0,-2.5,-2.5,-0.1,106.0,255.0,0.41600000000000004,33.0,107.0,0.308,73.0,148.0,0.493,0.48,29.0,40.0,0.725,27.0,66.0,93.0,60.0,20.0,3.0,33.0,34.0,274.0
