,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4677,4677,1977.0,Tom Boerwinkle,C,31.0,CHI,82.0,,1070.0,14.7,0.502,,0.231,9.7,20.8,15.2,25.4,0.9,1.0,,,,0.8,1.5,2.3,0.102,,0.0,1.4,1.4,0.9,134.0,273.0,0.491,,,,134.0,273.0,0.491,0.491,34.0,63.0,0.54,101.0,211.0,312.0,189.0,19.0,19.0,,147.0,302.0
4747,4747,1977.0,Eric Fernsten,C,23.0,CHI,5.0,,61.0,10.0,0.353,,0.733,15.2,12.1,13.7,12.8,0.8,2.7,,,,-0.1,0.1,0.0,0.004,,-4.0,0.6,-3.4,0.0,3.0,15.0,0.2,,,,3.0,15.0,0.2,0.2,8.0,11.0,0.727,9.0,7.0,16.0,6.0,1.0,3.0,,9.0,14.0
4768,4768,1977.0,Artis Gilmore*,C,27.0,CHI,82.0,,2877.0,21.6,0.5660000000000001,,0.537,11.2,27.7,19.4,11.1,0.7,3.9,,,,6.7,5.5,12.2,0.203,,2.8,2.1,5.0,5.1,570.0,1091.0,0.522,,,,570.0,1091.0,0.522,0.522,387.0,586.0,0.66,313.0,757.0,1070.0,199.0,44.0,203.0,,266.0,1527.0
4793,4793,1977.0,Phil Hicks,SF,24.0,CHI,35.0,,255.0,13.5,0.502,,0.149,10.1,16.5,13.3,13.7,1.3,0.0,,,,0.2,0.3,0.5,0.102,,-1.2,-0.5,-1.7,0.0,41.0,87.0,0.47100000000000003,,,,41.0,87.0,0.47100000000000003,0.47100000000000003,11.0,13.0,0.846,25.0,40.0,65.0,23.0,7.0,0.0,,36.0,93.0
4796,4796,1977.0,Wilbur Holland,SG,25.0,CHI,79.0,,2453.0,15.6,0.488,,0.171,3.3,7.5,5.4,16.8,3.3,0.4,,,,2.4,3.6,5.9,0.11599999999999999,,0.4,0.7,1.1,1.9,509.0,1120.0,0.45399999999999996,,,,509.0,1120.0,0.45399999999999996,0.45399999999999996,158.0,192.0,0.823,78.0,175.0,253.0,253.0,169.0,16.0,,201.0,1176.0
4812,4812,1977.0,Mickey Johnson,PF,24.0,CHI,81.0,,2847.0,17.6,0.506,,0.33799999999999997,10.7,19.6,15.1,10.8,1.7,1.3,,,,3.9,4.5,8.5,0.14300000000000002,,1.3,1.0,2.3,3.1,538.0,1205.0,0.446,,,,538.0,1205.0,0.446,0.446,324.0,407.0,0.7959999999999999,297.0,531.0,828.0,195.0,103.0,64.0,,315.0,1400.0
4826,4826,1977.0,Tom Kropp,SG,23.0,CHI,53.0,,480.0,10.8,0.512,,0.27,4.5,5.7,5.1,12.2,1.8,0.1,,,,0.2,0.5,0.7,0.07200000000000001,,-2.1,-1.3,-3.5,-0.2,73.0,152.0,0.48,,,,73.0,152.0,0.48,0.48,28.0,41.0,0.6829999999999999,21.0,26.0,47.0,39.0,18.0,1.0,,77.0,174.0
4835,4835,1977.0,John Laskowski,SG,23.0,CHI,47.0,,562.0,9.8,0.39299999999999996,,0.142,2.9,8.8,5.8,11.4,2.7,0.2,,,,-0.4,0.7,0.4,0.03,,-5.5,-0.1,-5.6,-0.5,75.0,212.0,0.354,,,,75.0,212.0,0.354,0.354,27.0,30.0,0.9,16.0,47.0,63.0,44.0,32.0,2.0,,22.0,177.0
4841,4841,1977.0,Bob Love,SF,34.0,CHI,14.0,,496.0,7.8,0.386,,0.22899999999999998,7.9,7.4,7.7,6.8,0.8,0.2,,,,-0.4,0.4,0.0,-0.003,,-4.6,-1.5,-6.1,-0.5,68.0,201.0,0.33799999999999997,,,,68.0,201.0,0.33799999999999997,0.33799999999999997,35.0,46.0,0.7609999999999999,38.0,35.0,73.0,23.0,8.0,2.0,,47.0,171.0
4850,4850,1977.0,Jack Marin,SF,32.0,CHI,54.0,,869.0,11.1,0.485,,0.109,3.2,7.8,5.4,11.4,0.7,0.4,,,,0.6,0.7,1.3,0.073,,-3.0,-2.1,-5.1,-0.7,167.0,359.0,0.465,,,,167.0,359.0,0.465,0.465,31.0,39.0,0.795,27.0,64.0,91.0,62.0,13.0,6.0,,85.0,365.0
4851,4851,1977.0,Scott May,SF,22.0,CHI,72.0,,2369.0,14.1,0.498,,0.23800000000000002,6.1,13.2,9.6,9.6,1.6,0.4,,,,2.6,2.9,5.4,0.11,,-0.8,0.1,-0.7,0.8,431.0,955.0,0.451,,,,431.0,955.0,0.451,0.451,188.0,227.0,0.828,141.0,296.0,437.0,145.0,78.0,17.0,,185.0,1050.0
4861,4861,1977.0,Paul McCracken,SG,26.0,CHI,9.0,,119.0,11.6,0.428,,0.38299999999999995,5.2,8.9,7.0,17.6,2.4,0.0,,,,-0.1,0.1,0.0,0.019,,-2.5,-1.0,-3.6,0.0,18.0,47.0,0.38299999999999995,,,,18.0,47.0,0.38299999999999995,0.38299999999999995,11.0,18.0,0.611,6.0,10.0,16.0,14.0,6.0,0.0,,17.0,47.0
4873,4873,1977.0,John Mengelt,SG,27.0,CHI,61.0,,1178.0,12.9,0.499,,0.247,2.5,7.2,4.9,15.1,1.5,0.2,,,,1.1,1.1,2.3,0.092,,-1.6,-1.4,-3.0,-0.3,209.0,458.0,0.456,,,,209.0,458.0,0.456,0.456,89.0,113.0,0.7879999999999999,29.0,81.0,110.0,114.0,37.0,4.0,,102.0,507.0
4898,4898,1977.0,Cliff Pondexter,PF,22.0,CHI,78.0,,996.0,10.0,0.44799999999999995,,0.253,8.0,16.8,12.3,5.8,1.6,0.6,,,,0.1,1.4,1.5,0.071,,-4.7,0.4,-4.3,-0.6,107.0,257.0,0.41600000000000004,,,,107.0,257.0,0.41600000000000004,0.41600000000000004,42.0,65.0,0.6459999999999999,77.0,159.0,236.0,41.0,34.0,11.0,,82.0,256.0
4937,4937,1977.0,Willie Smith,PG,23.0,CHI,2.0,,11.0,-3.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.067,,-12.1,-0.1,-12.2,0.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0
4943,4943,1977.0,Keith Starr,SG,22.0,CHI,17.0,,65.0,3.7,0.281,,0.083,9.5,6.5,8.0,12.7,0.7,0.0,,,,-0.2,0.0,-0.2,-0.111,,-7.5,-2.2,-9.8,-0.1,6.0,24.0,0.25,,,,6.0,24.0,0.25,0.25,2.0,2.0,1.0,6.0,4.0,10.0,6.0,1.0,0.0,,11.0,14.0
4964,4964,1977.0,Norm Van,PG,29.0,CHI,82.0,,3097.0,13.4,0.485,,0.42,3.6,8.9,6.2,28.4,2.0,0.3,,,,1.9,3.6,5.5,0.085,,0.0,0.9,0.9,2.3,300.0,729.0,0.41200000000000003,,,,300.0,729.0,0.41200000000000003,0.41200000000000003,238.0,306.0,0.778,108.0,262.0,370.0,636.0,129.0,16.0,,268.0,838.0
