,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22880,22880,2015.0,Lou Amundson,PF,32.0,CLE,12.0,0.0,79.0,3.8,0.387,0.0,0.41700000000000004,7.4,21.5,14.5,8.7,0.7,0.0,26.0,11.0,,-0.1,0.1,0.0,-0.011000000000000001,,-6.2,-0.1,-6.3,-0.1,4.0,12.0,0.33299999999999996,0.0,0.0,,4.0,12.0,0.33299999999999996,0.33299999999999996,3.0,5.0,0.6,5.0,15.0,20.0,5.0,1.0,0.0,5.0,11.0,11.0
22973,22973,2015.0,Will Cherry,PG,23.0,CLE,8.0,0.0,69.0,5.8,0.34700000000000003,0.474,0.316,1.7,6.6,4.2,16.4,4.5,1.1,15.6,16.8,,-0.1,0.1,0.0,-0.021,,-4.4,0.7,-3.7,0.0,5.0,19.0,0.263,2.0,9.0,0.222,3.0,10.0,0.3,0.316,3.0,6.0,0.5,1.0,4.0,5.0,8.0,6.0,1.0,4.0,10.0,15.0
23020,23020,2015.0,Matthew Dellavedova,SG,24.0,CLE,67.0,13.0,1380.0,8.5,0.493,0.544,0.124,3.1,7.3,5.2,21.1,0.9,0.1,15.9,12.6,,1.4,0.5,1.9,0.067,,-0.6,-2.0,-2.6,-0.2,111.0,307.0,0.36200000000000004,68.0,167.0,0.40700000000000003,43.0,140.0,0.307,0.47200000000000003,29.0,38.0,0.763,37.0,89.0,126.0,204.0,24.0,2.0,61.0,152.0,319.0
23118,23118,2015.0,Joe Harris,SG,23.0,CLE,51.0,1.0,493.0,5.6,0.537,0.7,0.125,1.7,7.8,4.8,7.7,0.7,0.3,17.6,14.1,,0.0,0.2,0.2,0.018000000000000002,,-2.0,-2.5,-4.5,-0.3,48.0,120.0,0.4,31.0,84.0,0.369,17.0,36.0,0.47200000000000003,0.529,9.0,15.0,0.6,7.0,34.0,41.0,26.0,7.0,2.0,27.0,62.0,136.0
23124,23124,2015.0,Brendan Haywood,C,35.0,CLE,22.0,1.0,119.0,9.1,0.49,0.0,0.433,5.9,21.9,14.0,2.5,0.9,6.6,21.9,17.3,,-0.2,0.2,0.0,0.008,,-7.9,1.3,-6.6,-0.1,14.0,30.0,0.467,0.0,0.0,,14.0,30.0,0.467,0.467,7.0,13.0,0.5379999999999999,6.0,23.0,29.0,2.0,2.0,10.0,10.0,17.0,35.0
23148,23148,2015.0,Kyrie Irving,PG,22.0,CLE,75.0,75.0,2730.0,21.5,0.583,0.306,0.29600000000000004,2.3,7.5,5.0,25.0,2.2,0.6,11.8,26.2,,8.4,2.0,10.4,0.183,,4.7,-1.4,3.3,3.7,578.0,1235.0,0.46799999999999997,157.0,378.0,0.415,421.0,857.0,0.491,0.532,315.0,365.0,0.863,55.0,182.0,237.0,389.0,114.0,20.0,186.0,146.0,1628.0
23154,23154,2015.0,LeBron James,SF,30.0,CLE,69.0,69.0,2493.0,25.9,0.5770000000000001,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,,7.4,2.9,10.4,0.19899999999999998,,6.2,1.2,7.4,5.9,624.0,1279.0,0.488,120.0,339.0,0.354,504.0,940.0,0.536,0.535,375.0,528.0,0.71,51.0,365.0,416.0,511.0,109.0,49.0,272.0,135.0,1743.0
23177,23177,2015.0,James Jones,SF,34.0,CLE,57.0,2.0,669.0,11.1,0.565,0.871,0.22899999999999998,1.6,9.0,5.3,5.4,1.0,0.9,5.5,15.8,,1.2,0.4,1.5,0.11,,1.4,-2.8,-1.4,0.1,74.0,201.0,0.368,63.0,175.0,0.36,11.0,26.0,0.423,0.525,39.0,46.0,0.848,9.0,53.0,62.0,24.0,13.0,8.0,13.0,67.0,250.0
23192,23192,2015.0,Alex Kirk,C,23.0,CLE,5.0,0.0,14.0,8.5,0.41,0.0,0.5,8.3,0.0,4.1,10.1,0.0,0.0,0.0,15.7,,0.0,0.0,0.0,0.061,,-3.0,-4.3,-7.4,0.0,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
23220,23220,2015.0,Kevin Love,PF,26.0,CLE,75.0,75.0,2532.0,18.8,0.562,0.41200000000000003,0.337,6.5,26.3,16.6,10.7,1.0,1.2,10.0,21.7,,5.8,2.9,8.7,0.165,,2.0,-0.1,1.9,2.5,413.0,952.0,0.434,144.0,392.0,0.36700000000000005,269.0,560.0,0.48,0.509,258.0,321.0,0.804,142.0,589.0,731.0,168.0,51.0,39.0,122.0,140.0,1228.0
23227,23227,2015.0,Shawn Marion,SF,36.0,CLE,57.0,24.0,1101.0,11.0,0.489,0.172,0.127,6.8,14.2,10.5,6.9,1.3,1.9,10.5,12.9,,0.8,0.9,1.7,0.07400000000000001,,-2.0,0.7,-1.3,0.2,119.0,267.0,0.446,12.0,46.0,0.261,107.0,221.0,0.484,0.46799999999999997,26.0,34.0,0.765,64.0,138.0,202.0,51.0,27.0,27.0,33.0,58.0,276.0
23258,23258,2015.0,Mike Miller,SF,34.0,CLE,52.0,15.0,701.0,4.6,0.47100000000000003,0.86,0.035,0.7,14.0,7.4,9.0,1.0,0.5,16.6,8.9,,-0.1,0.5,0.4,0.027999999999999997,,-2.6,-0.3,-3.0,-0.2,37.0,114.0,0.325,32.0,98.0,0.327,5.0,16.0,0.313,0.465,3.0,4.0,0.75,4.0,87.0,91.0,46.0,14.0,4.0,23.0,74.0,109.0
23277,23277,2015.0,Timofey Mozgov,C,28.0,CLE,46.0,45.0,1148.0,18.7,0.621,0.0,0.389,11.4,20.4,15.9,5.6,0.8,3.9,15.0,18.1,,2.5,1.3,3.9,0.161,,-0.2,0.8,0.6,0.8,197.0,334.0,0.59,0.0,0.0,,197.0,334.0,0.59,0.59,92.0,130.0,0.708,112.0,207.0,319.0,39.0,18.0,56.0,69.0,113.0,486.0
23320,23320,2015.0,Kendrick Perkins,C,30.0,CLE,17.0,0.0,167.0,4.7,0.494,0.0,0.195,7.7,20.3,14.1,7.2,0.6,1.9,32.1,17.7,,-0.4,0.2,-0.2,-0.059000000000000004,,-7.4,-0.1,-7.6,-0.2,20.0,41.0,0.488,0.0,0.0,,20.0,41.0,0.488,0.488,4.0,8.0,0.5,11.0,30.0,41.0,8.0,2.0,4.0,21.0,27.0,44.0
23336,23336,2015.0,A.J. Price,PG,28.0,CLE,11.0,0.0,87.0,7.7,0.3,0.324,0.17600000000000002,5.4,14.3,9.9,22.1,1.8,0.0,7.6,20.6,,-0.2,0.1,-0.1,-0.051,,-4.6,-1.5,-6.1,-0.1,9.0,34.0,0.265,0.0,11.0,0.0,9.0,23.0,0.391,0.265,4.0,6.0,0.667,4.0,11.0,15.0,13.0,3.0,0.0,3.0,1.0,22.0
23392,23392,2015.0,Iman Shumpert,SG,24.0,CLE,38.0,1.0,920.0,11.1,0.508,0.508,0.105,4.2,13.5,8.9,9.3,2.9,1.1,15.5,15.6,,0.1,1.1,1.2,0.065,,-0.7,1.3,0.6,0.6,105.0,256.0,0.41,44.0,130.0,0.33799999999999997,61.0,126.0,0.484,0.496,18.0,27.0,0.667,33.0,110.0,143.0,57.0,51.0,13.0,49.0,71.0,272.0
23409,23409,2015.0,J.R. Smith,SG,29.0,CLE,46.0,45.0,1461.0,14.5,0.565,0.667,0.065,2.1,10.4,6.3,12.3,2.3,1.0,9.1,17.6,,2.4,1.3,3.8,0.124,,3.0,-0.1,2.9,1.8,214.0,504.0,0.425,131.0,336.0,0.39,83.0,168.0,0.494,0.555,27.0,33.0,0.818,26.0,134.0,160.0,114.0,64.0,18.0,52.0,119.0,586.0
