,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
8685,8685,1988.0,Mark Aguirre,SF,28.0,DAL,77.0,77.0,2610.0,21.9,0.539,0.109,0.321,7.7,10.3,9.0,18.4,1.3,1.3,10.2,31.6,,6.5,2.3,8.8,0.163,,4.3,-1.2,3.1,3.4,746.0,1571.0,0.475,52.0,172.0,0.302,694.0,1399.0,0.496,0.491,388.0,504.0,0.77,182.0,252.0,434.0,278.0,70.0,57.0,203.0,223.0,1932.0
8688,8688,1988.0,Steve Alford,PG,23.0,DAL,28.0,0.0,197.0,11.6,0.47200000000000003,0.145,0.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,,0.0,0.3,0.3,0.08199999999999999,,-2.6,1.8,-0.8,0.1,21.0,55.0,0.382,1.0,8.0,0.125,20.0,47.0,0.426,0.391,16.0,17.0,0.941,3.0,20.0,23.0,23.0,17.0,3.0,12.0,23.0,59.0
8707,8707,1988.0,Uwe Blab,C,25.0,DAL,73.0,1.0,658.0,7.4,0.504,0.0,0.49200000000000005,8.7,13.3,11.1,6.9,0.6,2.5,23.4,13.2,,-0.1,0.6,0.5,0.036000000000000004,,-3.9,0.6,-3.3,-0.2,58.0,132.0,0.439,0.0,0.0,,58.0,132.0,0.439,0.439,46.0,65.0,0.708,52.0,82.0,134.0,35.0,8.0,29.0,49.0,108.0,162.0
8708,8708,1988.0,Rolando Blackman,SG,28.0,DAL,71.0,69.0,2580.0,16.0,0.544,0.005,0.361,3.5,6.8,5.2,15.1,1.2,0.4,10.6,21.8,,5.1,1.6,6.8,0.126,,1.2,-1.1,0.0,1.3,497.0,1050.0,0.473,0.0,5.0,0.0,497.0,1045.0,0.47600000000000003,0.473,331.0,379.0,0.873,82.0,164.0,246.0,262.0,64.0,18.0,144.0,112.0,1325.0
8756,8756,1988.0,Brad Davis,PG,32.0,DAL,75.0,12.0,1480.0,14.5,0.581,0.17800000000000002,0.26,1.3,6.1,3.7,28.3,1.7,0.7,16.4,15.5,,2.9,1.1,4.0,0.13,,0.6,-2.1,-1.5,0.2,208.0,415.0,0.501,30.0,74.0,0.405,178.0,341.0,0.522,0.537,91.0,108.0,0.843,18.0,84.0,102.0,303.0,51.0,18.0,91.0,149.0,537.0
8766,8766,1988.0,James Donaldson,C,30.0,DAL,81.0,81.0,2523.0,12.4,0.616,0.0,0.49700000000000005,10.8,21.5,16.3,3.4,0.8,2.4,19.6,9.4,,3.0,3.3,6.2,0.11900000000000001,,-0.9,1.9,1.1,2.0,212.0,380.0,0.5579999999999999,0.0,0.0,,212.0,380.0,0.5579999999999999,0.5579999999999999,147.0,189.0,0.778,247.0,508.0,755.0,66.0,40.0,104.0,113.0,175.0,571.0
8786,8786,1988.0,Jim Farmer,SG,23.0,DAL,30.0,0.0,157.0,4.4,0.41600000000000004,0.087,0.145,6.3,6.1,6.2,14.6,0.9,0.4,23.1,25.1,,-0.4,0.1,-0.4,-0.111,,-6.7,-2.9,-9.5,-0.3,26.0,69.0,0.377,0.0,6.0,0.0,26.0,63.0,0.413,0.377,9.0,10.0,0.9,9.0,9.0,18.0,16.0,3.0,1.0,22.0,18.0,61.0
8816,8816,1988.0,Derek Harper,PG,26.0,DAL,82.0,82.0,3032.0,18.1,0.528,0.165,0.295,2.6,6.2,4.4,30.4,2.7,0.7,12.6,20.6,,6.1,3.0,9.1,0.145,,3.0,-0.4,2.6,3.5,536.0,1167.0,0.45899999999999996,60.0,192.0,0.313,476.0,975.0,0.488,0.485,261.0,344.0,0.759,71.0,175.0,246.0,634.0,168.0,35.0,190.0,164.0,1393.0
8959,8959,1988.0,Sam Perkins,PF,26.0,DAL,75.0,75.0,2499.0,15.0,0.521,0.034,0.379,8.9,17.1,13.1,6.7,1.5,1.2,10.4,18.9,,3.7,3.0,6.7,0.128,,0.0,0.5,0.5,1.6,394.0,876.0,0.45,5.0,30.0,0.16699999999999998,389.0,846.0,0.46,0.45299999999999996,273.0,332.0,0.8220000000000001,201.0,400.0,601.0,118.0,74.0,54.0,119.0,227.0,1066.0
8995,8995,1988.0,Detlef Schrempf,SF,25.0,DAL,82.0,4.0,1587.0,14.2,0.532,0.059000000000000004,0.494,7.1,11.9,9.6,14.1,1.3,1.2,14.1,19.9,,2.1,1.5,3.6,0.11,,-0.1,-0.2,-0.3,0.7,246.0,539.0,0.456,5.0,32.0,0.156,241.0,507.0,0.475,0.461,201.0,266.0,0.7559999999999999,102.0,177.0,279.0,159.0,42.0,32.0,108.0,189.0,698.0
