,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6827,6827,1983.0,Dwight Anderson,PG,22.0,DEN,5.0,0.0,33.0,10.6,0.5710000000000001,0.0,0.7140000000000001,0.0,6.1,3.1,11.5,1.3,0.0,21.4,26.2,,0.0,0.0,0.0,0.001,,-3.9,-5.1,-9.0,-0.1,7.0,14.0,0.5,0.0,0.0,,7.0,14.0,0.5,0.5,7.0,10.0,0.7,0.0,2.0,2.0,3.0,1.0,0.0,5.0,7.0,21.0
6911,6911,1983.0,T.R. Dunn,SG,27.0,DEN,82.0,80.0,2640.0,11.4,0.524,0.002,0.309,8.8,14.7,11.8,7.9,2.4,0.5,15.9,10.0,,2.6,1.8,4.4,0.079,,0.5,1.6,2.1,2.8,254.0,527.0,0.48200000000000004,0.0,1.0,0.0,254.0,526.0,0.483,0.48200000000000004,119.0,163.0,0.73,231.0,384.0,615.0,189.0,147.0,25.0,113.0,218.0,627.0
6922,6922,1983.0,Alex English*,SF,29.0,DEN,82.0,82.0,2988.0,24.1,0.561,0.006,0.264,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,,8.7,1.6,10.3,0.166,,5.3,-0.6,4.7,5.0,959.0,1857.0,0.516,2.0,12.0,0.16699999999999998,957.0,1845.0,0.519,0.517,406.0,490.0,0.8290000000000001,263.0,338.0,601.0,397.0,116.0,126.0,263.0,235.0,2326.0
6924,6924,1983.0,Mike Evans,SG,27.0,DEN,42.0,5.0,695.0,8.9,0.504,0.037000000000000005,0.16899999999999998,0.6,7.9,4.2,19.5,1.4,0.2,21.4,17.6,,-0.3,0.1,-0.2,-0.01,,-3.1,-2.9,-6.1,-0.7,115.0,243.0,0.473,0.0,9.0,0.0,115.0,234.0,0.491,0.473,33.0,41.0,0.805,4.0,54.0,58.0,113.0,23.0,3.0,71.0,94.0,263.0
6941,6941,1983.0,Glen Gondrezick,PF,27.0,DEN,76.0,2.0,1130.0,13.5,0.508,0.01,0.38799999999999996,9.6,17.3,13.5,10.0,3.0,0.4,12.5,12.9,,1.5,1.1,2.5,0.10800000000000001,,0.2,0.8,1.0,0.9,134.0,294.0,0.456,0.0,3.0,0.0,134.0,291.0,0.46,0.456,82.0,114.0,0.7190000000000001,108.0,193.0,301.0,100.0,80.0,9.0,49.0,161.0,350.0
6950,6950,1983.0,Bill Hanzlik,SF,25.0,DEN,82.0,8.0,1547.0,10.6,0.493,0.016,0.366,5.2,10.2,7.7,19.7,2.1,0.5,22.1,15.6,,0.3,0.7,1.0,0.03,,-1.5,-0.6,-2.1,-0.1,187.0,437.0,0.428,1.0,7.0,0.14300000000000002,186.0,430.0,0.433,0.429,125.0,160.0,0.7809999999999999,80.0,156.0,236.0,268.0,75.0,15.0,144.0,220.0,500.0
6971,6971,1983.0,Dan Issel*,C,34.0,DEN,80.0,80.0,2431.0,21.6,0.573,0.015,0.37,6.3,18.6,12.4,12.6,1.5,0.9,10.4,25.5,,6.8,1.5,8.4,0.165,,2.9,-1.5,1.4,2.1,661.0,1296.0,0.51,4.0,19.0,0.21100000000000002,657.0,1277.0,0.514,0.512,400.0,479.0,0.835,151.0,445.0,596.0,223.0,83.0,43.0,174.0,227.0,1726.0
7010,7010,1983.0,Rich Kelley,C,29.0,DEN,38.0,0.0,565.0,10.9,0.503,0.0,0.496,10.9,19.9,15.4,11.6,1.6,1.6,23.6,14.7,,0.2,0.5,0.6,0.053,,-1.8,0.6,-1.2,0.1,59.0,141.0,0.418,0.0,0.0,,59.0,141.0,0.418,0.418,55.0,70.0,0.7859999999999999,61.0,111.0,172.0,59.0,21.0,18.0,53.0,115.0,173.0
7055,7055,1983.0,Billy McKinney,PG,27.0,DEN,68.0,38.0,1559.0,13.2,0.539,0.013000000000000001,0.306,1.4,6.5,3.9,22.2,1.1,0.2,14.0,17.1,,2.3,0.0,2.3,0.07200000000000001,,-0.2,-3.3,-3.5,-0.6,266.0,546.0,0.48700000000000004,0.0,7.0,0.0,266.0,539.0,0.494,0.48700000000000004,136.0,167.0,0.8140000000000001,21.0,100.0,121.0,288.0,39.0,5.0,101.0,142.0,668.0
7105,7105,1983.0,James Ray,PF,25.0,DEN,45.0,3.0,433.0,11.9,0.493,0.006999999999999999,0.33299999999999996,8.6,20.8,14.7,10.7,2.4,2.2,22.2,19.2,,-0.3,0.5,0.2,0.022000000000000002,,-3.2,0.6,-2.6,-0.1,70.0,153.0,0.45799999999999996,0.0,1.0,0.0,70.0,152.0,0.461,0.45799999999999996,33.0,51.0,0.647,37.0,89.0,126.0,39.0,24.0,19.0,50.0,83.0,173.0
7114,7114,1983.0,Dave Robisch,C,33.0,DEN,61.0,0.0,711.0,10.3,0.469,0.004,0.47,4.8,16.7,10.7,8.6,0.6,0.6,12.9,18.1,,0.1,0.2,0.4,0.024,,-3.5,-2.6,-6.1,-0.7,96.0,251.0,0.382,0.0,1.0,0.0,96.0,250.0,0.384,0.382,92.0,118.0,0.78,34.0,117.0,151.0,53.0,10.0,9.0,45.0,61.0,284.0
7123,7123,1983.0,Danny Schayes,C,23.0,DEN,32.0,0.0,646.0,13.2,0.525,0.0,0.426,9.8,19.3,14.6,7.5,1.0,2.3,17.2,19.3,,0.4,0.4,0.8,0.062,,-1.6,-0.9,-2.5,-0.1,111.0,235.0,0.47200000000000003,0.0,0.0,,111.0,235.0,0.47200000000000003,0.47200000000000003,71.0,100.0,0.71,63.0,123.0,186.0,40.0,15.0,30.0,58.0,109.0,293.0
7176,7176,1983.0,Kiki Vandeweghe,PF,24.0,DEN,82.0,79.0,2909.0,21.8,0.613,0.033,0.364,4.3,10.9,7.6,9.8,1.0,0.7,9.0,24.9,,10.5,0.6,11.0,0.182,,4.5,-2.8,1.6,2.7,841.0,1537.0,0.547,15.0,51.0,0.294,826.0,1486.0,0.556,0.552,489.0,559.0,0.875,124.0,313.0,437.0,203.0,66.0,38.0,177.0,198.0,2186.0
7202,7202,1983.0,Rob Williams,PG,21.0,DEN,74.0,33.0,1443.0,10.7,0.473,0.032,0.37200000000000005,2.6,7.0,4.8,28.8,2.6,0.4,25.4,18.7,,-0.8,0.7,-0.1,-0.004,,-2.6,-2.0,-4.6,-0.9,191.0,468.0,0.408,2.0,15.0,0.133,189.0,453.0,0.41700000000000004,0.41,131.0,174.0,0.753,37.0,99.0,136.0,361.0,89.0,12.0,185.0,221.0,515.0
