,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1833,1833,1963.0,Dave DeBusschere*,SF,22.0,DET,80.0,,2352.0,14.5,0.47600000000000003,,0.304,,,,,,,,,,1.3,2.3,3.6,0.07400000000000001,,,,,,406.0,944.0,0.43,,,,406.0,944.0,0.43,0.43,206.0,287.0,0.718,,,694.0,207.0,,,,247.0,1018.0
1835,1835,1963.0,Danny Doyle,PF,22.0,DET,4.0,,25.0,22.2,0.563,,0.41700000000000004,,,,,,,,,,0.1,0.0,0.1,0.21600000000000003,,,,,,6.0,12.0,0.5,,,,6.0,12.0,0.5,0.5,4.0,5.0,0.8,,,8.0,3.0,,,,4.0,16.0
1837,1837,1963.0,Walter Dukes,C,32.0,DET,62.0,,913.0,10.0,0.423,,0.537,,,,,,,,,,-0.5,1.0,0.5,0.027000000000000003,,,,,,83.0,255.0,0.325,,,,83.0,255.0,0.325,0.325,101.0,137.0,0.737,,,360.0,55.0,,,,183.0,267.0
1838,1838,1963.0,Johnny Egan,PG,24.0,DET,46.0,,752.0,9.8,0.418,,0.233,,,,,,,,,,-0.5,0.6,0.0,0.001,,,,,,110.0,296.0,0.37200000000000005,,,,110.0,296.0,0.37200000000000005,0.37200000000000005,53.0,69.0,0.768,,,59.0,114.0,,,,70.0,273.0
1844,1844,1963.0,Bob Ferry,C,25.0,DET,79.0,,2479.0,12.6,0.473,,0.345,,,,,,,,,,1.2,2.0,3.1,0.061,,,,,,426.0,984.0,0.433,,,,426.0,984.0,0.433,0.433,220.0,339.0,0.649,,,537.0,170.0,,,,246.0,1072.0
1866,1866,1963.0,Bailey Howell*,SF,26.0,DET,79.0,,2971.0,21.6,0.589,,0.526,,,,,,,,,,11.1,2.9,14.0,0.226,,,,,,637.0,1235.0,0.516,,,,637.0,1235.0,0.516,0.516,519.0,650.0,0.7979999999999999,,,910.0,232.0,,,,300.0,1793.0
1868,1868,1963.0,Darrall Imhoff,C,24.0,DET,45.0,,458.0,7.3,0.34299999999999997,,0.327,,,,,,,,,,-1.0,0.5,-0.6,-0.061,,,,,,48.0,153.0,0.314,,,,48.0,153.0,0.314,0.314,24.0,50.0,0.48,,,155.0,28.0,,,,66.0,120.0
1872,1872,1963.0,Willie Jones,PG,26.0,DET,79.0,,1470.0,13.1,0.45399999999999996,,0.225,,,,,,,,,,0.1,1.2,1.3,0.043,,,,,,305.0,730.0,0.418,,,,305.0,730.0,0.418,0.418,118.0,164.0,0.72,,,233.0,188.0,,,,207.0,728.0
1882,1882,1963.0,Kevin Loughery,SG,22.0,DET,57.0,,845.0,9.5,0.41200000000000003,,0.252,,,,,,,,,,-0.9,0.6,-0.3,-0.017,,,,,,146.0,397.0,0.368,,,,146.0,397.0,0.368,0.368,71.0,100.0,0.71,,,109.0,104.0,,,,135.0,363.0
1892,1892,1963.0,Jackie Moreland,PF,24.0,DET,78.0,,1516.0,13.9,0.48,,0.344,,,,,,,,,,1.0,1.5,2.5,0.078,,,,,,271.0,622.0,0.436,,,,271.0,622.0,0.436,0.436,145.0,214.0,0.6779999999999999,,,449.0,114.0,,,,226.0,687.0
1902,1902,1963.0,Don Ohl,SG,26.0,DET,80.0,,2961.0,13.6,0.478,,0.262,,,,,,,,,,2.2,1.9,4.1,0.067,,,,,,636.0,1450.0,0.439,,,,636.0,1450.0,0.439,0.439,275.0,380.0,0.7240000000000001,,,239.0,325.0,,,,234.0,1547.0
1919,1919,1963.0,Ray Scott,PF,24.0,DET,76.0,,2538.0,15.1,0.46799999999999997,,0.41200000000000003,,,,,,,,,,1.0,2.5,3.5,0.066,,,,,,460.0,1110.0,0.414,,,,460.0,1110.0,0.414,0.414,308.0,457.0,0.674,,,772.0,191.0,,,,263.0,1228.0
