,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22284,22284,2014.0,Hilton Armstrong,C,29.0,GSW,15.0,1.0,97.0,17.0,0.48,0.0,0.8420000000000001,21.8,31.0,26.5,7.1,2.1,3.1,18.7,14.5,,0.1,0.2,0.3,0.162,,-2.5,3.1,0.6,0.1,9.0,19.0,0.474,0.0,0.0,,9.0,19.0,0.474,0.474,7.0,16.0,0.43799999999999994,19.0,28.0,47.0,5.0,4.0,4.0,6.0,11.0,25.0
22297,22297,2014.0,Harrison Barnes,SF,21.0,GSW,78.0,24.0,2204.0,9.8,0.486,0.28,0.267,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,,0.4,2.8,3.2,0.07,,-2.3,0.9,-1.4,0.3,271.0,679.0,0.39899999999999997,66.0,190.0,0.34700000000000003,205.0,489.0,0.419,0.44799999999999995,130.0,181.0,0.718,66.0,245.0,311.0,116.0,65.0,20.0,84.0,158.0,738.0
22308,22308,2014.0,Kent Bazemore,SG,24.0,GSW,44.0,0.0,268.0,6.2,0.44799999999999995,0.402,0.371,2.1,14.0,8.1,10.9,2.2,1.7,19.9,23.1,,-0.6,0.4,-0.2,-0.034,,-6.1,0.3,-5.7,-0.3,36.0,97.0,0.371,10.0,39.0,0.256,26.0,58.0,0.44799999999999995,0.423,19.0,36.0,0.528,5.0,35.0,40.0,20.0,12.0,6.0,28.0,42.0,101.0
22321,22321,2014.0,Steve Blake,PG,33.0,GSW,28.0,1.0,607.0,9.4,0.494,0.6579999999999999,0.067,0.9,9.0,5.0,22.7,1.6,0.7,20.1,11.2,,0.3,0.7,1.1,0.084,,-1.8,0.2,-1.6,0.1,45.0,120.0,0.375,27.0,79.0,0.342,18.0,41.0,0.439,0.488,5.0,8.0,0.625,5.0,51.0,56.0,102.0,20.0,6.0,31.0,36.0,122.0
22326,22326,2014.0,Andrew Bogut,C,29.0,GSW,67.0,67.0,1769.0,17.0,0.61,0.0,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,,2.4,4.0,6.5,0.17600000000000002,,-1.2,5.6,4.4,2.8,235.0,375.0,0.627,0.0,0.0,,235.0,375.0,0.627,0.627,22.0,64.0,0.344,182.0,489.0,671.0,112.0,47.0,121.0,97.0,210.0,492.0
22342,22342,2014.0,MarShon Brooks,SG,25.0,GSW,7.0,0.0,15.0,24.3,0.44,0.154,0.308,7.4,28.6,18.2,0.0,3.3,0.0,0.0,43.3,,0.0,0.0,0.0,0.087,,-7.8,-10.6,-18.4,-0.1,5.0,13.0,0.385,0.0,2.0,0.0,5.0,11.0,0.455,0.385,3.0,4.0,0.75,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,13.0
22393,22393,2014.0,Jordan Crawford,SG,25.0,GSW,42.0,0.0,661.0,11.9,0.503,0.384,0.129,1.7,8.6,5.2,14.2,1.0,0.2,12.4,26.8,,-0.2,0.7,0.4,0.033,,-1.9,-2.7,-4.6,-0.4,139.0,333.0,0.41700000000000004,40.0,128.0,0.313,99.0,205.0,0.483,0.47700000000000004,36.0,43.0,0.8370000000000001,10.0,53.0,63.0,57.0,13.0,2.0,50.0,44.0,354.0
22402,22402,2014.0,Stephen Curry,PG,25.0,GSW,78.0,78.0,2846.0,24.1,0.61,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,,9.3,4.0,13.4,0.225,,7.4,0.0,7.4,6.7,652.0,1383.0,0.47100000000000003,261.0,615.0,0.424,391.0,768.0,0.509,0.5660000000000001,308.0,348.0,0.885,46.0,288.0,334.0,666.0,128.0,14.0,294.0,194.0,1873.0
22419,22419,2014.0,Dewayne Dedmon,C,24.0,GSW,4.0,0.0,6.0,-5.1,0.266,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,,0.0,0.0,0.0,-0.107,,-10.1,-3.1,-13.3,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22430,22430,2014.0,Toney Douglas,PG,27.0,GSW,24.0,0.0,265.0,6.5,0.49200000000000005,0.6859999999999999,0.09300000000000001,1.7,8.9,5.4,10.3,1.1,0.6,15.2,17.5,,-0.1,0.3,0.2,0.027999999999999997,,-2.5,-1.2,-3.7,-0.1,32.0,86.0,0.37200000000000005,19.0,59.0,0.322,13.0,27.0,0.48100000000000004,0.483,5.0,8.0,0.625,4.0,22.0,26.0,19.0,6.0,2.0,16.0,34.0,88.0
22490,22490,2014.0,Draymond Green,SF,23.0,GSW,82.0,12.0,1797.0,12.7,0.498,0.359,0.268,5.3,19.3,12.4,11.9,2.8,3.0,15.1,14.8,,0.7,3.8,4.5,0.11900000000000001,,-1.6,4.4,2.8,2.2,187.0,459.0,0.40700000000000003,55.0,165.0,0.33299999999999996,132.0,294.0,0.449,0.467,82.0,123.0,0.667,86.0,323.0,409.0,152.0,102.0,72.0,91.0,231.0,511.0
22539,22539,2014.0,Andre Iguodala,SF,30.0,GSW,63.0,63.0,2040.0,13.7,0.57,0.382,0.28800000000000003,2.9,12.6,7.8,18.2,2.3,0.7,16.2,13.3,,2.7,3.1,5.8,0.135,,0.5,2.5,3.0,2.6,220.0,458.0,0.48,62.0,175.0,0.354,158.0,283.0,0.5579999999999999,0.5479999999999999,86.0,132.0,0.652,53.0,240.0,293.0,263.0,95.0,18.0,100.0,103.0,588.0
