,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17109,17109,2005.0,Vin Baker,C,33.0,HOU,3.0,0.0,13.0,-18.3,0.205,0.0,0.5,0.0,17.5,9.0,10.7,0.0,0.0,29.1,24.9,,-0.1,0.0,-0.1,-0.344,,-18.3,-1.6,-19.8,-0.1,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,7.0,2.0
17114,17114,2005.0,Andre Barrett,PG,22.0,HOU,27.0,0.0,314.0,5.6,0.381,0.536,0.145,1.9,5.1,3.5,20.5,2.4,0.0,17.9,13.4,,-0.3,0.4,0.1,0.017,,-3.9,-0.5,-4.4,-0.2,20.0,69.0,0.29,9.0,37.0,0.243,11.0,32.0,0.344,0.355,7.0,10.0,0.7,5.0,14.0,19.0,42.0,14.0,0.0,16.0,35.0,56.0
17119,17119,2005.0,Jon Barry,SG,35.0,HOU,53.0,2.0,1230.0,14.0,0.588,0.457,0.19899999999999998,2.1,10.7,6.5,18.5,2.0,0.4,14.3,14.2,,2.0,1.7,3.7,0.14400000000000002,,0.8,1.0,1.8,1.2,130.0,291.0,0.447,60.0,133.0,0.451,70.0,158.0,0.44299999999999995,0.55,52.0,58.0,0.897,22.0,116.0,138.0,139.0,46.0,7.0,53.0,67.0,372.0
17141,17141,2005.0,Ryan Bowen,SF,29.0,HOU,66.0,6.0,604.0,7.7,0.462,0.054000000000000006,0.18899999999999997,4.2,10.4,7.3,4.7,2.1,0.6,5.5,9.9,,0.2,0.9,1.1,0.087,,-3.7,1.6,-2.1,0.0,47.0,111.0,0.423,3.0,6.0,0.5,44.0,105.0,0.419,0.43700000000000006,14.0,21.0,0.667,21.0,55.0,76.0,18.0,23.0,5.0,7.0,61.0,111.0
17148,17148,2005.0,Torraye Braggs,PF,28.0,HOU,7.0,0.0,24.0,11.6,0.429,0.0,0.0,34.9,23.7,29.2,0.0,0.0,0.0,22.2,17.7,,0.0,0.0,0.0,0.073,,-5.3,-7.4,-12.7,-0.1,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,0.0,0.0,,7.0,5.0,12.0,0.0,0.0,0.0,2.0,4.0,6.0
17263,17263,2005.0,Reece Gaines,PG,24.0,HOU,10.0,0.0,108.0,4.7,0.452,0.444,0.14800000000000002,0.0,11.6,5.9,4.5,1.5,0.0,12.2,14.3,,-0.1,0.1,0.0,0.017,,-4.9,-0.4,-5.4,-0.1,10.0,27.0,0.37,3.0,12.0,0.25,7.0,15.0,0.467,0.426,3.0,4.0,0.75,0.0,11.0,11.0,3.0,3.0,0.0,4.0,12.0,26.0
17319,17319,2005.0,Juwan Howard,PF,31.0,HOU,61.0,47.0,1624.0,13.0,0.494,0.002,0.213,9.3,15.4,12.4,10.2,1.1,0.2,11.8,19.5,,1.0,2.2,3.2,0.094,,-1.8,0.6,-1.2,0.3,244.0,541.0,0.451,0.0,1.0,0.0,244.0,540.0,0.452,0.451,97.0,115.0,0.843,126.0,220.0,346.0,94.0,32.0,5.0,79.0,143.0,585.0
17335,17335,2005.0,Jim Jackson,SF,34.0,HOU,24.0,24.0,990.0,10.5,0.5379999999999999,0.519,0.11699999999999999,1.2,12.1,6.8,14.5,1.3,0.1,15.8,16.8,,0.3,1.2,1.5,0.075,,0.0,0.9,0.9,0.7,118.0,283.0,0.41700000000000004,54.0,147.0,0.36700000000000005,64.0,136.0,0.47100000000000003,0.512,30.0,33.0,0.909,10.0,105.0,115.0,86.0,23.0,1.0,56.0,67.0,320.0
17347,17347,2005.0,Mike James,PG,29.0,HOU,27.0,5.0,692.0,17.4,0.5329999999999999,0.368,0.18899999999999997,2.1,12.2,7.2,21.1,2.0,0.2,7.6,23.2,,1.2,1.0,2.2,0.155,,2.6,-0.2,2.4,0.8,126.0,291.0,0.433,42.0,107.0,0.39299999999999996,84.0,184.0,0.457,0.505,42.0,55.0,0.764,12.0,74.0,86.0,78.0,25.0,2.0,26.0,60.0,336.0
17374,17374,2005.0,Brandin Knight,PG,23.0,HOU,1.0,0.0,3.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,0.0,0.0,15.7,,0.0,0.0,0.0,-0.205,,-14.4,-11.1,-25.5,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17391,17391,2005.0,Tyronn Lue,PG,27.0,HOU,21.0,3.0,479.0,7.7,0.48100000000000004,0.369,0.14800000000000002,0.0,9.5,4.9,19.6,0.9,0.0,15.6,15.1,,0.0,0.5,0.5,0.049,,-2.8,-0.8,-3.6,-0.2,48.0,122.0,0.39299999999999996,15.0,45.0,0.33299999999999996,33.0,77.0,0.429,0.455,14.0,18.0,0.778,0.0,40.0,40.0,58.0,8.0,0.0,24.0,48.0,125.0
17411,17411,2005.0,Tracy McGrady,SF,25.0,HOU,78.0,78.0,3182.0,22.9,0.526,0.262,0.336,2.7,14.8,8.9,28.6,2.3,1.3,9.5,31.2,,6.5,5.4,12.0,0.18,,4.9,1.9,6.8,7.0,715.0,1660.0,0.431,142.0,435.0,0.326,573.0,1225.0,0.46799999999999997,0.473,431.0,557.0,0.774,71.0,413.0,484.0,448.0,135.0,52.0,201.0,167.0,2003.0
17425,17425,2005.0,Yao Ming*,C,24.0,HOU,80.0,80.0,2447.0,23.2,0.614,0.0,0.51,10.2,21.4,15.9,5.0,0.8,5.1,14.1,26.8,,6.0,4.7,10.7,0.21,,0.3,1.3,1.6,2.2,538.0,975.0,0.552,0.0,0.0,,538.0,975.0,0.552,0.552,389.0,497.0,0.7829999999999999,208.0,461.0,669.0,61.0,34.0,160.0,196.0,298.0,1465.0
17443,17443,2005.0,Dikembe Mutombo*,C,38.0,HOU,80.0,2.0,1212.0,16.4,0.575,0.0,0.659,14.8,25.9,20.5,1.3,0.7,6.5,15.4,12.9,,2.0,2.7,4.7,0.18600000000000003,,-3.3,2.3,-1.0,0.3,108.0,217.0,0.498,0.0,0.0,,108.0,217.0,0.498,0.498,106.0,143.0,0.741,150.0,276.0,426.0,10.0,16.0,101.0,51.0,135.0,322.0
17446,17446,2005.0,Bostjan Nachbar,SF,24.0,HOU,16.0,2.0,204.0,6.1,0.507,0.488,0.27899999999999997,2.3,14.5,8.6,6.9,0.3,0.0,9.4,12.3,,0.1,0.2,0.3,0.08,,-2.8,-0.7,-3.6,-0.1,15.0,43.0,0.349,10.0,21.0,0.47600000000000003,5.0,22.0,0.22699999999999998,0.465,9.0,12.0,0.75,4.0,26.0,30.0,9.0,1.0,0.0,5.0,30.0,49.0
17459,17459,2005.0,Moochie Norris,PG,31.0,HOU,6.0,0.0,39.0,0.6,0.237,0.0,0.125,3.1,8.7,6.0,20.0,1.4,0.0,10.6,22.8,,-0.2,0.0,-0.1,-0.168,,-10.5,-1.4,-11.9,-0.1,3.0,16.0,0.188,0.0,0.0,,3.0,16.0,0.188,0.188,2.0,2.0,1.0,1.0,3.0,4.0,5.0,1.0,0.0,2.0,2.0,8.0
17472,17472,2005.0,Scott Padgett,PF,28.0,HOU,66.0,0.0,942.0,12.3,0.5489999999999999,0.541,0.172,6.0,16.7,11.5,9.5,1.9,0.8,10.7,14.0,,1.2,1.6,2.8,0.141,,0.1,1.4,1.5,0.8,98.0,233.0,0.42100000000000004,50.0,126.0,0.397,48.0,107.0,0.449,0.528,29.0,40.0,0.725,47.0,138.0,185.0,55.0,33.0,10.0,30.0,119.0,275.0
17565,17565,2005.0,Rod Strickland,PG,38.0,HOU,16.0,2.0,196.0,4.6,0.295,0.047,0.233,1.8,13.9,8.0,29.7,0.8,0.8,25.2,15.2,,-0.5,0.2,-0.2,-0.051,,-8.0,0.2,-7.7,-0.3,9.0,43.0,0.209,1.0,2.0,0.5,8.0,41.0,0.195,0.221,9.0,10.0,0.9,3.0,24.0,27.0,39.0,3.0,2.0,16.0,15.0,28.0
