,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6849,6849,1983.0,Brad Branson,PF,24.0,IND,62.0,2.0,680.0,16.0,0.475,0.003,0.35100000000000003,11.0,16.7,13.7,9.1,1.8,2.1,11.2,23.1,,0.5,0.5,1.0,0.071,,-1.4,-1.6,-3.0,-0.2,131.0,308.0,0.425,0.0,1.0,0.0,131.0,307.0,0.42700000000000005,0.425,76.0,108.0,0.7040000000000001,73.0,100.0,173.0,46.0,27.0,26.0,45.0,81.0,338.0
6865,6865,1983.0,Marty Byrnes,SF,26.0,IND,80.0,12.0,1436.0,9.6,0.47,0.07,0.254,5.4,9.2,7.2,15.1,1.3,0.2,14.9,13.4,,0.8,0.2,1.0,0.034,,-1.7,-1.6,-3.3,-0.5,157.0,374.0,0.42,6.0,26.0,0.231,151.0,348.0,0.434,0.428,71.0,95.0,0.747,75.0,116.0,191.0,179.0,41.0,6.0,73.0,149.0,391.0
6869,6869,1983.0,Butch Carter,SG,24.0,IND,81.0,28.0,1716.0,14.9,0.5489999999999999,0.07200000000000001,0.218,3.7,5.8,4.7,15.5,2.1,0.4,13.2,20.4,,2.6,0.5,3.0,0.085,,0.8,-2.4,-1.6,0.2,354.0,706.0,0.501,17.0,51.0,0.33299999999999996,337.0,655.0,0.515,0.513,124.0,154.0,0.805,62.0,88.0,150.0,194.0,78.0,13.0,118.0,207.0,849.0
6912,6912,1983.0,John Duren,PG,24.0,IND,82.0,24.0,1433.0,8.2,0.48100000000000004,0.036000000000000004,0.15,2.7,5.5,4.0,17.0,2.1,0.2,20.0,13.1,,0.0,0.4,0.4,0.013000000000000001,,-2.8,-1.7,-4.5,-0.9,163.0,360.0,0.45299999999999996,0.0,13.0,0.0,163.0,347.0,0.47,0.45299999999999996,43.0,54.0,0.7959999999999999,38.0,69.0,107.0,200.0,66.0,5.0,96.0,203.0,369.0
6975,6975,1983.0,Clemon Johnson,C,26.0,IND,51.0,7.0,1216.0,16.8,0.545,0.003,0.306,9.7,19.0,14.1,12.4,1.9,2.9,16.3,17.5,,1.5,1.1,2.5,0.1,,0.2,1.3,1.5,1.1,208.0,399.0,0.521,0.0,1.0,0.0,208.0,398.0,0.523,0.521,77.0,122.0,0.631,115.0,204.0,319.0,115.0,51.0,63.0,88.0,137.0,493.0
6982,6982,1983.0,George Johnson,SF,26.0,IND,82.0,64.0,2297.0,12.7,0.509,0.044000000000000004,0.2,7.9,18.2,12.8,12.7,1.5,1.3,20.6,20.1,,-0.4,1.4,1.0,0.021,,-1.6,-0.1,-1.7,0.2,409.0,858.0,0.47700000000000004,7.0,38.0,0.184,402.0,820.0,0.49,0.48100000000000004,126.0,172.0,0.733,176.0,369.0,545.0,220.0,77.0,53.0,242.0,279.0,951.0
7012,7012,1983.0,Clark Kellogg,PF,21.0,IND,81.0,81.0,2761.0,20.3,0.516,0.013000000000000001,0.248,12.6,21.3,16.8,11.7,2.4,0.9,12.1,25.5,,4.4,2.4,6.8,0.11900000000000001,,2.2,-0.2,2.0,2.8,680.0,1420.0,0.479,4.0,18.0,0.222,676.0,1402.0,0.48200000000000004,0.48,261.0,352.0,0.741,340.0,520.0,860.0,223.0,141.0,43.0,217.0,298.0,1625.0
7021,7021,1983.0,Billy Knight,SG,30.0,IND,80.0,54.0,2262.0,18.7,0.589,0.019,0.415,6.9,8.6,7.7,12.0,1.3,0.2,14.2,23.6,,5.5,0.3,5.8,0.12300000000000001,,2.5,-2.7,-0.2,1.0,512.0,984.0,0.52,3.0,19.0,0.158,509.0,965.0,0.527,0.522,343.0,408.0,0.841,152.0,172.0,324.0,192.0,66.0,8.0,193.0,143.0,1370.0
7069,7069,1983.0,Guy Morgan,SG,22.0,IND,8.0,0.0,46.0,9.9,0.29100000000000004,0.0,0.16699999999999998,13.4,27.1,19.9,19.4,2.0,0.0,7.2,23.7,,-0.1,0.0,-0.1,-0.059000000000000004,,-4.3,-1.1,-5.3,0.0,7.0,24.0,0.292,0.0,0.0,,7.0,24.0,0.292,0.292,1.0,4.0,0.25,6.0,11.0,17.0,7.0,2.0,0.0,2.0,7.0,15.0
7126,7126,1983.0,Russ Schoene,PF,22.0,IND,31.0,5.0,520.0,12.3,0.48200000000000004,0.013000000000000001,0.24100000000000002,8.7,12.4,10.5,7.0,1.1,1.5,12.2,21.7,,0.2,0.2,0.4,0.034,,-2.1,-2.6,-4.7,-0.4,101.0,228.0,0.44299999999999995,1.0,3.0,0.33299999999999996,100.0,225.0,0.444,0.445,40.0,55.0,0.727,44.0,57.0,101.0,27.0,12.0,14.0,35.0,74.0,243.0
7131,7131,1983.0,Jerry Sichting,PG,26.0,IND,78.0,58.0,2435.0,11.7,0.513,0.027000000000000003,0.162,1.4,5.7,3.4,22.1,2.0,0.0,16.3,13.6,,2.3,0.4,2.7,0.053,,-0.9,-2.0,-2.9,-0.6,316.0,661.0,0.478,3.0,18.0,0.16699999999999998,313.0,643.0,0.48700000000000004,0.48,92.0,107.0,0.86,33.0,122.0,155.0,433.0,104.0,2.0,138.0,185.0,727.0
7133,7133,1983.0,Jose Slaughter,SG,22.0,IND,63.0,1.0,515.0,10.5,0.426,0.172,0.248,6.8,7.5,7.1,13.3,3.2,0.8,13.7,23.3,,-0.4,0.3,-0.1,-0.006999999999999999,,-2.1,-1.8,-3.9,-0.3,89.0,238.0,0.374,9.0,41.0,0.22,80.0,197.0,0.406,0.39299999999999996,38.0,59.0,0.644,34.0,34.0,68.0,52.0,36.0,7.0,42.0,93.0,225.0
7199,7199,1983.0,Herb Williams,C,24.0,IND,78.0,74.0,2513.0,17.4,0.522,0.006,0.18899999999999997,6.2,19.5,12.5,14.8,1.0,3.8,15.4,23.3,,1.7,1.8,3.5,0.067,,-0.4,0.7,0.3,1.5,580.0,1163.0,0.499,0.0,7.0,0.0,580.0,1156.0,0.502,0.499,155.0,220.0,0.705,151.0,432.0,583.0,262.0,54.0,171.0,229.0,230.0,1315.0
