,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17689,17689,2006.0,Vin Baker,C,34.0,LAC,8.0,1.0,85.0,11.2,0.589,0.0,1.2,2.9,22.2,13.0,7.0,2.5,3.5,28.2,17.4,,0.0,0.2,0.1,0.07200000000000001,,-5.7,2.8,-2.8,0.0,7.0,15.0,0.467,0.0,0.0,,7.0,15.0,0.467,0.467,13.0,18.0,0.722,2.0,17.0,19.0,4.0,4.0,4.0,9.0,13.0,27.0
17734,17734,2006.0,Elton Brand,PF,26.0,LAC,79.0,79.0,3099.0,26.5,0.58,0.002,0.396,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,,9.3,5.5,14.8,0.22899999999999998,,3.6,2.6,6.3,6.5,756.0,1435.0,0.527,1.0,3.0,0.33299999999999996,755.0,1432.0,0.527,0.527,440.0,568.0,0.775,236.0,554.0,790.0,208.0,81.0,201.0,173.0,227.0,1953.0
17759,17759,2006.0,Sam Cassell,PG,36.0,LAC,78.0,75.0,2653.0,18.5,0.534,0.171,0.301,1.8,10.4,6.3,32.5,1.5,0.3,12.2,25.0,,4.8,2.8,7.6,0.13699999999999998,,2.8,-1.0,1.8,2.5,493.0,1112.0,0.44299999999999995,70.0,190.0,0.368,423.0,922.0,0.45899999999999996,0.475,289.0,335.0,0.863,40.0,247.0,287.0,491.0,74.0,11.0,175.0,225.0,1345.0
17811,17811,2006.0,Howard Eisley,PG,33.0,LAC,13.0,0.0,112.0,7.2,0.265,0.235,0.0,1.1,12.9,7.3,31.0,1.4,0.0,15.0,8.3,,0.0,0.1,0.1,0.04,,-4.7,-0.9,-5.6,-0.1,4.0,17.0,0.235,1.0,4.0,0.25,3.0,13.0,0.231,0.265,0.0,0.0,,1.0,13.0,14.0,25.0,3.0,0.0,3.0,11.0,9.0
17820,17820,2006.0,Daniel Ewing,SG,22.0,LAC,66.0,5.0,971.0,7.6,0.45799999999999996,0.306,0.18,2.9,7.1,5.1,13.2,2.0,0.5,17.2,15.8,,-0.7,1.0,0.3,0.017,,-3.1,-0.4,-3.5,-0.4,97.0,255.0,0.38,22.0,78.0,0.282,75.0,177.0,0.424,0.424,36.0,46.0,0.7829999999999999,23.0,62.0,85.0,84.0,37.0,6.0,57.0,86.0,252.0
17850,17850,2006.0,Anthony Goldwire,PG,34.0,LAC,3.0,0.0,22.0,-5.5,0.14300000000000002,0.28600000000000003,0.0,0.0,5.1,2.6,12.8,0.0,0.0,12.5,16.8,,-0.1,0.0,-0.1,-0.245,,-11.7,-3.8,-15.5,-0.1,1.0,7.0,0.14300000000000002,0.0,2.0,0.0,1.0,5.0,0.2,0.14300000000000002,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0
17941,17941,2006.0,Chris Kaman,C,23.0,LAC,78.0,78.0,2560.0,15.0,0.57,0.003,0.35700000000000004,8.9,24.5,17.0,5.0,0.9,3.2,17.7,17.9,,1.8,4.3,6.1,0.114,,-2.1,1.7,-0.4,1.0,369.0,706.0,0.523,0.0,2.0,0.0,369.0,704.0,0.524,0.523,194.0,252.0,0.77,187.0,563.0,750.0,79.0,45.0,108.0,176.0,269.0,932.0
17949,17949,2006.0,Yaroslav Korolev,SF,18.0,LAC,24.0,0.0,127.0,4.8,0.392,0.233,0.33299999999999996,4.8,7.0,5.9,10.3,1.2,0.0,14.9,14.7,,-0.1,0.1,0.0,-0.013000000000000001,,-4.8,-1.5,-6.3,-0.1,9.0,30.0,0.3,2.0,7.0,0.28600000000000003,7.0,23.0,0.304,0.33299999999999996,7.0,10.0,0.7,5.0,8.0,13.0,9.0,3.0,0.0,6.0,11.0,27.0
17963,17963,2006.0,Shaun Livingston,PG,20.0,LAC,61.0,14.0,1525.0,10.2,0.46,0.023,0.221,3.3,10.4,7.0,27.2,1.6,1.6,22.5,15.0,,-0.5,1.8,1.3,0.040999999999999995,,-2.9,0.8,-2.1,0.0,149.0,349.0,0.42700000000000005,1.0,8.0,0.125,148.0,341.0,0.434,0.428,53.0,77.0,0.688,41.0,142.0,183.0,273.0,46.0,32.0,111.0,160.0,352.0
17968,17968,2006.0,Corey Maggette,SF,26.0,LAC,32.0,13.0,943.0,18.9,0.584,0.18899999999999997,0.6829999999999999,3.6,16.6,10.4,12.1,1.1,0.3,13.8,27.7,,1.9,1.1,3.0,0.154,,1.1,-1.5,-0.4,0.4,167.0,375.0,0.445,24.0,71.0,0.33799999999999997,143.0,304.0,0.47,0.47700000000000004,212.0,256.0,0.828,28.0,141.0,169.0,66.0,19.0,4.0,78.0,95.0,570.0
17982,17982,2006.0,Walter McCarty,SF,31.0,LAC,36.0,1.0,353.0,5.9,0.40700000000000003,0.455,0.212,5.2,16.7,11.2,9.8,1.2,1.1,14.9,16.7,,-0.5,0.5,0.0,-0.001,,-4.0,-0.3,-4.3,-0.2,33.0,99.0,0.33299999999999996,10.0,45.0,0.222,23.0,54.0,0.426,0.384,12.0,21.0,0.5710000000000001,15.0,53.0,68.0,23.0,8.0,5.0,19.0,52.0,88.0
18000,18000,2006.0,Cuttino Mobley,SF,30.0,LAC,79.0,74.0,2979.0,13.1,0.519,0.243,0.271,2.0,10.9,6.6,13.1,1.6,0.9,11.4,19.8,,1.9,3.4,5.3,0.086,,0.0,0.4,0.3,1.8,429.0,1008.0,0.426,83.0,245.0,0.33899999999999997,346.0,763.0,0.45299999999999996,0.467,229.0,273.0,0.8390000000000001,50.0,291.0,341.0,238.0,93.0,36.0,145.0,208.0,1170.0
