,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3608,3608,1973.0,Bill Bridges,PF,33.0,LAL,72.0,,2491.0,12.7,0.518,,0.318,,,14.3,9.5,,,,,,2.4,4.1,6.5,0.126,,,,,,286.0,597.0,0.479,,,,286.0,597.0,0.479,0.479,133.0,190.0,0.7,,,782.0,196.0,,,,261.0,705.0
3611,3611,1973.0,Roger Brown,C,22.0,LAL,1.0,,5.0,-1.7,0.379,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,-0.04,,,,,,0.0,0.0,,,,,0.0,0.0,,,1.0,3.0,0.33299999999999996,,,0.0,0.0,,,,1.0,1.0
3615,3615,1973.0,Wilt Chamberlain*,C,36.0,LAL,82.0,,3542.0,19.1,0.6890000000000001,,0.7759999999999999,,,19.6,12.5,,,,,,10.7,7.5,18.2,0.247,,,,,,426.0,586.0,0.727,,,,426.0,586.0,0.727,0.727,232.0,455.0,0.51,,,1526.0,365.0,,,,191.0,1084.0
3624,3624,1973.0,Mel Counts,C,31.0,LAL,59.0,,611.0,17.1,0.483,,0.209,,,17.7,13.7,,,,,,0.4,1.2,1.6,0.127,,,,,,127.0,278.0,0.457,,,,127.0,278.0,0.457,0.457,39.0,58.0,0.672,,,237.0,62.0,,,,98.0,293.0
3648,3648,1973.0,Leroy Ellis,C,32.0,LAL,10.0,,156.0,3.4,0.308,,0.125,,,9.6,2.2,,,,,,-0.4,0.2,-0.2,-0.061,,,,,,11.0,40.0,0.275,,,,11.0,40.0,0.275,0.275,4.0,5.0,0.8,,,33.0,3.0,,,,13.0,26.0
3651,3651,1973.0,Keith Erickson,SF,28.0,LAL,76.0,,1920.0,12.0,0.461,,0.158,,,8.0,15.9,,,,,,0.2,2.6,2.8,0.07,,,,,,299.0,696.0,0.43,,,,299.0,696.0,0.43,0.43,89.0,110.0,0.809,,,337.0,242.0,,,,190.0,687.0
3665,3665,1973.0,Gail Goodrich*,SG,29.0,LAL,76.0,,2697.0,18.8,0.51,,0.23199999999999998,,,4.4,18.4,,,,,,5.2,3.0,8.1,0.145,,,,,,750.0,1615.0,0.46399999999999997,,,,750.0,1615.0,0.46399999999999997,0.46399999999999997,314.0,374.0,0.84,,,263.0,332.0,,,,193.0,1814.0
3666,3666,1973.0,Travis Grant,SF,23.0,LAL,33.0,,153.0,22.3,0.49,,0.22399999999999998,,,15.5,7.5,,,,,,0.2,0.3,0.5,0.14400000000000002,,,,,,51.0,116.0,0.44,,,,51.0,116.0,0.44,0.44,23.0,26.0,0.885,,,52.0,7.0,,,,19.0,125.0
3673,3673,1973.0,Happy Hairston,PF,30.0,LAL,28.0,,939.0,20.0,0.561,,0.5429999999999999,,,18.0,9.3,,,,,,2.4,1.8,4.2,0.214,,,,,,158.0,328.0,0.48200000000000004,,,,158.0,328.0,0.48200000000000004,0.48200000000000004,140.0,178.0,0.787,,,370.0,68.0,,,,77.0,456.0
3735,3735,1973.0,Jim McMillian,SF,24.0,LAL,81.0,,2953.0,14.8,0.495,,0.184,,,6.9,10.3,,,,,,3.1,3.3,6.4,0.10400000000000001,,,,,,655.0,1431.0,0.45799999999999996,,,,655.0,1431.0,0.45799999999999996,0.45799999999999996,223.0,264.0,0.845,,,447.0,221.0,,,,176.0,1533.0
3760,3760,1973.0,Jim Price,PG,23.0,LAL,59.0,,828.0,12.7,0.48100000000000004,,0.203,,,6.3,15.5,,,,,,0.5,1.0,1.5,0.08800000000000001,,,,,,158.0,359.0,0.44,,,,158.0,359.0,0.44,0.44,60.0,73.0,0.8220000000000001,,,115.0,97.0,,,,119.0,376.0
3767,3767,1973.0,Pat Riley*,SG,27.0,LAL,55.0,,801.0,11.3,0.46799999999999997,,0.21,,,3.7,13.7,,,,,,0.2,0.8,1.0,0.06,,,,,,167.0,390.0,0.428,,,,167.0,390.0,0.428,0.428,65.0,82.0,0.7929999999999999,,,65.0,81.0,,,,126.0,399.0
3774,3774,1973.0,Flynn Robinson,SG,31.0,LAL,6.0,,47.0,20.8,0.539,,0.28600000000000003,,,6.8,26.2,,,,,,0.1,0.1,0.2,0.21899999999999997,,,,,,14.0,28.0,0.5,,,,14.0,28.0,0.5,0.5,6.0,8.0,0.75,,,7.0,8.0,,,,11.0,34.0
3810,3810,1973.0,John Trapp,SF,27.0,LAL,5.0,,35.0,9.5,0.396,,0.833,,,18.2,6.6,,,,,,-0.1,0.1,0.0,0.009000000000000001,,,,,,3.0,12.0,0.25,,,,3.0,12.0,0.25,0.25,7.0,10.0,0.7,,,14.0,2.0,,,,10.0,13.0
3816,3816,1973.0,Bill Turner,PF,28.0,LAL,19.0,,117.0,7.2,0.345,,0.135,,,9.7,11.7,,,,,,-0.4,0.2,-0.2,-0.08199999999999999,,,,,,17.0,52.0,0.327,,,,17.0,52.0,0.327,0.327,4.0,7.0,0.5710000000000001,,,25.0,11.0,,,,13.0,38.0
3835,3835,1973.0,Jerry West*,PG,34.0,LAL,69.0,,2460.0,23.2,0.5329999999999999,,0.326,,,5.4,35.5,,,,,,6.7,3.8,10.6,0.20600000000000002,,,,,,618.0,1291.0,0.479,,,,618.0,1291.0,0.479,0.479,339.0,421.0,0.805,,,289.0,607.0,,,,138.0,1575.0
