,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19364,19364,2009.0,Darrell Arthur,PF,20.0,MEM,76.0,64.0,1464.0,11.3,0.456,0.005,0.138,8.9,20.3,14.5,5.0,1.9,2.9,9.2,16.3,,-0.1,1.8,1.7,0.055,,-3.9,0.8,-3.1,-0.4,191.0,436.0,0.43799999999999994,0.0,2.0,0.0,191.0,434.0,0.44,0.43799999999999994,40.0,60.0,0.667,108.0,238.0,346.0,43.0,52.0,52.0,47.0,206.0,422.0
19429,19429,2009.0,Greg Buckner,SF,32.0,MEM,63.0,0.0,878.0,6.3,0.456,0.321,0.157,4.4,13.9,9.1,9.9,1.8,0.7,18.3,11.1,,-0.4,0.7,0.3,0.019,,-3.6,0.4,-3.2,-0.3,61.0,159.0,0.384,13.0,51.0,0.255,48.0,108.0,0.444,0.425,20.0,25.0,0.8,32.0,98.0,130.0,57.0,29.0,8.0,38.0,108.0,155.0
19453,19453,2009.0,Mike Conley,PG,21.0,MEM,82.0,61.0,2508.0,14.3,0.5479999999999999,0.297,0.27,1.2,12.5,6.8,23.7,1.9,0.3,14.9,17.9,,2.7,1.9,4.5,0.086,,0.5,-0.7,-0.2,1.1,323.0,730.0,0.442,88.0,217.0,0.406,235.0,513.0,0.45799999999999996,0.503,161.0,197.0,0.8170000000000001,25.0,251.0,276.0,354.0,90.0,8.0,143.0,146.0,895.0
19463,19463,2009.0,Javaris Crittenton,SG,21.0,MEM,7.0,0.0,44.0,13.2,0.479,0.067,0.733,11.0,5.7,8.4,20.1,1.2,0.0,13.1,24.3,,0.0,0.0,0.0,0.025,,-1.0,-3.3,-4.3,0.0,7.0,15.0,0.467,0.0,1.0,0.0,7.0,14.0,0.5,0.467,5.0,11.0,0.455,4.0,2.0,6.0,5.0,1.0,0.0,3.0,5.0,19.0
19524,19524,2009.0,Adonal Foyle,C,33.0,MEM,1.0,0.0,3.0,-6.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.003,,-6.4,-0.3,-6.7,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19531,19531,2009.0,Marc Gasol,C,24.0,MEM,82.0,75.0,2521.0,16.7,0.59,0.002,0.5670000000000001,9.6,20.0,14.7,9.7,1.3,2.9,16.6,18.3,,3.7,2.7,6.4,0.121,,-0.2,1.5,1.2,2.1,350.0,661.0,0.53,0.0,1.0,0.0,350.0,660.0,0.53,0.53,275.0,375.0,0.733,201.0,404.0,605.0,143.0,63.0,90.0,164.0,265.0,975.0
19533,19533,2009.0,Rudy Gay,SF,22.0,MEM,79.0,78.0,2945.0,15.3,0.528,0.192,0.273,4.5,13.9,9.1,8.7,1.8,1.6,12.6,25.6,,0.7,2.6,3.3,0.054000000000000006,,-0.7,-0.7,-1.4,0.5,572.0,1262.0,0.45299999999999996,85.0,242.0,0.35100000000000003,487.0,1020.0,0.47700000000000004,0.48700000000000004,264.0,344.0,0.767,109.0,328.0,437.0,135.0,98.0,59.0,203.0,221.0,1493.0
19555,19555,2009.0,Hamed Haddadi,C,23.0,MEM,19.0,0.0,120.0,19.7,0.5429999999999999,0.0,0.968,16.1,32.2,24.0,11.1,0.4,8.1,16.9,20.7,,0.2,0.2,0.4,0.142,,-2.6,2.7,0.1,0.1,15.0,31.0,0.484,0.0,0.0,,15.0,31.0,0.484,0.484,18.0,30.0,0.6,16.0,31.0,47.0,8.0,1.0,12.0,9.0,20.0,48.0
19616,19616,2009.0,Marko Jaric,SG,30.0,MEM,53.0,0.0,605.0,7.3,0.41700000000000004,0.193,0.28300000000000003,4.6,8.6,6.6,19.0,2.6,1.5,23.1,16.4,,-0.9,0.5,-0.4,-0.03,,-4.7,0.2,-4.5,-0.4,48.0,145.0,0.331,11.0,28.0,0.39299999999999996,37.0,117.0,0.316,0.369,29.0,41.0,0.7070000000000001,23.0,42.0,65.0,74.0,29.0,11.0,49.0,62.0,136.0
19660,19660,2009.0,Kyle Lowry,PG,22.0,MEM,49.0,21.0,1071.0,14.1,0.54,0.254,0.5920000000000001,1.5,11.4,6.4,26.9,2.4,0.6,18.7,18.4,,0.9,0.9,1.8,0.081,,-0.7,-0.8,-1.5,0.1,112.0,272.0,0.41200000000000003,17.0,69.0,0.24600000000000002,95.0,203.0,0.46799999999999997,0.44299999999999995,129.0,161.0,0.8009999999999999,13.0,98.0,111.0,178.0,48.0,8.0,79.0,89.0,370.0
