,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11364,11364,1994.0,Gary Alexander,PF,24.0,MIA,4.0,0.0,12.0,0.8,0.34700000000000003,0.0,1.0,9.4,19.0,14.2,11.5,0.0,0.0,25.8,13.9,,0.0,0.0,0.0,-0.09,,-6.9,-1.4,-8.3,0.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0
11378,11378,1994.0,Keith Askins,SF,26.0,MIA,37.0,0.0,319.0,8.2,0.46,0.239,0.114,11.7,17.5,14.6,5.9,1.8,0.2,18.5,15.3,,-0.1,0.4,0.3,0.044000000000000004,,-2.8,-0.9,-3.7,-0.1,36.0,88.0,0.409,4.0,21.0,0.19,32.0,67.0,0.478,0.43200000000000005,9.0,10.0,0.9,33.0,49.0,82.0,13.0,11.0,1.0,21.0,57.0,85.0
11399,11399,1994.0,Manute Bol,C,31.0,MIA,8.0,0.0,61.0,-3.4,0.083,0.25,0.0,1.9,18.7,10.2,0.0,0.0,6.8,29.4,12.0,,-0.3,0.1,-0.3,-0.19699999999999998,,-14.5,0.3,-14.1,-0.2,1.0,12.0,0.083,0.0,3.0,0.0,1.0,9.0,0.111,0.083,0.0,0.0,,1.0,10.0,11.0,0.0,0.0,6.0,5.0,4.0,2.0
11424,11424,1994.0,Willie Burton,SF,25.0,MIA,53.0,1.0,697.0,15.6,0.526,0.053,0.5579999999999999,8.1,14.0,11.1,8.9,1.3,2.0,13.3,25.1,,0.9,0.7,1.6,0.113,,-1.4,-1.7,-3.1,-0.2,124.0,283.0,0.43799999999999994,3.0,15.0,0.2,121.0,268.0,0.451,0.44299999999999995,120.0,158.0,0.759,50.0,86.0,136.0,39.0,18.0,20.0,54.0,96.0,371.0
11445,11445,1994.0,Bimbo Coles,PG,25.0,MIA,76.0,4.0,1726.0,13.0,0.51,0.191,0.252,3.3,7.2,5.2,22.7,2.2,0.5,15.7,17.1,,1.8,1.4,3.2,0.08900000000000001,,-0.1,-1.0,-1.1,0.4,233.0,519.0,0.449,20.0,99.0,0.20199999999999999,213.0,420.0,0.507,0.46799999999999997,102.0,131.0,0.779,50.0,109.0,159.0,263.0,75.0,12.0,107.0,132.0,588.0
11515,11515,1994.0,Matt Geiger,C,24.0,MIA,72.0,0.0,1199.0,16.7,0.624,0.013999999999999999,0.423,11.2,17.5,14.3,4.2,1.5,1.7,12.7,17.2,,3.1,1.4,4.5,0.179,,0.7,-0.9,-0.1,0.6,202.0,352.0,0.574,1.0,5.0,0.2,201.0,347.0,0.579,0.575,116.0,149.0,0.779,119.0,184.0,303.0,32.0,36.0,29.0,61.0,201.0,521.0
11595,11595,1994.0,Alec Kessler,PF,27.0,MIA,15.0,0.0,66.0,11.8,0.579,0.36,0.32,6.9,10.3,8.6,4.7,0.8,1.0,14.9,21.9,,0.1,0.0,0.1,0.102,,-0.4,-3.9,-4.3,0.0,11.0,25.0,0.44,5.0,9.0,0.556,6.0,16.0,0.375,0.54,6.0,8.0,0.75,4.0,6.0,10.0,2.0,1.0,1.0,5.0,14.0,33.0
11625,11625,1994.0,Grant Long,PF,27.0,MIA,69.0,59.0,2201.0,13.9,0.507,0.009000000000000001,0.354,9.8,15.8,12.8,11.5,2.1,0.8,13.9,17.7,,2.6,2.5,5.1,0.111,,0.1,1.2,1.3,1.8,300.0,672.0,0.446,1.0,6.0,0.16699999999999998,299.0,666.0,0.449,0.447,187.0,238.0,0.7859999999999999,190.0,305.0,495.0,170.0,89.0,26.0,125.0,244.0,788.0
11661,11661,1994.0,Harold Miner,SG,22.0,MIA,63.0,31.0,1358.0,14.0,0.541,0.011000000000000001,0.33799999999999997,6.2,6.8,6.5,11.3,1.2,0.7,13.5,22.4,,1.9,0.7,2.7,0.094,,-0.5,-2.1,-2.6,-0.2,254.0,532.0,0.47700000000000004,4.0,6.0,0.667,250.0,526.0,0.475,0.48100000000000004,149.0,180.0,0.828,75.0,81.0,156.0,95.0,31.0,13.0,95.0,132.0,661.0
11723,11723,1994.0,Glen Rice,SF,26.0,MIA,81.0,81.0,2999.0,18.5,0.552,0.243,0.2,2.9,13.6,8.2,10.5,1.9,0.7,7.8,24.1,,7.3,2.9,10.2,0.163,,2.8,-1.0,1.8,2.9,663.0,1421.0,0.467,132.0,346.0,0.382,531.0,1075.0,0.494,0.513,250.0,284.0,0.88,76.0,358.0,434.0,184.0,110.0,32.0,130.0,186.0,1708.0
