,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6854,6854,1983.0,Junior Bridgeman,SF,29.0,MIL,70.0,5.0,1855.0,16.1,0.534,0.015,0.22899999999999998,2.7,11.4,7.3,17.1,1.0,0.3,11.5,23.7,,2.7,2.1,4.8,0.125,,0.4,-1.2,-0.8,0.6,421.0,856.0,0.49200000000000005,1.0,13.0,0.077,420.0,843.0,0.498,0.49200000000000005,164.0,196.0,0.8370000000000001,44.0,202.0,246.0,207.0,40.0,9.0,122.0,155.0,1007.0
6871,6871,1983.0,Harvey Catchings,C,31.0,MIL,74.0,33.0,1554.0,9.8,0.51,0.0,0.467,9.8,18.6,14.4,6.0,0.8,5.3,25.9,8.5,,0.3,2.8,3.1,0.096,,-2.9,4.3,1.5,1.4,90.0,197.0,0.457,0.0,0.0,,90.0,197.0,0.457,0.457,62.0,92.0,0.674,132.0,276.0,408.0,77.0,26.0,148.0,83.0,224.0,242.0
6887,6887,1983.0,Dave Cowens*,PF,34.0,MIL,40.0,34.0,1014.0,12.6,0.485,0.006999999999999999,0.20600000000000002,8.3,20.8,14.8,10.9,1.4,0.8,11.6,15.4,,0.9,1.7,2.6,0.12300000000000001,,-1.1,1.5,0.5,0.6,136.0,306.0,0.444,0.0,2.0,0.0,136.0,304.0,0.447,0.444,52.0,63.0,0.825,73.0,201.0,274.0,82.0,30.0,15.0,44.0,137.0,324.0
6889,6889,1983.0,Charlie Criss,PG,34.0,MIL,66.0,0.0,922.0,14.5,0.504,0.083,0.203,1.8,7.4,4.7,19.8,1.4,0.0,9.7,20.3,,1.3,0.9,2.2,0.113,,-0.5,-2.2,-2.7,-0.2,169.0,375.0,0.451,6.0,31.0,0.19399999999999998,163.0,344.0,0.474,0.45899999999999996,68.0,76.0,0.895,14.0,65.0,79.0,127.0,27.0,0.0,44.0,44.0,412.0
6931,6931,1983.0,Phil Ford,PG,26.0,MIL,70.0,56.0,1447.0,10.6,0.519,0.02,0.276,1.4,5.7,3.6,23.4,1.5,0.1,19.7,16.4,,0.7,1.4,2.2,0.07200000000000001,,-2.1,-1.7,-3.7,-0.6,193.0,410.0,0.47100000000000003,1.0,8.0,0.125,192.0,402.0,0.478,0.47200000000000003,90.0,113.0,0.7959999999999999,18.0,78.0,96.0,252.0,46.0,3.0,113.0,168.0,477.0
6965,6965,1983.0,Armond Hill,PG,29.0,MIL,14.0,3.0,169.0,12.6,0.645,0.0,0.846,3.4,9.3,6.5,20.1,2.6,0.0,26.7,11.9,,0.2,0.2,0.5,0.13699999999999998,,-1.0,0.5,-0.5,0.1,14.0,26.0,0.5379999999999999,0.0,0.0,,14.0,26.0,0.5379999999999999,0.5379999999999999,18.0,22.0,0.818,5.0,15.0,20.0,27.0,9.0,0.0,13.0,20.0,46.0
6984,6984,1983.0,Marques Johnson,SF,26.0,MIL,80.0,80.0,2853.0,21.1,0.5429999999999999,0.013999999999999999,0.253,7.9,13.5,10.8,20.3,1.7,1.1,11.0,25.7,,6.6,4.1,10.7,0.18,,3.9,0.9,4.8,4.9,723.0,1420.0,0.509,4.0,20.0,0.2,719.0,1400.0,0.514,0.511,264.0,359.0,0.735,196.0,366.0,562.0,363.0,100.0,56.0,196.0,211.0,1714.0
6986,6986,1983.0,Mickey Johnson,PF,30.0,MIL,6.0,0.0,153.0,9.8,0.479,0.03,0.136,6.8,11.0,9.0,10.5,0.3,0.7,14.6,22.2,,0.0,0.1,0.1,0.034,,-2.8,-1.9,-4.7,-0.1,30.0,66.0,0.455,0.0,2.0,0.0,30.0,64.0,0.469,0.455,7.0,9.0,0.778,9.0,16.0,25.0,11.0,1.0,2.0,12.0,22.0,67.0
7028,7028,1983.0,Bob Lanier*,C,34.0,MIL,39.0,35.0,978.0,14.5,0.534,0.003,0.401,6.8,15.2,11.2,15.1,1.7,1.4,17.4,20.0,,0.8,1.5,2.3,0.11199999999999999,,-0.5,1.4,0.9,0.7,163.0,332.0,0.491,0.0,1.0,0.0,163.0,331.0,0.49200000000000005,0.491,91.0,133.0,0.684,58.0,142.0,200.0,105.0,34.0,24.0,82.0,125.0,417.0
7034,7034,1983.0,Alton Lister,PF,24.0,MIL,80.0,37.0,1885.0,13.8,0.5429999999999999,0.0,0.47100000000000003,10.3,22.3,16.6,8.0,1.3,5.2,23.1,17.7,,-0.2,3.9,3.8,0.096,,-2.4,3.6,1.2,1.5,272.0,514.0,0.529,0.0,0.0,,272.0,514.0,0.529,0.529,130.0,242.0,0.537,168.0,400.0,568.0,111.0,50.0,177.0,186.0,328.0,674.0
