,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12917,12917,1997.0,Chris Carr,SG,22.0,MIN,55.0,10.0,830.0,13.3,0.556,0.325,0.26899999999999996,4.4,11.6,8.0,9.8,1.5,0.9,10.9,18.8,,1.0,0.6,1.7,0.096,,-0.3,-1.9,-2.2,0.0,125.0,271.0,0.461,31.0,88.0,0.35200000000000004,94.0,183.0,0.514,0.518,56.0,73.0,0.767,31.0,82.0,113.0,48.0,24.0,10.0,37.0,93.0,337.0
13012,13012,1997.0,Kevin Garnett,SF,20.0,MIN,77.0,77.0,2995.0,18.2,0.537,0.019,0.247,7.6,16.8,12.2,14.1,1.9,4.1,12.5,21.3,,3.4,3.9,7.3,0.11599999999999999,,0.3,2.6,2.9,3.7,549.0,1100.0,0.499,6.0,21.0,0.28600000000000003,543.0,1079.0,0.503,0.502,205.0,272.0,0.754,190.0,428.0,618.0,236.0,105.0,163.0,175.0,199.0,1309.0
13013,13013,1997.0,Dean Garrett,C,30.0,MIN,68.0,47.0,1665.0,17.7,0.603,0.0,0.355,10.7,24.4,17.6,3.8,1.3,4.3,7.0,13.3,,3.7,2.5,6.2,0.179,,-0.6,1.3,0.7,1.1,223.0,389.0,0.573,0.0,0.0,,223.0,389.0,0.573,0.573,96.0,138.0,0.696,149.0,346.0,495.0,38.0,40.0,95.0,34.0,158.0,542.0
13038,13038,1997.0,Tom Gugliotta,PF,27.0,MIN,81.0,81.0,3131.0,19.0,0.526,0.069,0.423,7.1,19.3,13.3,19.3,2.2,2.1,15.6,27.5,,2.6,4.2,6.7,0.10300000000000001,,0.4,1.6,2.0,3.2,592.0,1339.0,0.442,24.0,93.0,0.258,568.0,1246.0,0.456,0.451,464.0,566.0,0.82,187.0,515.0,702.0,335.0,130.0,89.0,293.0,237.0,1672.0
13058,13058,1997.0,Shane Heal,PG,26.0,MIN,43.0,0.0,236.0,5.0,0.37799999999999995,0.67,0.052000000000000005,1.0,8.0,4.5,22.1,0.7,1.0,14.6,22.5,,-0.5,0.1,-0.4,-0.086,,-4.2,-4.6,-8.8,-0.4,26.0,97.0,0.268,20.0,65.0,0.308,6.0,32.0,0.188,0.371,3.0,5.0,0.6,2.0,16.0,18.0,33.0,3.0,3.0,17.0,20.0,75.0
13099,13099,1997.0,Reggie Jordan,SG,29.0,MIN,10.0,0.0,31.0,25.2,0.765,0.0,0.7,0.0,15.1,7.6,6.7,3.4,0.0,13.3,22.3,,0.1,0.0,0.1,0.205,,1.7,-1.9,-0.2,0.0,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,4.0,7.0,0.5710000000000001,0.0,4.0,4.0,1.0,2.0,0.0,2.0,2.0,20.0
13149,13149,1997.0,Stephon Marbury,PG,19.0,MIN,67.0,64.0,2324.0,16.1,0.519,0.331,0.387,2.8,6.6,4.7,38.1,1.5,0.6,17.1,24.2,,2.5,1.2,3.7,0.077,,2.0,-3.0,-1.0,0.6,355.0,871.0,0.408,102.0,288.0,0.354,253.0,583.0,0.434,0.466,245.0,337.0,0.727,54.0,130.0,184.0,522.0,67.0,19.0,210.0,159.0,1057.0
13187,13187,1997.0,Sam Mitchell,SF,33.0,MIN,82.0,5.0,2044.0,11.8,0.523,0.040999999999999995,0.489,6.5,12.3,9.4,6.3,1.3,0.7,11.3,18.5,,1.8,1.5,3.3,0.077,,-2.1,-1.4,-3.5,-0.8,269.0,603.0,0.446,4.0,25.0,0.16,265.0,578.0,0.45799999999999996,0.449,224.0,295.0,0.759,112.0,214.0,326.0,79.0,51.0,20.0,93.0,232.0,766.0
13233,13233,1997.0,Cherokee Parks,PF,24.0,MIN,76.0,0.0,961.0,12.7,0.535,0.005,0.376,10.3,13.7,12.0,5.6,2.3,3.8,12.0,12.7,,1.0,1.2,2.2,0.11199999999999999,,-1.8,1.8,0.0,0.5,103.0,202.0,0.51,0.0,1.0,0.0,103.0,201.0,0.512,0.51,46.0,76.0,0.605,83.0,112.0,195.0,34.0,41.0,48.0,32.0,150.0,252.0
13248,13248,1997.0,Terry Porter,PG,33.0,MIN,82.0,20.0,1568.0,14.5,0.544,0.445,0.37,2.4,10.9,6.6,30.2,1.8,0.5,19.7,19.0,,1.5,1.2,2.7,0.08199999999999999,,0.3,-2.1,-1.8,0.1,187.0,449.0,0.41600000000000004,67.0,200.0,0.335,120.0,249.0,0.48200000000000004,0.491,127.0,166.0,0.765,31.0,145.0,176.0,295.0,54.0,11.0,128.0,104.0,568.0
13273,13273,1997.0,James Robinson,PG,26.0,MIN,69.0,5.0,1309.0,12.7,0.537,0.5539999999999999,0.237,2.2,7.9,5.1,16.2,1.2,0.5,11.5,21.0,,1.3,0.6,1.9,0.071,,1.1,-3.3,-2.3,-0.1,196.0,482.0,0.40700000000000003,102.0,267.0,0.382,94.0,215.0,0.43700000000000006,0.512,78.0,114.0,0.684,24.0,88.0,112.0,126.0,30.0,8.0,69.0,125.0,572.0
13362,13362,1997.0,Stojko Vrankovic,C,33.0,MIN,53.0,35.0,766.0,10.1,0.583,0.0,0.266,8.9,17.0,13.0,2.9,0.7,6.6,25.1,12.4,,-0.1,0.9,0.9,0.055,,-4.6,2.0,-2.6,-0.1,78.0,139.0,0.561,0.0,0.0,,78.0,139.0,0.561,0.561,25.0,37.0,0.6759999999999999,57.0,111.0,168.0,14.0,10.0,67.0,52.0,121.0,181.0
13378,13378,1997.0,Doug West,SG,29.0,MIN,68.0,66.0,1920.0,8.5,0.505,0.09300000000000001,0.19399999999999998,2.3,6.8,4.6,9.4,1.7,0.9,11.2,14.1,,0.5,1.2,1.7,0.042,,-2.3,-0.4,-2.7,-0.4,226.0,484.0,0.467,15.0,45.0,0.33299999999999996,211.0,439.0,0.48100000000000004,0.48200000000000004,64.0,94.0,0.6809999999999999,37.0,111.0,148.0,113.0,61.0,24.0,66.0,218.0,531.0
