,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1132,1132,1957.0,Jim Baechtold,SF,29.0,NYK,45.0,,462.0,15.3,0.45799999999999996,,0.447,,,,,,,,,,0.6,0.3,0.9,0.096,,,,,,75.0,197.0,0.381,,,,75.0,197.0,0.381,0.381,66.0,88.0,0.75,,,80.0,33.0,,,,39.0,216.0
1136,1136,1957.0,Gary Bergen,C,24.0,NYK,6.0,,40.0,4.7,0.337,,0.182,,,,,,,,,,-0.1,0.0,0.0,-0.044000000000000004,,,,,,3.0,11.0,0.273,,,,3.0,11.0,0.273,0.273,2.0,2.0,1.0,,,8.0,1.0,,,,4.0,8.0
1138,1138,1957.0,Carl Braun,PG,29.0,NYK,72.0,,2345.0,13.8,0.444,,0.305,,,,,,,,,,2.3,1.4,3.7,0.077,,,,,,378.0,993.0,0.381,,,,378.0,993.0,0.381,0.381,245.0,303.0,0.809,,,259.0,256.0,,,,195.0,1001.0
1140,1140,1957.0,Nat Clifton*,PF,34.0,NYK,71.0,,2231.0,12.1,0.41700000000000004,,0.265,,,,,,,,,,0.2,1.6,1.8,0.04,,,,,,308.0,818.0,0.377,,,,308.0,818.0,0.377,0.377,146.0,217.0,0.6729999999999999,,,557.0,164.0,,,,243.0,762.0
1149,1149,1957.0,Ray Felix,C,26.0,NYK,72.0,,1622.0,18.8,0.49700000000000005,,0.523,,,,,,,,,,4.2,1.3,5.5,0.162,,,,,,295.0,709.0,0.41600000000000004,,,,295.0,709.0,0.41600000000000004,0.41600000000000004,277.0,371.0,0.747,,,587.0,36.0,,,,284.0,867.0
1152,1152,1957.0,Harry Gallatin*,PF,29.0,NYK,72.0,,1943.0,22.9,0.516,,0.635,,,,,,,,,,6.4,1.6,8.1,0.19899999999999998,,,,,,332.0,817.0,0.406,,,,332.0,817.0,0.406,0.406,415.0,519.0,0.8,,,725.0,85.0,,,,202.0,1079.0
1157,1157,1957.0,Richie Guerin*,SG,24.0,NYK,72.0,,1793.0,12.8,0.42,,0.418,,,,,,,,,,0.5,1.3,1.7,0.046,,,,,,257.0,699.0,0.368,,,,257.0,699.0,0.368,0.368,181.0,292.0,0.62,,,334.0,182.0,,,,186.0,695.0
1172,1172,1957.0,Phil Jordon,C-F,23.0,NYK,9.0,,91.0,13.8,0.405,,0.245,,,,,,,,,,0.0,0.1,0.0,0.013000000000000001,,,,,,18.0,49.0,0.36700000000000005,,,,18.0,49.0,0.36700000000000005,0.36700000000000005,8.0,12.0,0.667,,,34.0,2.0,,,,15.0,44.0
1184,1184,1957.0,Slater Martin*,PG,31.0,NYK,13.0,,426.0,10.0,0.461,,0.552,,,,,,,,,,0.4,0.2,0.6,0.07200000000000001,,,,,,33.0,96.0,0.344,,,,33.0,96.0,0.344,0.344,44.0,53.0,0.83,,,42.0,39.0,,,,28.0,110.0
1187,1187,1957.0,Dick McGuire*,PG,31.0,NYK,72.0,,1191.0,14.2,0.44,,0.445,,,,,,,,,,1.1,1.0,2.1,0.084,,,,,,140.0,366.0,0.38299999999999995,,,,140.0,366.0,0.38299999999999995,0.38299999999999995,105.0,163.0,0.644,,,146.0,222.0,,,,103.0,385.0
1194,1194,1957.0,Willie Naulls,PF,22.0,NYK,52.0,,1340.0,13.2,0.391,,0.222,,,,,,,,,,-1.1,1.1,0.0,0.0,,,,,,216.0,609.0,0.355,,,,216.0,609.0,0.355,0.355,91.0,135.0,0.674,,,450.0,62.0,,,,129.0,523.0
1217,1217,1957.0,Kenny Sears,SF,23.0,NYK,72.0,,2516.0,16.6,0.517,,0.591,,,,,,,,,,6.4,1.6,8.0,0.153,,,,,,343.0,821.0,0.418,,,,343.0,821.0,0.418,0.418,383.0,485.0,0.79,,,614.0,101.0,,,,226.0,1069.0
1221,1221,1957.0,Ron Shavlik,F,23.0,NYK,7.0,,72.0,-0.9,0.207,,0.22699999999999998,,,,,,,,,,-0.3,0.0,-0.3,-0.18,,,,,,4.0,22.0,0.182,,,,4.0,22.0,0.182,0.182,2.0,5.0,0.4,,,22.0,0.0,,,,12.0,10.0
1224,1224,1957.0,Ron Sobie,SG,22.0,NYK,71.0,,1378.0,14.0,0.457,,0.45,,,,,,,,,,1.5,1.0,2.6,0.09,,,,,,166.0,442.0,0.376,,,,166.0,442.0,0.376,0.376,152.0,199.0,0.764,,,326.0,129.0,,,,158.0,484.0
