,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23519,23519,2016.0,Steven Adams,C,22.0,OKC,80.0,80.0,2014.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,,4.2,2.3,6.5,0.155,,0.8,1.3,2.1,2.1,261.0,426.0,0.613,0.0,0.0,,261.0,426.0,0.613,0.613,114.0,196.0,0.5820000000000001,219.0,314.0,533.0,62.0,42.0,89.0,84.0,223.0,636.0
23546,23546,2016.0,D.J. Augustin,PG,28.0,OKC,34.0,0.0,519.0,8.7,0.522,0.504,0.281,1.1,7.6,4.5,16.7,1.2,0.3,18.1,13.6,,0.4,0.3,0.7,0.065,,-1.4,-1.9,-3.3,-0.2,46.0,121.0,0.38,24.0,61.0,0.39299999999999996,22.0,60.0,0.36700000000000005,0.479,26.0,34.0,0.765,5.0,38.0,43.0,66.0,13.0,2.0,30.0,41.0,142.0
23616,23616,2016.0,Nick Collison,PF,35.0,OKC,59.0,4.0,699.0,7.7,0.498,0.018000000000000002,0.303,11.2,15.2,13.3,9.6,1.1,1.7,28.8,10.6,,0.1,0.7,0.8,0.053,,-2.5,1.3,-1.2,0.1,50.0,109.0,0.45899999999999996,0.0,2.0,0.0,50.0,107.0,0.467,0.45899999999999996,23.0,33.0,0.6970000000000001,68.0,103.0,171.0,52.0,15.0,16.0,50.0,107.0,123.0
23654,23654,2016.0,Kevin Durant,SF,27.0,OKC,72.0,72.0,2578.0,28.2,0.634,0.348,0.361,2.0,21.8,12.4,24.2,1.3,2.5,13.5,30.6,,11.0,3.5,14.5,0.27,,7.0,0.9,7.9,6.4,698.0,1381.0,0.505,186.0,481.0,0.387,512.0,900.0,0.569,0.573,447.0,498.0,0.898,45.0,544.0,589.0,361.0,69.0,85.0,250.0,137.0,2029.0
23675,23675,2016.0,Randy Foye,SG,32.0,OKC,27.0,1.0,572.0,7.1,0.469,0.544,0.18100000000000002,1.6,7.8,4.9,11.3,1.1,1.7,14.8,14.1,,0.0,0.4,0.4,0.038,,-1.9,-0.6,-2.5,-0.1,52.0,149.0,0.349,25.0,81.0,0.309,27.0,68.0,0.397,0.433,22.0,27.0,0.815,8.0,43.0,51.0,49.0,13.0,13.0,28.0,48.0,151.0
23765,23765,2016.0,Josh Huestis,PF,24.0,OKC,5.0,0.0,55.0,6.7,0.509,0.5,0.33299999999999996,4.2,15.0,9.9,0.0,0.9,2.8,17.9,13.0,,0.0,0.1,0.0,0.01,,-4.9,-2.5,-7.4,-0.1,5.0,12.0,0.41700000000000004,4.0,6.0,0.667,1.0,6.0,0.16699999999999998,0.583,0.0,4.0,0.0,2.0,8.0,10.0,0.0,1.0,2.0,3.0,3.0,14.0
23771,23771,2016.0,Serge Ibaka,PF,26.0,OKC,78.0,78.0,2500.0,13.9,0.5329999999999999,0.212,0.139,6.5,16.2,11.6,3.9,0.8,4.5,10.5,17.6,,2.5,3.0,5.5,0.105,,-1.1,1.0,-0.1,1.2,416.0,869.0,0.479,60.0,184.0,0.326,356.0,685.0,0.52,0.513,91.0,121.0,0.752,141.0,392.0,533.0,66.0,38.0,148.0,108.0,211.0,983.0
23813,23813,2016.0,Enes Kanter,C,23.0,OKC,82.0,1.0,1721.0,24.0,0.626,0.028999999999999998,0.349,16.7,24.9,21.0,3.1,0.7,1.5,12.2,23.4,,6.0,2.1,8.1,0.226,,1.3,-3.1,-1.7,0.1,414.0,719.0,0.5760000000000001,10.0,21.0,0.47600000000000003,404.0,698.0,0.579,0.583,200.0,251.0,0.797,249.0,415.0,664.0,33.0,26.0,33.0,115.0,166.0,1038.0
23874,23874,2016.0,Mitch McGary,PF,23.0,OKC,20.0,0.0,72.0,7.4,0.474,0.174,0.435,6.4,20.1,13.6,6.0,0.7,2.1,20.3,20.4,,-0.1,0.1,0.0,-0.018000000000000002,,-6.2,-1.5,-7.7,-0.1,11.0,23.0,0.478,0.0,4.0,0.0,11.0,19.0,0.579,0.478,4.0,10.0,0.4,4.0,14.0,18.0,3.0,1.0,2.0,7.0,10.0,26.0
23894,23894,2016.0,Nazr Mohammed,C,38.0,OKC,5.0,0.0,19.0,6.0,0.68,0.0,0.4,6.1,16.3,11.5,0.0,0.0,0.0,33.8,19.9,,0.0,0.0,0.0,-0.009000000000000001,,-7.4,-5.9,-13.2,-0.1,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,4.0,8.0
