,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19936,19936,2010.0,Ryan Anderson,PF,21.0,ORL,63.0,6.0,911.0,18.1,0.574,0.544,0.21100000000000002,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,,1.7,1.4,3.1,0.161,,2.3,-1.0,1.3,0.8,169.0,388.0,0.436,78.0,211.0,0.37,91.0,177.0,0.514,0.536,71.0,82.0,0.866,70.0,132.0,202.0,37.0,25.0,14.0,56.0,81.0,487.0
19956,19956,2010.0,Matt Barnes,SF,29.0,ORL,81.0,58.0,2097.0,13.6,0.5760000000000001,0.37200000000000005,0.262,6.1,18.0,12.3,10.1,1.5,1.1,15.3,16.2,,2.5,3.4,5.9,0.135,,0.5,2.2,2.7,2.5,271.0,557.0,0.48700000000000004,66.0,207.0,0.319,205.0,350.0,0.586,0.546,108.0,146.0,0.74,106.0,339.0,445.0,134.0,59.0,30.0,112.0,185.0,716.0
19958,19958,2010.0,Brandon Bass,PF,24.0,ORL,50.0,3.0,648.0,16.5,0.556,0.0,0.27,10.0,12.6,11.3,5.1,1.0,3.1,10.6,20.9,,1.0,1.0,2.0,0.147,,-1.5,0.5,-1.0,0.2,119.0,233.0,0.511,0.0,0.0,,119.0,233.0,0.511,0.511,52.0,63.0,0.825,54.0,73.0,127.0,19.0,12.0,27.0,31.0,69.0,290.0
20023,20023,2010.0,Vince Carter,SG,33.0,ORL,75.0,74.0,2310.0,17.1,0.541,0.319,0.301,1.7,12.6,7.3,17.8,1.2,0.6,8.4,25.2,,4.4,3.0,7.4,0.154,,1.9,-0.1,1.7,2.2,434.0,1015.0,0.428,119.0,324.0,0.36700000000000005,315.0,691.0,0.456,0.486,257.0,306.0,0.84,33.0,260.0,293.0,236.0,53.0,18.0,106.0,189.0,1244.0
20116,20116,2010.0,Marcin Gortat,C,25.0,ORL,81.0,0.0,1088.0,13.9,0.563,0.013000000000000001,0.33,11.5,24.3,18.1,2.4,0.8,4.8,15.0,13.0,,1.2,2.2,3.4,0.151,,-3.0,2.5,-0.5,0.4,121.0,227.0,0.5329999999999999,0.0,3.0,0.0,121.0,224.0,0.54,0.5329999999999999,51.0,75.0,0.68,104.0,237.0,341.0,17.0,17.0,70.0,46.0,138.0,293.0
20167,20167,2010.0,Dwight Howard,C,24.0,ORL,82.0,82.0,2843.0,24.0,0.63,0.008,0.978,12.0,31.3,22.0,8.7,1.4,6.0,18.7,23.9,,6.1,7.1,13.2,0.223,,0.4,5.0,5.5,5.4,510.0,834.0,0.612,0.0,7.0,0.0,510.0,827.0,0.617,0.612,483.0,816.0,0.5920000000000001,284.0,798.0,1082.0,144.0,75.0,228.0,274.0,287.0,1503.0
20223,20223,2010.0,Anthony Johnson,PG,35.0,ORL,31.0,0.0,406.0,12.4,0.5429999999999999,0.35100000000000003,0.18,2.4,11.0,6.8,24.2,1.4,0.2,17.8,16.7,,0.5,0.5,1.0,0.11599999999999999,,-0.6,-0.2,-0.8,0.1,49.0,111.0,0.441,13.0,39.0,0.33299999999999996,36.0,72.0,0.5,0.5,19.0,20.0,0.95,8.0,40.0,48.0,63.0,11.0,1.0,26.0,32.0,130.0
20255,20255,2010.0,Rashard Lewis,PF,30.0,ORL,72.0,72.0,2369.0,14.0,0.573,0.525,0.22399999999999998,3.1,12.1,7.8,7.4,1.7,0.9,10.9,19.4,,3.1,3.4,6.5,0.132,,1.8,0.9,2.7,2.8,350.0,805.0,0.435,168.0,423.0,0.397,182.0,382.0,0.47600000000000003,0.539,145.0,180.0,0.8059999999999999,62.0,256.0,318.0,107.0,78.0,28.0,108.0,180.0,1013.0
20324,20324,2010.0,Jameer Nelson,PG,27.0,ORL,65.0,64.0,1860.0,15.5,0.54,0.32,0.16399999999999998,1.7,10.1,6.0,32.1,1.3,0.1,15.5,22.3,,2.8,2.2,5.0,0.13,,1.6,-0.6,1.0,1.4,317.0,706.0,0.449,86.0,226.0,0.381,231.0,480.0,0.48100000000000004,0.51,98.0,116.0,0.845,26.0,168.0,194.0,353.0,48.0,2.0,139.0,147.0,818.0
20353,20353,2010.0,Mickael Pietrus,SF,27.0,ORL,75.0,24.0,1687.0,11.9,0.555,0.568,0.20199999999999999,2.8,11.6,7.4,4.7,1.6,1.4,10.5,18.0,,1.2,2.5,3.6,0.10300000000000001,,0.2,0.5,0.7,1.1,233.0,539.0,0.43200000000000005,116.0,306.0,0.379,117.0,233.0,0.502,0.54,69.0,109.0,0.633,39.0,176.0,215.0,49.0,53.0,31.0,69.0,138.0,651.0
