,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15545,15545,2002.0,Raja Bell,SG,25.0,PHI,74.0,12.0,890.0,8.6,0.486,0.183,0.2,4.0,10.1,7.1,13.4,1.3,0.3,15.5,15.9,,0.1,1.0,1.1,0.059000000000000004,,-2.9,-0.8,-3.7,-0.4,103.0,240.0,0.429,12.0,44.0,0.273,91.0,196.0,0.46399999999999997,0.45399999999999996,36.0,48.0,0.75,31.0,80.0,111.0,71.0,21.0,4.0,48.0,109.0,254.0
15553,15553,2002.0,Corie Blount,PF,33.0,PHI,72.0,21.0,1426.0,10.2,0.478,0.004,0.179,12.0,17.2,14.6,4.9,1.9,1.4,16.1,10.4,,0.7,2.4,3.1,0.10400000000000001,,-2.5,2.0,-0.5,0.6,115.0,251.0,0.45799999999999996,0.0,1.0,0.0,115.0,250.0,0.46,0.45799999999999996,29.0,45.0,0.644,149.0,219.0,368.0,44.0,49.0,26.0,52.0,176.0,259.0
15560,15560,2002.0,Ira Bowman,SG,28.0,PHI,3.0,0.0,29.0,16.4,0.7140000000000001,0.14300000000000002,0.0,0.0,3.9,2.0,6.4,3.7,0.0,0.0,11.1,,0.1,0.0,0.1,0.21,,1.3,-0.1,1.2,0.0,5.0,7.0,0.7140000000000001,0.0,1.0,0.0,5.0,6.0,0.833,0.7140000000000001,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,10.0
15569,15569,2002.0,Damone Brown,SF,22.0,PHI,17.0,0.0,67.0,1.6,0.469,0.048,0.381,3.4,3.4,3.4,5.0,0.8,1.1,26.8,22.9,,-0.2,0.1,-0.1,-0.096,,-8.8,-2.7,-11.5,-0.2,8.0,21.0,0.381,0.0,1.0,0.0,8.0,20.0,0.4,0.381,7.0,8.0,0.875,2.0,2.0,4.0,2.0,1.0,1.0,9.0,11.0,23.0
15600,15600,2002.0,Speedy Claxton,PG,23.0,PHI,67.0,18.0,1528.0,12.6,0.469,0.073,0.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,0.087,,-1.6,1.0,-0.7,0.5,181.0,452.0,0.4,4.0,33.0,0.121,177.0,419.0,0.42200000000000004,0.405,114.0,136.0,0.838,46.0,114.0,160.0,198.0,95.0,6.0,95.0,145.0,480.0
15602,15602,2002.0,Derrick Coleman,PF,34.0,PHI,58.0,58.0,2080.0,16.2,0.524,0.113,0.309,9.2,18.5,13.9,8.5,1.1,1.9,12.5,21.0,,2.7,3.2,5.9,0.135,,-0.1,0.8,0.7,1.4,331.0,735.0,0.45,28.0,83.0,0.337,303.0,652.0,0.465,0.469,185.0,227.0,0.815,167.0,342.0,509.0,98.0,42.0,51.0,119.0,158.0,875.0
15614,15614,2002.0,Vonteego Cummings,PG,25.0,PHI,58.0,1.0,501.0,11.8,0.47700000000000004,0.24600000000000002,0.171,3.2,8.5,5.9,21.6,1.9,0.8,15.2,21.7,,0.0,0.6,0.6,0.06,,-1.9,-1.5,-3.4,-0.2,78.0,187.0,0.41700000000000004,12.0,46.0,0.261,66.0,141.0,0.46799999999999997,0.449,24.0,32.0,0.75,14.0,38.0,52.0,60.0,18.0,5.0,36.0,53.0,192.0
15618,15618,2002.0,Samuel Dalembert,C,20.0,PHI,34.0,0.0,177.0,13.2,0.44,0.0,0.36,16.2,27.3,21.8,4.8,1.8,5.6,19.5,18.6,,-0.2,0.4,0.3,0.07200000000000001,,-5.7,2.2,-3.5,-0.1,22.0,50.0,0.44,0.0,0.0,,22.0,50.0,0.44,0.44,7.0,18.0,0.389,25.0,43.0,68.0,5.0,6.0,13.0,14.0,30.0,51.0
15673,15673,2002.0,Matt Geiger,C,32.0,PHI,4.0,0.0,36.0,-1.6,0.16899999999999998,0.0,0.25,9.6,9.4,9.5,0.0,0.0,4.2,18.4,13.8,,-0.1,0.0,-0.1,-0.145,,-12.1,-1.6,-13.7,-0.1,1.0,8.0,0.125,0.0,0.0,,1.0,8.0,0.125,0.125,1.0,2.0,0.5,3.0,3.0,6.0,0.0,0.0,2.0,2.0,2.0,3.0
15693,15693,2002.0,Matt Harpring,SF,25.0,PHI,81.0,81.0,2541.0,14.1,0.512,0.08199999999999999,0.265,9.2,16.3,12.8,7.5,1.5,0.1,12.0,19.1,,2.6,3.6,6.1,0.115,,-0.6,0.0,-0.6,0.9,386.0,838.0,0.461,21.0,69.0,0.304,365.0,769.0,0.475,0.473,165.0,222.0,0.743,203.0,370.0,573.0,107.0,70.0,5.0,127.0,201.0,958.0
15721,15721,2002.0,Allen Iverson*,SG,26.0,PHI,60.0,59.0,2622.0,21.9,0.489,0.161,0.35100000000000003,1.9,9.6,5.8,27.6,3.5,0.4,11.0,37.8,,2.6,4.3,6.9,0.126,,3.7,0.2,3.8,3.9,665.0,1669.0,0.39799999999999996,78.0,268.0,0.29100000000000004,587.0,1401.0,0.419,0.42200000000000004,475.0,585.0,0.812,44.0,225.0,269.0,331.0,168.0,13.0,237.0,102.0,1883.0
15733,15733,2002.0,Tim James,SF,25.0,PHI,9.0,0.0,41.0,4.8,0.384,0.0,0.462,14.0,5.5,9.7,4.1,0.0,1.9,16.1,20.8,,-0.1,0.0,-0.1,-0.064,,-6.5,-2.9,-9.4,-0.1,5.0,13.0,0.385,0.0,0.0,,5.0,13.0,0.385,0.385,2.0,6.0,0.33299999999999996,5.0,2.0,7.0,1.0,0.0,1.0,3.0,5.0,12.0
15746,15746,2002.0,Alvin Jones,C,23.0,PHI,23.0,2.0,126.0,6.2,0.451,0.0,1.0,11.8,20.5,16.2,3.7,1.3,5.4,27.6,14.5,,-0.2,0.3,0.1,0.034,,-6.9,2.4,-4.5,-0.1,8.0,20.0,0.4,0.0,0.0,,8.0,20.0,0.4,0.4,10.0,20.0,0.5,13.0,23.0,36.0,3.0,3.0,9.0,11.0,35.0,26.0
15802,15802,2002.0,Derrick McKey,SF,35.0,PHI,41.0,1.0,784.0,8.8,0.46399999999999997,0.098,0.115,7.0,11.3,9.2,8.9,2.8,0.4,14.7,8.8,,0.3,1.2,1.6,0.096,,-2.1,2.5,0.4,0.5,52.0,122.0,0.426,5.0,12.0,0.41700000000000004,47.0,110.0,0.42700000000000005,0.447,10.0,14.0,0.7140000000000001,48.0,79.0,127.0,45.0,41.0,4.0,22.0,90.0,119.0
