,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
13972,13972,1999.0,Greg Anthony,PG,31.0,POR,50.0,0.0,806.0,16.6,0.55,0.498,0.355,2.1,6.8,4.5,21.1,4.4,0.3,15.9,19.6,,1.3,1.5,2.8,0.165,,2.4,0.7,3.0,1.0,104.0,251.0,0.414,49.0,125.0,0.392,55.0,126.0,0.43700000000000006,0.512,62.0,89.0,0.6970000000000001,14.0,49.0,63.0,100.0,66.0,3.0,55.0,75.0,319.0
13978,13978,1999.0,Stacey Augmon,SF,30.0,POR,48.0,21.0,874.0,13.0,0.501,0.011000000000000001,0.43700000000000006,6.4,9.9,8.3,10.6,3.5,1.5,12.6,12.4,,1.0,1.6,2.6,0.142,,-0.7,3.4,2.7,1.0,78.0,174.0,0.44799999999999995,0.0,2.0,0.0,78.0,172.0,0.45299999999999996,0.44799999999999995,52.0,76.0,0.684,47.0,78.0,125.0,58.0,57.0,18.0,30.0,81.0,208.0
14042,14042,1999.0,Kelvin Cato,C,24.0,POR,43.0,0.0,545.0,14.5,0.47600000000000003,0.008,0.519,10.8,20.6,15.9,5.7,2.3,7.7,14.6,15.6,,0.2,1.4,1.6,0.14400000000000002,,-3.1,5.3,2.2,0.6,58.0,129.0,0.45,1.0,1.0,1.0,57.0,128.0,0.445,0.45299999999999996,34.0,67.0,0.507,49.0,101.0,150.0,19.0,23.0,56.0,27.0,100.0,151.0
14061,14061,1999.0,John Crotty,PG,29.0,POR,3.0,0.0,19.0,37.0,0.644,0.125,0.375,0.0,5.9,3.0,51.9,5.7,0.0,0.0,22.4,,0.2,0.0,0.2,0.521,,10.9,-1.8,9.1,0.1,4.0,8.0,0.5,1.0,1.0,1.0,3.0,7.0,0.429,0.563,3.0,3.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,1.0,12.0
14131,14131,1999.0,Brian Grant,PF,26.0,POR,48.0,46.0,1525.0,17.0,0.5710000000000001,0.0,0.5920000000000001,13.6,21.7,17.8,7.4,0.7,1.7,16.6,17.3,,3.4,2.5,5.9,0.185,,0.6,1.3,1.9,1.5,183.0,382.0,0.479,0.0,0.0,,183.0,382.0,0.479,0.479,184.0,226.0,0.8140000000000001,173.0,297.0,470.0,67.0,21.0,34.0,96.0,136.0,550.0
14132,14132,1999.0,Gary Grant,PG,33.0,POR,2.0,0.0,7.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,59.7,7.7,0.0,0.0,6.5,,0.0,0.0,0.0,0.149,,-7.2,-7.7,-14.8,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
14180,14180,1999.0,Jim Jackson,SG,28.0,POR,49.0,9.0,1175.0,13.1,0.499,0.243,0.273,3.7,11.7,7.8,18.5,2.0,0.4,16.5,19.3,,0.9,1.6,2.5,0.10099999999999999,,-0.5,0.6,0.1,0.6,152.0,370.0,0.41100000000000003,25.0,90.0,0.278,127.0,280.0,0.45399999999999996,0.445,85.0,101.0,0.8420000000000001,36.0,123.0,159.0,128.0,43.0,6.0,82.0,80.0,414.0
14291,14291,1999.0,Jermaine O'Neal,PF,20.0,POR,36.0,1.0,311.0,13.6,0.457,0.012,0.42200000000000004,16.2,19.7,18.0,6.9,0.7,3.4,12.5,16.5,,0.3,0.5,0.8,0.125,,-2.1,1.0,-1.2,0.1,36.0,83.0,0.434,0.0,1.0,0.0,36.0,82.0,0.439,0.434,18.0,35.0,0.514,42.0,55.0,97.0,13.0,4.0,14.0,14.0,41.0,90.0
14348,14348,1999.0,Isaiah Rider,SG,27.0,POR,47.0,41.0,1385.0,13.7,0.486,0.183,0.243,5.1,11.0,8.2,14.0,1.0,0.5,12.4,25.3,,1.0,1.5,2.5,0.086,,-0.4,-1.0,-1.4,0.2,249.0,605.0,0.41200000000000003,42.0,111.0,0.37799999999999995,207.0,494.0,0.419,0.446,111.0,147.0,0.755,59.0,137.0,196.0,104.0,25.0,9.0,95.0,100.0,651.0
14358,14358,1999.0,Carlos Rogers,PF,27.0,POR,2.0,0.0,8.0,23.3,0.665,0.0,2.0,0.0,13.9,7.2,26.7,0.0,0.0,0.0,21.5,,0.0,0.0,0.0,0.259,,5.6,-3.4,2.3,0.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,4.0,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0
