,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22919,22919,2015.0,Sim Bhullar,C,22.0,SAC,3.0,0.0,3.0,44.3,0.5,0.0,0.0,0.0,36.5,18.9,78.5,0.0,26.3,0.0,29.4,,0.0,0.0,0.0,0.389,,9.4,17.1,26.6,0.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
22969,22969,2015.0,Omri Casspi,SF,26.0,SAC,67.0,19.0,1416.0,14.4,0.58,0.204,0.447,4.5,15.9,10.4,11.8,1.1,0.5,14.7,18.7,,2.0,0.6,2.7,0.091,,0.0,-1.3,-1.3,0.3,209.0,427.0,0.489,35.0,87.0,0.402,174.0,340.0,0.512,0.53,140.0,191.0,0.733,54.0,206.0,260.0,102.0,31.0,9.0,88.0,107.0,593.0
22984,22984,2015.0,Darren Collison,PG,27.0,SAC,45.0,45.0,1565.0,17.5,0.575,0.293,0.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,,3.0,0.8,3.8,0.11599999999999999,,2.8,-1.3,1.5,1.4,260.0,550.0,0.473,60.0,161.0,0.373,200.0,389.0,0.514,0.527,145.0,184.0,0.7879999999999999,19.0,124.0,143.0,252.0,67.0,14.0,112.0,95.0,725.0
22990,22990,2015.0,DeMarcus Cousins,C,24.0,SAC,59.0,59.0,2013.0,25.2,0.545,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4.0,16.3,34.1,,2.8,3.2,6.0,0.14400000000000002,,1.4,3.3,4.7,3.4,498.0,1066.0,0.467,2.0,8.0,0.25,496.0,1058.0,0.469,0.46799999999999997,423.0,541.0,0.782,185.0,562.0,747.0,210.0,90.0,103.0,254.0,241.0,1421.0
23049,23049,2015.0,Reggie Evans,PF,34.0,SAC,47.0,7.0,764.0,11.7,0.49,0.015,0.708,14.9,29.0,22.2,6.1,1.4,0.5,20.0,13.0,,0.4,0.8,1.2,0.07400000000000001,,-2.7,0.0,-2.7,-0.1,58.0,137.0,0.423,0.0,2.0,0.0,58.0,135.0,0.43,0.423,60.0,97.0,0.619,97.0,202.0,299.0,32.0,22.0,5.0,45.0,91.0,176.0
23075,23075,2015.0,Rudy Gay,SF,28.0,SAC,68.0,67.0,2408.0,19.7,0.556,0.19699999999999998,0.35200000000000004,4.8,13.7,9.4,19.0,1.5,1.3,12.4,27.0,,4.8,1.3,6.1,0.122,,2.8,-0.7,2.1,2.5,508.0,1116.0,0.455,79.0,220.0,0.359,429.0,896.0,0.479,0.491,337.0,393.0,0.858,98.0,301.0,399.0,250.0,71.0,41.0,183.0,157.0,1432.0
23137,23137,2015.0,Ryan Hollins,C,30.0,SAC,46.0,9.0,441.0,13.1,0.648,0.0,0.659,9.6,16.6,13.2,5.0,0.7,3.4,19.1,13.1,,0.7,0.3,1.0,0.10400000000000001,,-1.4,0.0,-1.4,0.1,53.0,82.0,0.6459999999999999,0.0,0.0,,53.0,82.0,0.6459999999999999,0.6459999999999999,31.0,54.0,0.574,36.0,67.0,103.0,14.0,6.0,19.0,25.0,65.0,137.0
23200,23200,2015.0,Carl Landry,PF,31.0,SAC,70.0,15.0,1192.0,14.9,0.578,0.0,0.40700000000000003,9.8,15.5,12.8,3.6,0.6,1.1,11.0,18.1,,2.3,0.5,2.8,0.11199999999999999,,-1.0,-2.6,-3.6,-0.5,190.0,369.0,0.515,0.0,0.0,,190.0,369.0,0.515,0.515,123.0,150.0,0.82,99.0,169.0,268.0,26.0,15.0,17.0,54.0,132.0,503.0
23237,23237,2015.0,Ray McCallum,PG,23.0,SAC,68.0,30.0,1436.0,12.5,0.496,0.23600000000000002,0.179,4.3,9.8,7.1,21.3,1.6,0.6,14.4,18.2,,0.8,0.5,1.4,0.045,,-0.4,-1.3,-1.7,0.1,206.0,470.0,0.43799999999999994,34.0,111.0,0.306,172.0,359.0,0.479,0.474,57.0,84.0,0.679,52.0,128.0,180.0,188.0,45.0,11.0,85.0,92.0,503.0
23247,23247,2015.0,Ben McLemore,SG,21.0,SAC,82.0,82.0,2670.0,10.4,0.552,0.47100000000000003,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,,1.7,0.8,2.5,0.045,,0.4,-1.3,-0.8,0.8,363.0,831.0,0.43700000000000006,140.0,391.0,0.358,223.0,440.0,0.507,0.521,130.0,160.0,0.813,31.0,210.0,241.0,140.0,77.0,19.0,138.0,219.0,996.0
23256,23256,2015.0,Andre Miller,PG,38.0,SAC,30.0,0.0,622.0,12.3,0.522,0.17600000000000002,0.257,3.0,10.6,6.9,34.9,1.5,0.5,26.0,15.8,,0.3,0.2,0.6,0.043,,-1.4,-2.0,-3.4,-0.2,68.0,148.0,0.45899999999999996,6.0,26.0,0.231,62.0,122.0,0.508,0.48,30.0,38.0,0.789,16.0,60.0,76.0,141.0,18.0,4.0,58.0,47.0,172.0
