,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20519,20519,2011.0,James Anderson,SF,21.0,SAS,26.0,2.0,286.0,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,,0.1,0.2,0.3,0.051,,-1.9,-1.5,-3.4,-0.1,31.0,81.0,0.38299999999999995,18.0,46.0,0.391,13.0,35.0,0.371,0.494,14.0,18.0,0.778,2.0,21.0,23.0,18.0,3.0,6.0,13.0,24.0,94.0
20573,20573,2011.0,DeJuan Blair,PF,21.0,SAS,81.0,65.0,1734.0,17.1,0.524,0.003,0.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,,1.5,3.2,4.8,0.132,,-1.1,2.2,1.1,1.3,292.0,583.0,0.501,0.0,2.0,0.0,292.0,581.0,0.503,0.501,90.0,137.0,0.657,215.0,350.0,565.0,77.0,95.0,42.0,113.0,213.0,674.0
20579,20579,2011.0,Matt Bonner,PF,30.0,SAS,66.0,1.0,1432.0,13.5,0.617,0.62,0.11599999999999999,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,,3.0,1.4,4.4,0.147,,2.1,-0.1,2.0,1.5,172.0,371.0,0.46399999999999997,105.0,230.0,0.457,67.0,141.0,0.475,0.605,32.0,43.0,0.7440000000000001,60.0,179.0,239.0,60.0,26.0,21.0,27.0,110.0,481.0
20681,20681,2011.0,Tim Duncan,C,34.0,SAS,76.0,76.0,2156.0,21.9,0.537,0.005,0.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,,3.7,4.0,7.7,0.171,,-0.1,3.9,3.8,3.2,419.0,838.0,0.5,0.0,4.0,0.0,419.0,834.0,0.502,0.5,184.0,257.0,0.716,169.0,509.0,678.0,203.0,50.0,146.0,122.0,119.0,1022.0
20734,20734,2011.0,Alonzo Gee,SG,23.0,SAS,5.0,0.0,18.0,-2.1,0.33299999999999996,0.0,0.0,13.2,6.3,9.7,0.0,0.0,7.9,50.0,15.3,,-0.1,0.0,-0.1,-0.175,,-12.1,1.4,-10.6,0.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,2.0,3.0,3.0,2.0
20740,20740,2011.0,Manu Ginobili,SG,33.0,SAS,80.0,79.0,2426.0,21.7,0.581,0.433,0.40299999999999997,2.1,11.8,7.1,26.4,2.6,0.8,12.7,26.0,,6.6,3.2,9.9,0.195,,4.9,0.4,5.3,4.5,441.0,1018.0,0.433,154.0,441.0,0.349,287.0,577.0,0.49700000000000005,0.509,357.0,410.0,0.871,42.0,253.0,295.0,393.0,123.0,28.0,174.0,163.0,1393.0
20752,20752,2011.0,Danny Green,SG,23.0,SAS,8.0,0.0,92.0,13.2,0.586,0.5429999999999999,0.0,3.9,14.8,9.5,3.6,1.1,0.8,12.5,20.0,,0.0,0.1,0.1,0.076,,-0.7,-2.3,-3.0,0.0,17.0,35.0,0.486,7.0,19.0,0.368,10.0,16.0,0.625,0.586,0.0,0.0,,3.0,12.0,15.0,2.0,2.0,1.0,5.0,7.0,41.0
20785,20785,2011.0,George Hill,PG,24.0,SAS,76.0,5.0,2148.0,14.6,0.588,0.322,0.42700000000000005,1.3,9.2,5.4,13.6,1.6,0.7,11.6,18.2,,4.0,2.1,6.1,0.136,,1.1,-0.1,1.1,1.7,287.0,633.0,0.45299999999999996,77.0,204.0,0.377,210.0,429.0,0.49,0.514,233.0,270.0,0.863,24.0,175.0,199.0,193.0,66.0,21.0,99.0,153.0,884.0
20815,20815,2011.0,Othyus Jeffers,SG,25.0,SAS,1.0,0.0,8.0,-0.5,0.33299999999999996,0.0,0.0,0.0,28.4,14.5,18.6,0.0,0.0,25.0,23.0,,0.0,0.0,0.0,-0.183,,-12.4,-0.6,-13.0,0.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0
20818,20818,2011.0,Richard Jefferson,SF,30.0,SAS,81.0,81.0,2459.0,12.4,0.612,0.478,0.304,2.6,11.8,7.3,6.5,0.8,1.0,11.3,15.4,,3.7,2.1,5.9,0.115,,1.1,0.0,1.2,2.0,304.0,642.0,0.474,135.0,307.0,0.44,169.0,335.0,0.504,0.579,148.0,195.0,0.759,54.0,256.0,310.0,107.0,38.0,34.0,93.0,164.0,891.0
20889,20889,2011.0,Antonio McDyess,PF,36.0,SAS,73.0,16.0,1387.0,12.8,0.516,0.003,0.22399999999999998,10.5,22.3,16.5,9.0,1.3,2.0,16.0,14.9,,1.0,2.1,3.0,0.105,,-2.2,2.2,0.0,0.7,169.0,344.0,0.491,0.0,1.0,0.0,169.0,343.0,0.493,0.491,52.0,77.0,0.675,122.0,273.0,395.0,84.0,36.0,39.0,72.0,163.0,390.0
20922,20922,2011.0,Gary Neal,SG,26.0,SAS,80.0,1.0,1685.0,13.1,0.578,0.48700000000000004,0.165,1.5,11.8,6.8,9.1,0.8,0.2,10.3,20.6,,2.1,1.4,3.5,0.099,,0.9,-1.9,-1.1,0.4,285.0,632.0,0.451,129.0,308.0,0.419,156.0,324.0,0.48100000000000004,0.5529999999999999,84.0,104.0,0.8079999999999999,21.0,175.0,196.0,96.0,27.0,4.0,78.0,148.0,783.0
20928,20928,2011.0,Steve Novak,SF,27.0,SAS,23.0,0.0,197.0,17.7,0.7440000000000001,0.7120000000000001,0.136,2.4,10.9,6.8,2.4,0.3,1.8,6.0,15.5,,0.6,0.2,0.8,0.195,,3.5,-2.5,1.0,0.2,31.0,59.0,0.525,23.0,42.0,0.5479999999999999,8.0,17.0,0.47100000000000003,0.72,8.0,8.0,1.0,4.0,19.0,23.0,3.0,1.0,5.0,4.0,11.0,93.0
20938,20938,2011.0,Larry Owens,SF,28.0,SAS,7.0,0.0,31.0,11.9,0.58,0.5,0.667,0.0,14.6,7.5,4.6,3.4,0.0,0.0,11.5,,0.0,0.0,0.1,0.151,,-0.3,0.8,0.5,0.0,3.0,6.0,0.5,1.0,3.0,0.33299999999999996,2.0,3.0,0.667,0.583,2.0,4.0,0.5,0.0,4.0,4.0,1.0,2.0,0.0,0.0,4.0,9.0
20942,20942,2011.0,Tony Parker,PG,28.0,SAS,78.0,78.0,2528.0,20.4,0.569,0.065,0.28300000000000003,1.4,9.3,5.5,35.2,1.9,0.1,14.3,25.5,,5.8,2.4,8.2,0.156,,2.5,-0.8,1.7,2.4,555.0,1069.0,0.519,25.0,70.0,0.35700000000000004,530.0,999.0,0.531,0.531,233.0,303.0,0.769,30.0,208.0,238.0,513.0,90.0,3.0,200.0,135.0,1368.0
20972,20972,2011.0,Chris Quinn,PG,27.0,SAS,41.0,0.0,292.0,7.5,0.428,0.40700000000000003,0.08800000000000001,1.2,8.5,5.0,21.1,0.9,0.2,11.3,16.8,,-0.1,0.2,0.1,0.024,,-3.0,-2.3,-5.3,-0.2,33.0,91.0,0.363,11.0,37.0,0.297,22.0,54.0,0.40700000000000003,0.423,4.0,8.0,0.5,3.0,22.0,25.0,42.0,5.0,1.0,12.0,29.0,81.0
21005,21005,2011.0,Bobby Simmons,SF,30.0,SAS,2.0,0.0,16.0,-5.5,0.0,1.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,8.6,,0.0,0.0,0.0,-0.138,,-8.6,-5.6,-14.3,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
21019,21019,2011.0,Tiago Splitter,C,26.0,SAS,60.0,6.0,738.0,16.0,0.55,0.005,0.733,11.6,19.8,15.8,5.3,2.0,1.6,11.2,17.7,,1.1,1.1,2.3,0.149,,-1.4,0.7,-0.7,0.2,101.0,191.0,0.529,0.0,1.0,0.0,101.0,190.0,0.532,0.529,76.0,140.0,0.5429999999999999,72.0,129.0,201.0,26.0,29.0,17.0,32.0,91.0,278.0
21037,21037,2011.0,Garrett Temple,SG,24.0,SAS,3.0,0.0,21.0,0.6,0.17,0.2,0.4,5.7,5.4,5.5,12.7,2.5,3.4,14.5,15.1,,-0.1,0.0,-0.1,-0.135,,-8.6,2.1,-6.6,0.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
21061,21061,2011.0,Ime Udoka,SF,33.0,SAS,20.0,0.0,130.0,5.3,0.285,0.381,0.381,4.6,12.2,8.5,13.2,3.2,0.5,16.9,10.4,,-0.2,0.2,0.0,0.008,,-4.5,2.5,-2.0,0.0,5.0,21.0,0.23800000000000002,0.0,8.0,0.0,5.0,13.0,0.385,0.23800000000000002,4.0,8.0,0.5,5.0,14.0,19.0,13.0,8.0,1.0,5.0,14.0,14.0
