,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18779,18779,2008.0,Andrea Bargnani,PF,22.0,TOR,78.0,53.0,1861.0,10.6,0.495,0.36,0.233,3.2,15.2,9.2,7.4,0.7,1.6,9.9,22.5,,-0.3,1.6,1.4,0.036000000000000004,,-1.9,-1.2,-3.0,-0.5,280.0,725.0,0.386,90.0,261.0,0.345,190.0,464.0,0.409,0.44799999999999995,142.0,169.0,0.84,50.0,238.0,288.0,89.0,23.0,37.0,88.0,211.0,792.0
18785,18785,2008.0,Maceo Baston,PF,32.0,TOR,15.0,2.0,103.0,17.6,0.6970000000000001,0.0,0.4,10.3,19.7,14.9,4.6,1.0,3.2,12.0,15.3,,0.3,0.1,0.4,0.201,,0.4,0.4,0.8,0.1,17.0,25.0,0.68,0.0,0.0,,17.0,25.0,0.68,0.68,7.0,10.0,0.7,9.0,17.0,26.0,3.0,2.0,4.0,4.0,20.0,41.0
18804,18804,2008.0,Chris Bosh,C,23.0,TOR,67.0,67.0,2425.0,23.8,0.588,0.024,0.544,8.4,20.1,14.2,12.1,1.4,2.2,10.7,27.7,,7.0,3.1,10.1,0.2,,2.7,1.0,3.7,3.5,507.0,1027.0,0.494,10.0,25.0,0.4,497.0,1002.0,0.496,0.499,472.0,559.0,0.8440000000000001,174.0,409.0,583.0,171.0,63.0,67.0,153.0,157.0,1496.0
18814,18814,2008.0,Primoz Brezec,C,28.0,TOR,13.0,0.0,110.0,10.2,0.508,0.0,0.5529999999999999,9.6,9.8,9.7,1.4,0.5,1.5,7.8,22.0,,0.1,0.1,0.2,0.07200000000000001,,-3.6,-3.7,-7.2,-0.1,17.0,38.0,0.447,0.0,0.0,,17.0,38.0,0.447,0.447,14.0,21.0,0.667,9.0,9.0,18.0,1.0,1.0,2.0,4.0,25.0,48.0
18830,18830,2008.0,Jose Calderon,PG,26.0,TOR,82.0,56.0,2484.0,20.5,0.607,0.26,0.17,1.6,9.7,5.6,42.3,1.9,0.2,14.2,16.8,,8.1,2.2,10.2,0.19699999999999998,,4.0,-1.5,2.6,2.9,367.0,707.0,0.519,79.0,184.0,0.429,288.0,523.0,0.551,0.575,109.0,120.0,0.9079999999999999,34.0,202.0,236.0,678.0,87.0,6.0,126.0,134.0,922.0
18869,18869,2008.0,Carlos Delfino,SG,25.0,TOR,82.0,0.0,1928.0,13.6,0.527,0.49700000000000005,0.247,4.0,18.1,11.0,11.3,1.9,0.5,9.7,19.0,,1.7,2.3,4.0,0.1,,0.9,0.4,1.3,1.6,251.0,632.0,0.397,120.0,314.0,0.382,131.0,318.0,0.41200000000000003,0.49200000000000005,116.0,156.0,0.7440000000000001,66.0,293.0,359.0,145.0,69.0,11.0,75.0,177.0,738.0
18882,18882,2008.0,Juan Dixon,PG,29.0,TOR,36.0,0.0,424.0,10.7,0.45399999999999996,0.244,0.11900000000000001,2.5,10.7,6.6,23.4,2.6,0.4,17.2,22.6,,-0.5,0.5,0.0,0.002,,-2.8,-0.3,-3.2,-0.1,59.0,160.0,0.369,17.0,39.0,0.436,42.0,121.0,0.34700000000000003,0.42200000000000004,18.0,19.0,0.9470000000000001,9.0,38.0,47.0,65.0,21.0,2.0,35.0,38.0,153.0
18912,18912,2008.0,T.J. Ford,PG,24.0,TOR,51.0,26.0,1199.0,20.3,0.5329999999999999,0.09699999999999999,0.239,2.3,7.7,4.9,44.4,2.4,0.0,15.0,26.8,,2.1,1.1,3.3,0.13,,2.7,-1.7,0.9,0.9,246.0,524.0,0.469,15.0,51.0,0.294,231.0,473.0,0.488,0.484,110.0,125.0,0.88,23.0,77.0,100.0,313.0,54.0,0.0,102.0,93.0,617.0
18920,18920,2008.0,Jorge Garbajosa,PF,30.0,TOR,7.0,0.0,74.0,10.4,0.44,0.64,0.0,3.2,20.9,12.0,5.9,2.2,0.0,3.8,16.6,,0.0,0.1,0.1,0.047,,-1.9,-0.8,-2.7,0.0,8.0,25.0,0.32,6.0,16.0,0.375,2.0,9.0,0.222,0.44,0.0,0.0,,2.0,13.0,15.0,3.0,3.0,0.0,1.0,2.0,22.0
18946,18946,2008.0,Joey Graham,SF,25.0,TOR,38.0,3.0,331.0,10.3,0.52,0.027000000000000003,0.39799999999999996,6.4,17.7,12.0,7.0,0.5,0.0,14.8,22.2,,0.0,0.3,0.3,0.04,,-4.3,-2.3,-6.6,-0.4,49.0,113.0,0.434,2.0,3.0,0.667,47.0,110.0,0.42700000000000005,0.442,38.0,45.0,0.8440000000000001,18.0,49.0,67.0,15.0,3.0,0.0,23.0,47.0,138.0
