,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18235,18235,2007.0,Lou Amundson,PF,24.0,UTA,1.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.004,,-5.3,0.2,-5.1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18240,18240,2007.0,Rafael Araujo,C,26.0,UTA,28.0,0.0,248.0,8.3,0.46299999999999997,0.0,0.446,10.8,21.5,16.2,6.1,1.3,0.7,17.9,17.1,,-0.1,0.3,0.1,0.027000000000000003,,-4.5,-0.7,-5.2,-0.2,27.0,65.0,0.415,0.0,0.0,,27.0,65.0,0.415,0.415,18.0,29.0,0.621,22.0,44.0,66.0,10.0,6.0,2.0,17.0,39.0,72.0
18279,18279,2007.0,Carlos Boozer,PF,25.0,UTA,74.0,74.0,2557.0,24.1,0.588,0.0,0.322,11.2,29.9,20.6,16.6,1.4,0.7,12.8,26.5,,6.5,3.4,9.9,0.185,,3.4,1.2,4.6,4.3,647.0,1154.0,0.561,0.0,0.0,,647.0,1154.0,0.561,0.561,255.0,372.0,0.685,235.0,632.0,867.0,221.0,70.0,21.0,194.0,217.0,1549.0
18287,18287,2007.0,Ronnie Brewer,SG,21.0,UTA,56.0,14.0,675.0,15.2,0.5660000000000001,0.047,0.43,6.7,6.8,6.7,5.7,2.9,0.7,9.5,16.8,,1.1,0.7,1.7,0.124,,0.1,-0.2,-0.2,0.3,102.0,193.0,0.528,0.0,9.0,0.0,102.0,184.0,0.5539999999999999,0.528,56.0,83.0,0.675,37.0,38.0,75.0,24.0,37.0,6.0,24.0,44.0,260.0
18290,18290,2007.0,Dee Brown,PG,22.0,UTA,49.0,0.0,450.0,8.6,0.41100000000000003,0.28600000000000003,0.37799999999999995,2.2,8.6,5.4,26.2,2.6,1.3,21.3,14.5,,-0.2,0.5,0.2,0.024,,-3.4,-0.3,-3.7,-0.2,32.0,98.0,0.327,6.0,28.0,0.214,26.0,70.0,0.371,0.35700000000000004,24.0,37.0,0.649,8.0,32.0,40.0,83.0,22.0,7.0,31.0,51.0,94.0
18315,18315,2007.0,Jarron Collins,C,28.0,UTA,82.0,9.0,913.0,8.0,0.494,0.0,0.488,9.5,13.3,11.4,9.5,0.7,0.7,15.2,12.0,,0.7,0.6,1.3,0.067,,-2.0,-0.2,-2.2,-0.1,75.0,170.0,0.441,0.0,0.0,,75.0,170.0,0.441,0.441,54.0,83.0,0.6509999999999999,71.0,100.0,171.0,60.0,13.0,8.0,37.0,147.0,204.0
18368,18368,2007.0,Derek Fisher,SG,32.0,UTA,82.0,61.0,2287.0,11.4,0.51,0.231,0.455,1.6,6.3,4.0,18.1,1.9,0.2,12.9,18.2,,2.4,1.5,3.9,0.083,,-0.4,-1.3,-1.6,0.2,258.0,675.0,0.382,48.0,156.0,0.308,210.0,519.0,0.405,0.418,262.0,307.0,0.853,30.0,119.0,149.0,274.0,83.0,6.0,120.0,234.0,826.0
18388,18388,2007.0,Gordan Giricek,SG,29.0,UTA,61.0,6.0,1188.0,11.3,0.5660000000000001,0.32,0.228,2.5,10.7,6.6,8.5,1.2,0.3,13.2,18.2,,1.1,0.8,1.9,0.076,,-0.4,-1.7,-2.0,0.0,176.0,381.0,0.462,52.0,122.0,0.426,124.0,259.0,0.479,0.53,71.0,87.0,0.816,24.0,105.0,129.0,63.0,28.0,5.0,64.0,122.0,475.0
18404,18404,2007.0,Matt Harpring,SF,30.0,UTA,77.0,2.0,1965.0,14.7,0.564,0.059000000000000004,0.47100000000000003,7.3,14.6,10.9,8.2,1.4,0.5,13.0,20.8,,3.1,1.6,4.7,0.115,,0.0,-0.8,-0.8,0.6,322.0,656.0,0.491,13.0,39.0,0.33299999999999996,309.0,617.0,0.501,0.501,237.0,309.0,0.767,117.0,236.0,353.0,99.0,52.0,11.0,118.0,232.0,894.0
18496,18496,2007.0,Andrei Kirilenko,SF,25.0,UTA,70.0,70.0,2049.0,14.3,0.5579999999999999,0.179,0.5720000000000001,5.2,14.3,9.8,14.5,1.9,5.8,20.5,14.4,,1.6,2.9,4.4,0.10400000000000001,,-0.5,4.4,4.0,3.1,197.0,418.0,0.47100000000000003,16.0,75.0,0.213,181.0,343.0,0.528,0.49,174.0,239.0,0.728,88.0,241.0,329.0,202.0,74.0,144.0,135.0,172.0,584.0
