,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21703,21703,2013.0,Trevor Ariza,SF,27.0,WAS,56.0,15.0,1471.0,14.0,0.5379999999999999,0.46299999999999997,0.21100000000000002,3.3,16.9,10.0,12.7,2.5,1.1,14.6,17.9,,0.7,2.4,3.1,0.102,,-0.4,1.9,1.5,1.3,188.0,451.0,0.41700000000000004,76.0,209.0,0.364,112.0,242.0,0.46299999999999997,0.501,78.0,95.0,0.821,44.0,222.0,266.0,113.0,72.0,20.0,84.0,72.0,530.0
21718,21718,2013.0,Earl Barron,C,31.0,WAS,11.0,1.0,122.0,6.9,0.35700000000000004,0.0,0.135,14.4,24.7,19.5,3.9,2.1,3.2,20.3,18.4,,-0.3,0.3,-0.1,-0.025,,-8.4,1.6,-6.8,-0.1,13.0,37.0,0.35100000000000003,0.0,0.0,,13.0,37.0,0.35100000000000003,0.35100000000000003,2.0,5.0,0.4,16.0,27.0,43.0,3.0,5.0,5.0,10.0,23.0,28.0
21727,21727,2013.0,Bradley Beal,SG,19.0,WAS,56.0,46.0,1745.0,13.6,0.515,0.344,0.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,,1.0,2.0,3.0,0.08199999999999999,,0.0,0.0,-0.1,0.9,282.0,687.0,0.41,91.0,236.0,0.386,191.0,451.0,0.424,0.47700000000000004,125.0,159.0,0.7859999999999999,43.0,168.0,211.0,137.0,50.0,29.0,90.0,113.0,780.0
21742,21742,2013.0,Trevor Booker,PF,25.0,WAS,48.0,14.0,887.0,13.9,0.509,0.023,0.327,12.2,17.8,14.9,7.4,1.9,1.4,11.0,14.5,,0.9,1.4,2.3,0.126,,-1.7,1.8,0.1,0.5,108.0,220.0,0.491,0.0,5.0,0.0,108.0,215.0,0.502,0.491,40.0,72.0,0.556,98.0,141.0,239.0,40.0,32.0,16.0,31.0,95.0,256.0
21780,21780,2013.0,Jason Collins,C,34.0,WAS,6.0,2.0,54.0,2.9,0.29100000000000004,0.0,0.33299999999999996,2.0,14.5,8.2,5.2,1.9,5.9,22.5,7.5,,-0.1,0.1,0.0,0.016,,-8.4,5.3,-3.1,0.0,1.0,6.0,0.16699999999999998,0.0,0.0,,1.0,6.0,0.16699999999999998,0.16699999999999998,2.0,2.0,1.0,1.0,7.0,8.0,2.0,2.0,4.0,2.0,11.0,4.0
21792,21792,2013.0,Jordan Crawford,SG,24.0,WAS,43.0,12.0,1127.0,14.7,0.512,0.337,0.209,3.0,10.3,6.6,25.5,1.2,0.4,14.9,26.4,,0.2,1.1,1.4,0.057999999999999996,,0.5,-1.4,-0.9,0.3,211.0,508.0,0.415,59.0,171.0,0.345,152.0,337.0,0.451,0.473,87.0,106.0,0.821,31.0,104.0,135.0,157.0,27.0,5.0,97.0,61.0,568.0
21909,21909,2013.0,Nene Hilario,PF,30.0,WAS,61.0,49.0,1659.0,17.0,0.5379999999999999,0.002,0.45299999999999996,6.7,20.6,13.6,19.0,1.7,1.8,16.3,23.4,,1.3,2.7,4.0,0.11599999999999999,,-1.1,2.3,1.3,1.4,285.0,594.0,0.48,0.0,1.0,0.0,285.0,593.0,0.48100000000000004,0.48,196.0,269.0,0.7290000000000001,101.0,306.0,407.0,177.0,55.0,37.0,139.0,171.0,766.0
21998,21998,2013.0,Shaun Livingston,PG,27.0,WAS,17.0,4.0,320.0,7.4,0.434,0.045,0.22699999999999998,0.7,12.2,6.4,18.1,1.8,0.5,19.0,12.8,,-0.2,0.4,0.2,0.027999999999999997,,-5.5,1.0,-4.5,-0.2,24.0,66.0,0.364,0.0,3.0,0.0,24.0,63.0,0.381,0.364,15.0,15.0,1.0,2.0,35.0,37.0,38.0,11.0,2.0,17.0,22.0,63.0
22007,22007,2013.0,Shelvin Mack,PG,22.0,WAS,7.0,2.0,141.0,10.4,0.45299999999999996,0.325,0.05,2.3,10.3,6.3,26.3,2.2,0.0,16.4,15.8,,0.0,0.2,0.2,0.052000000000000005,,-2.6,-0.4,-3.0,0.0,16.0,40.0,0.4,4.0,13.0,0.308,12.0,27.0,0.444,0.45,1.0,2.0,0.5,3.0,13.0,16.0,23.0,6.0,0.0,8.0,10.0,37.0
22014,22014,2013.0,Cartier Martin,SF,28.0,WAS,41.0,3.0,694.0,9.7,0.511,0.579,0.111,1.7,14.3,8.0,4.8,1.4,0.7,10.8,19.5,,-0.2,0.9,0.7,0.047,,-2.2,-1.4,-3.6,-0.3,96.0,252.0,0.381,58.0,146.0,0.397,38.0,106.0,0.358,0.496,20.0,28.0,0.7140000000000001,11.0,89.0,100.0,20.0,19.0,6.0,32.0,58.0,270.0
22072,22072,2013.0,Emeka Okafor,C,30.0,WAS,79.0,77.0,2052.0,15.8,0.496,0.0,0.278,10.7,26.8,18.7,7.9,1.1,3.0,12.2,19.5,,0.7,3.7,4.5,0.10400000000000001,,-3.2,2.0,-1.1,0.5,328.0,687.0,0.47700000000000004,0.0,0.0,,328.0,687.0,0.47700000000000004,0.47700000000000004,109.0,191.0,0.5710000000000001,199.0,493.0,692.0,93.0,45.0,77.0,107.0,145.0,765.0
22077,22077,2013.0,Jannero Pargo,PG,33.0,WAS,7.0,0.0,102.0,0.2,0.319,0.625,0.063,0.0,6.6,3.3,21.0,0.0,0.8,19.6,18.3,,-0.3,0.1,-0.3,-0.129,,-7.4,-3.3,-10.8,-0.2,8.0,32.0,0.25,3.0,20.0,0.15,5.0,12.0,0.41700000000000004,0.297,2.0,2.0,1.0,0.0,6.0,6.0,14.0,0.0,1.0,8.0,8.0,21.0
22100,22100,2013.0,A.J. Price,PG,26.0,WAS,57.0,22.0,1278.0,12.4,0.501,0.484,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18.0,,1.0,1.2,2.2,0.084,,-0.1,-1.7,-1.8,0.1,161.0,413.0,0.39,70.0,200.0,0.35,91.0,213.0,0.42700000000000005,0.475,49.0,62.0,0.79,20.0,94.0,114.0,205.0,33.0,3.0,64.0,73.0,441.0
22137,22137,2013.0,Kevin Seraphin,C,23.0,WAS,79.0,8.0,1721.0,10.3,0.478,0.0,0.12300000000000001,6.8,15.5,11.1,6.1,0.7,2.7,14.7,23.5,,-2.1,2.2,0.1,0.004,,-5.6,-0.1,-5.7,-1.6,330.0,716.0,0.461,0.0,0.0,,330.0,716.0,0.461,0.461,61.0,88.0,0.693,107.0,239.0,346.0,57.0,24.0,59.0,130.0,211.0,721.0
22144,22144,2013.0,Chris Singleton,PF,23.0,WAS,57.0,11.0,924.0,7.8,0.425,0.149,0.29,6.1,16.1,11.0,6.3,2.1,2.1,14.2,15.7,,-1.0,1.5,0.5,0.027999999999999997,,-5.2,1.9,-3.3,-0.3,92.0,241.0,0.382,7.0,36.0,0.19399999999999998,85.0,205.0,0.415,0.396,40.0,70.0,0.5710000000000001,51.0,133.0,184.0,37.0,38.0,24.0,45.0,124.0,231.0
22177,22177,2013.0,Garrett Temple,SG,26.0,WAS,51.0,36.0,1156.0,8.8,0.478,0.31,0.14300000000000002,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,,-0.3,1.5,1.2,0.049,,-2.9,1.7,-1.2,0.2,105.0,258.0,0.40700000000000003,26.0,80.0,0.325,79.0,178.0,0.444,0.457,26.0,37.0,0.703,29.0,94.0,123.0,115.0,50.0,17.0,61.0,94.0,262.0
22210,22210,2013.0,Jan Vesely,PF,22.0,WAS,51.0,4.0,601.0,7.6,0.48,0.009000000000000001,0.342,7.9,14.7,11.3,7.3,1.3,2.2,17.1,12.0,,-0.1,0.8,0.7,0.059000000000000004,,-4.4,1.9,-2.5,-0.1,57.0,114.0,0.5,0.0,1.0,0.0,57.0,113.0,0.504,0.5,12.0,39.0,0.308,43.0,79.0,122.0,28.0,15.0,17.0,27.0,107.0,126.0
