State,Team,TeamAbr,StateAbr
Arizona,Phoenix Suns,PHX,AZ
California,Golden State Warriors,GSW,CA
California,Los Angeles Clippers,LAC,CA
California,Los Angeles Lakers,LAL,CA
California,Sacramento Kings,SAC,CA
Colorado,Denver Nuggets,DEN,CO
Florida,Miami Heat,MIA,FL
Florida,Orlando Magic,ORL,FL
Georgia,Atlanta Hawks,ATL,GA
Illinois,Chicago Bulls,CHI,IL
Indiana,Indiana Pacers,IND,IN
Louisiana,New Orleans Pelicans,NOP,LA
Massachusetts,Boston Celtics,BOS,MA
Michigan,Detroit Pistons,DET,MI
Minnesota,Minnesota Timberwolves,MIN
New York,Brooklyn Nets,BKN,NY
New York,New York Knicks,NYK,NY
North Carolina,Charlotte Hornets,CHA,NC
Ohio,Cleveland Cavaliers,CLE,OH
Oklahoma,Oklahoma City Thunder,OKC,OK
Oregon,Portland,Trail Blazers,POR,OR
Pennsylvania,Philadelphia 76ers,PHI,PA
Tennessee,Memphis Grizzlies,MEM,TN
Texas,Dallas Mavericks,DAL,TX
Texas,Houston Rockets,HOU,TX
Texas,San Antonio Spurs,SAS,TX
Utah,Utah Jazz,UTA,UT
Wisconsin,Milwaukee Bucks,MIL,WI
Washington DC,Washington Wizards,WAS,WA
