,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17705,17705,2006.0,Esteban Batista,PF,22.0,ATL,57.0,3.0,495.0,7.1,0.489,0.013000000000000001,0.6629999999999999,14.4,20.7,17.5,2.1,1.6,1.7,26.9,13.0,,-0.2,0.3,0.1,0.011000000000000001,,-4.9,-1.7,-6.6,-0.6,34.0,80.0,0.425,0.0,1.0,0.0,34.0,79.0,0.43,0.425,33.0,53.0,0.623,61.0,83.0,144.0,7.0,15.0,11.0,38.0,111.0,101.0
17765,17765,2006.0,Josh Childress,SF,22.0,ATL,74.0,10.0,2249.0,15.8,0.626,0.129,0.39899999999999997,7.0,13.9,10.3,9.4,2.0,1.3,14.6,14.0,,4.6,1.1,5.7,0.121,,1.4,0.1,1.5,2.0,278.0,504.0,0.552,32.0,65.0,0.49200000000000005,246.0,439.0,0.56,0.583,154.0,201.0,0.7659999999999999,134.0,253.0,387.0,131.0,86.0,39.0,101.0,184.0,742.0
17794,17794,2006.0,Tony Delk,SG,32.0,ATL,1.0,0.0,7.0,16.1,0.532,0.0,2.0,16.7,17.7,17.2,0.0,0.0,0.0,0.0,12.2,,0.0,0.0,0.0,0.171,,-2.4,-8.0,-10.4,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
17809,17809,2006.0,John Edwards,C,24.0,ATL,40.0,4.0,296.0,6.4,0.508,0.0,0.172,7.1,12.5,9.7,2.7,0.5,3.9,14.8,12.4,,0.1,0.1,0.2,0.026000000000000002,,-4.5,-1.4,-5.9,-0.3,31.0,64.0,0.484,0.0,0.0,,31.0,64.0,0.484,0.484,8.0,11.0,0.727,18.0,30.0,48.0,5.0,3.0,15.0,12.0,76.0,70.0
17867,17867,2006.0,Anthony Grundy,SG,26.0,ATL,12.0,0.0,108.0,16.6,0.589,0.395,0.368,1.1,18.3,9.5,14.7,3.4,0.0,16.9,22.4,,0.1,0.1,0.2,0.095,,0.1,-1.8,-1.7,0.0,19.0,38.0,0.5,5.0,15.0,0.33299999999999996,14.0,23.0,0.609,0.5660000000000001,9.0,14.0,0.643,1.0,16.0,17.0,9.0,7.0,0.0,9.0,14.0,52.0
17874,17874,2006.0,Al Harrington,PF,25.0,ATL,76.0,76.0,2782.0,16.0,0.513,0.157,0.287,5.5,17.4,11.3,15.8,1.6,0.4,12.4,25.6,,2.6,1.2,3.8,0.065,,0.5,-1.6,-1.1,0.6,551.0,1220.0,0.452,66.0,191.0,0.34600000000000003,485.0,1029.0,0.47100000000000003,0.479,243.0,350.0,0.6940000000000001,132.0,391.0,523.0,238.0,85.0,14.0,195.0,301.0,1411.0
17905,17905,2006.0,Royal Ivey,PG,24.0,ATL,73.0,66.0,978.0,8.4,0.467,0.038,0.125,3.7,8.2,5.9,12.2,1.3,0.5,7.6,14.0,,0.6,0.0,0.7,0.034,,-2.7,-2.5,-5.1,-0.8,116.0,264.0,0.439,4.0,10.0,0.4,112.0,254.0,0.441,0.447,24.0,33.0,0.727,31.0,65.0,96.0,74.0,24.0,7.0,23.0,147.0,260.0
17930,17930,2006.0,Joe Johnson,SG,24.0,ATL,82.0,82.0,3340.0,17.9,0.537,0.258,0.237,3.4,8.8,6.0,29.1,1.6,0.7,14.8,24.6,,5.5,0.4,6.0,0.086,,3.0,-2.4,0.7,2.2,632.0,1395.0,0.45299999999999996,128.0,360.0,0.35600000000000004,504.0,1035.0,0.48700000000000004,0.499,261.0,330.0,0.7909999999999999,98.0,237.0,335.0,536.0,103.0,31.0,267.0,187.0,1653.0
17965,17965,2006.0,Tyronn Lue,PG,28.0,ATL,51.0,10.0,1234.0,15.5,0.585,0.304,0.33,1.2,6.9,4.0,21.7,1.1,0.2,13.5,20.4,,2.8,-0.1,2.7,0.10400000000000001,,1.6,-4.4,-2.8,-0.3,192.0,418.0,0.45899999999999996,58.0,127.0,0.457,134.0,291.0,0.46,0.529,118.0,138.0,0.855,13.0,69.0,82.0,157.0,26.0,3.0,75.0,113.0,560.0
18043,18043,2006.0,Zaza Pachulia,C,21.0,ATL,78.0,78.0,2452.0,15.0,0.53,0.003,0.593,12.6,17.6,15.0,8.5,1.9,1.2,17.3,19.2,,2.5,1.4,3.9,0.077,,-0.6,-0.3,-0.9,0.7,307.0,681.0,0.451,0.0,2.0,0.0,307.0,679.0,0.452,0.451,297.0,404.0,0.735,264.0,349.0,613.0,129.0,89.0,39.0,180.0,286.0,911.0
