,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
5730,5730,1980.0,Tiny Archibald*,PG,31.0,BOS,80.0,80.0,2864.0,15.3,0.574,0.023,0.5479999999999999,2.3,5.3,3.8,30.2,1.7,0.2,19.7,17.0,,5.9,2.9,8.9,0.14800000000000002,,1.1,-1.1,0.0,1.5,383.0,794.0,0.48200000000000004,4.0,18.0,0.222,379.0,776.0,0.488,0.485,361.0,435.0,0.83,59.0,138.0,197.0,671.0,106.0,10.0,242.0,218.0,1131.0
5748,5748,1980.0,Larry Bird*,PF,23.0,BOS,82.0,82.0,2955.0,20.5,0.5379999999999999,0.098,0.24600000000000002,8.3,23.6,16.0,18.5,2.3,1.0,14.0,25.3,,5.6,5.6,11.2,0.182,,2.7,2.6,5.3,5.4,693.0,1463.0,0.474,58.0,143.0,0.406,635.0,1320.0,0.48100000000000004,0.494,301.0,360.0,0.836,216.0,636.0,852.0,370.0,143.0,53.0,263.0,279.0,1745.0
5781,5781,1980.0,M.L. Carr,SF,29.0,BOS,82.0,7.0,1994.0,14.6,0.526,0.054000000000000006,0.316,6.0,12.3,9.2,10.7,2.8,1.0,14.1,20.2,,1.9,3.2,5.2,0.125,,-0.2,1.5,1.3,1.7,362.0,763.0,0.474,12.0,41.0,0.293,350.0,722.0,0.485,0.48200000000000004,178.0,241.0,0.7390000000000001,106.0,224.0,330.0,156.0,120.0,36.0,143.0,214.0,914.0
5786,5786,1980.0,Don Chaney,SG,33.0,BOS,60.0,0.0,523.0,7.8,0.402,0.032,0.222,6.7,8.8,7.8,9.3,2.8,1.2,13.7,18.3,,-0.4,0.8,0.4,0.033,,-4.0,0.9,-3.1,-0.1,67.0,189.0,0.354,1.0,6.0,0.16699999999999998,66.0,183.0,0.361,0.35700000000000004,32.0,42.0,0.762,31.0,42.0,73.0,38.0,31.0,11.0,33.0,80.0,167.0
5802,5802,1980.0,Dave Cowens*,C,31.0,BOS,66.0,55.0,2159.0,14.8,0.47700000000000004,0.013000000000000001,0.131,6.6,20.7,13.8,13.4,1.5,1.6,9.9,20.1,,1.9,3.6,5.4,0.121,,-0.7,2.0,1.4,1.8,422.0,932.0,0.45299999999999996,1.0,12.0,0.083,421.0,920.0,0.45799999999999996,0.45299999999999996,95.0,122.0,0.779,126.0,408.0,534.0,206.0,69.0,61.0,108.0,216.0,940.0
5834,5834,1980.0,Eric Fernsten,PF,26.0,BOS,56.0,0.0,431.0,14.4,0.49700000000000005,0.0,0.34,10.5,14.3,12.4,8.7,1.8,1.6,10.2,18.1,,0.5,0.6,1.2,0.133,,-1.0,0.4,-0.6,0.2,71.0,153.0,0.46399999999999997,0.0,0.0,,71.0,153.0,0.46399999999999997,0.46399999999999997,33.0,52.0,0.635,40.0,56.0,96.0,28.0,17.0,12.0,20.0,43.0,175.0
5835,5835,1980.0,Chris Ford,SG,31.0,BOS,73.0,73.0,2115.0,13.0,0.537,0.231,0.161,4.1,5.4,4.8,13.5,2.5,0.7,12.2,16.2,,2.9,2.6,5.6,0.126,,1.4,0.8,2.2,2.2,330.0,709.0,0.465,70.0,164.0,0.42700000000000005,260.0,545.0,0.47700000000000004,0.515,86.0,114.0,0.754,77.0,104.0,181.0,215.0,111.0,27.0,105.0,178.0,816.0
5867,5867,1980.0,Gerald Henderson,PG,24.0,BOS,76.0,2.0,1061.0,12.7,0.539,0.016,0.33799999999999997,3.9,4.8,4.4,19.0,2.0,0.8,19.9,20.5,,0.5,1.2,1.7,0.078,,-1.5,-0.9,-2.4,-0.1,191.0,382.0,0.5,2.0,6.0,0.33299999999999996,189.0,376.0,0.503,0.503,89.0,129.0,0.69,37.0,46.0,83.0,147.0,45.0,15.0,109.0,96.0,473.0
5901,5901,1980.0,Jeff Judkins,SF,23.0,BOS,65.0,0.0,674.0,14.1,0.5670000000000001,0.098,0.275,5.4,5.5,5.4,9.9,2.0,0.4,13.7,21.1,,1.1,0.8,1.8,0.131,,0.2,-1.4,-1.3,0.1,139.0,276.0,0.504,11.0,27.0,0.40700000000000003,128.0,249.0,0.514,0.524,62.0,76.0,0.816,32.0,34.0,66.0,47.0,29.0,5.0,49.0,91.0,351.0
5949,5949,1980.0,Pete Maravich*,SG,32.0,BOS,26.0,4.0,442.0,15.6,0.547,0.016,0.221,2.6,6.9,4.8,10.4,1.0,0.3,11.9,27.9,,0.6,0.4,1.0,0.11,,-0.9,-3.3,-4.2,-0.2,123.0,249.0,0.494,3.0,4.0,0.75,120.0,245.0,0.49,0.5,50.0,55.0,0.909,10.0,28.0,38.0,29.0,9.0,2.0,37.0,49.0,299.0
