,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19923,19923,2010.0,Alexis Ajinca,C,21.0,CHA,6.0,0.0,30.0,6.3,0.479,0.0,0.1,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,,-0.1,0.0,0.0,-0.013000000000000001,,-8.5,-2.0,-10.4,-0.1,5.0,10.0,0.5,0.0,0.0,,5.0,10.0,0.5,0.5,0.0,1.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,5.0,10.0
19948,19948,2010.0,D.J. Augustin,PG,22.0,CHA,80.0,2.0,1472.0,11.2,0.516,0.409,0.301,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,,1.1,1.7,2.8,0.092,,-0.9,-1.6,-2.6,-0.2,168.0,435.0,0.386,70.0,178.0,0.39299999999999996,98.0,257.0,0.381,0.467,102.0,131.0,0.779,11.0,86.0,97.0,193.0,45.0,5.0,74.0,127.0,508.0
19968,19968,2010.0,Raja Bell,SG,33.0,CHA,5.0,5.0,157.0,12.8,0.5329999999999999,0.436,0.055,3.9,12.1,8.1,11.3,1.4,1.0,8.2,18.2,,0.2,0.2,0.4,0.113,,0.2,-0.3,-0.2,0.1,24.0,55.0,0.436,9.0,24.0,0.375,15.0,31.0,0.484,0.518,3.0,3.0,1.0,5.0,16.0,21.0,10.0,4.0,2.0,5.0,13.0,60.0
20000,20000,2010.0,Derrick Brown,SF,22.0,CHA,57.0,0.0,535.0,12.6,0.52,0.048,0.49,7.1,10.4,8.8,6.0,2.1,1.5,9.6,17.2,,0.5,0.8,1.3,0.114,,-2.5,0.3,-2.2,0.0,68.0,147.0,0.46299999999999997,2.0,7.0,0.28600000000000003,66.0,140.0,0.47100000000000003,0.469,48.0,72.0,0.667,31.0,47.0,78.0,19.0,21.0,10.0,19.0,53.0,186.0
20026,20026,2010.0,Tyson Chandler,C,27.0,CHA,51.0,27.0,1163.0,12.5,0.643,0.0,0.826,12.0,21.0,16.6,2.2,0.8,3.9,26.0,14.0,,0.9,2.0,2.9,0.12,,-3.2,1.6,-1.6,0.1,109.0,190.0,0.574,0.0,0.0,,109.0,190.0,0.574,0.574,115.0,157.0,0.732,114.0,206.0,320.0,16.0,17.0,55.0,91.0,138.0,333.0
20054,20054,2010.0,Boris Diaw,PF,27.0,CHA,82.0,82.0,2906.0,12.8,0.552,0.266,0.19,5.5,11.9,8.8,18.9,1.1,1.6,17.5,16.2,,2.4,3.8,6.2,0.10300000000000001,,0.3,1.6,1.9,2.9,373.0,773.0,0.483,66.0,206.0,0.32,307.0,567.0,0.541,0.525,113.0,147.0,0.769,131.0,293.0,424.0,325.0,60.0,57.0,178.0,219.0,925.0
20059,20059,2010.0,DeSagana Diop,C,28.0,CHA,27.0,0.0,262.0,7.8,0.485,0.0,0.31,11.2,18.5,15.0,2.9,1.0,4.4,26.7,8.0,,-0.1,0.5,0.4,0.07200000000000001,,-5.0,3.0,-2.0,0.0,15.0,29.0,0.517,0.0,0.0,,15.0,29.0,0.517,0.517,2.0,9.0,0.222,24.0,41.0,65.0,5.0,5.0,14.0,12.0,31.0,32.0
20081,20081,2010.0,Raymond Felton,PG,25.0,CHA,80.0,80.0,2643.0,15.2,0.525,0.184,0.204,2.5,10.5,6.6,29.5,2.5,0.7,15.4,19.2,,2.5,4.0,6.5,0.11800000000000001,,0.5,1.1,1.6,2.4,388.0,846.0,0.45899999999999996,60.0,156.0,0.385,328.0,690.0,0.475,0.494,132.0,173.0,0.763,53.0,235.0,288.0,446.0,123.0,22.0,168.0,172.0,968.0
20118,20118,2010.0,Stephen Graham,SG,27.0,CHA,70.0,8.0,804.0,11.2,0.551,0.20800000000000002,0.271,3.7,16.3,10.1,5.0,1.3,1.0,11.8,17.6,,0.4,1.2,1.6,0.094,,-3.1,-0.6,-3.7,-0.3,119.0,240.0,0.496,16.0,50.0,0.32,103.0,190.0,0.542,0.529,42.0,65.0,0.6459999999999999,24.0,111.0,135.0,23.0,20.0,10.0,36.0,94.0,296.0
20151,20151,2010.0,Gerald Henderson,SG,22.0,CHA,43.0,0.0,355.0,9.7,0.45299999999999996,0.183,0.452,5.2,13.3,9.3,6.0,1.5,2.1,10.1,18.2,,-0.1,0.5,0.4,0.055999999999999994,,-4.7,-0.1,-4.7,-0.2,37.0,104.0,0.35600000000000004,4.0,19.0,0.21100000000000002,33.0,85.0,0.38799999999999996,0.375,35.0,47.0,0.745,15.0,40.0,55.0,13.0,10.0,9.0,14.0,25.0,113.0
