,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19925,19925,2010.0,Joe Alexander,SF,23.0,CHI,8.0,0.0,29.0,2.8,0.273,0.16699999999999998,0.5,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,,0.0,0.0,0.0,0.03,,-5.2,1.5,-3.7,0.0,1.0,6.0,0.16699999999999998,0.0,1.0,0.0,1.0,5.0,0.2,0.16699999999999998,2.0,3.0,0.667,2.0,3.0,5.0,2.0,1.0,1.0,0.0,9.0,4.0
20003,20003,2010.0,Devin Brown,SG,31.0,CHI,11.0,0.0,93.0,0.4,0.278,0.47200000000000003,0.0,2.4,15.3,9.0,10.9,1.7,0.8,12.2,19.8,,-0.4,0.1,-0.3,-0.129,,-8.0,-0.9,-8.9,-0.2,8.0,36.0,0.222,4.0,17.0,0.235,4.0,19.0,0.21100000000000002,0.278,0.0,0.0,,2.0,13.0,15.0,7.0,3.0,1.0,5.0,10.0,20.0
20052,20052,2010.0,Luol Deng,SF,24.0,CHI,70.0,69.0,2651.0,16.1,0.531,0.08199999999999999,0.325,5.6,15.8,10.7,9.1,1.3,1.8,10.4,21.9,,2.5,3.4,5.9,0.106,,-0.6,0.7,0.2,1.4,473.0,1014.0,0.466,32.0,83.0,0.386,441.0,931.0,0.474,0.48200000000000004,252.0,330.0,0.764,131.0,381.0,512.0,143.0,66.0,61.0,134.0,129.0,1230.0
20104,20104,2010.0,Taj Gibson,PF,24.0,CHI,82.0,70.0,2204.0,13.8,0.521,0.0,0.278,11.6,19.2,15.4,5.0,1.2,3.6,13.9,16.7,,1.2,3.5,4.7,0.10300000000000001,,-2.3,1.8,-0.6,0.8,311.0,629.0,0.494,0.0,0.0,,311.0,629.0,0.494,0.494,113.0,175.0,0.6459999999999999,226.0,385.0,611.0,70.0,50.0,104.0,114.0,282.0,735.0
20121,20121,2010.0,Aaron Gray,C,25.0,CHI,8.0,0.0,50.0,7.0,0.374,0.0,0.33299999999999996,11.3,24.1,17.8,6.5,0.0,0.0,4.0,22.5,,-0.1,0.1,0.0,-0.013000000000000001,,-6.6,-3.7,-10.2,-0.1,8.0,21.0,0.381,0.0,0.0,,8.0,21.0,0.381,0.381,2.0,7.0,0.28600000000000003,5.0,11.0,16.0,2.0,0.0,0.0,1.0,10.0,18.0
20160,20160,2010.0,Kirk Hinrich,SG,29.0,CHI,74.0,53.0,2481.0,11.6,0.501,0.37200000000000005,0.15,1.1,10.4,5.8,20.5,1.8,0.7,12.3,16.6,,1.2,2.8,4.0,0.077,,-0.3,0.3,0.0,1.2,308.0,753.0,0.409,104.0,280.0,0.371,204.0,473.0,0.431,0.478,85.0,113.0,0.752,24.0,236.0,260.0,330.0,85.0,24.0,113.0,204.0,805.0
20182,20182,2010.0,Lindsey Hunter,PG,39.0,CHI,13.0,0.0,122.0,-2.2,0.21,0.433,0.067,0.9,11.7,6.4,10.1,0.4,0.0,11.5,12.8,,-0.4,0.1,-0.3,-0.11699999999999999,,-8.7,-1.4,-10.1,-0.2,5.0,30.0,0.16699999999999998,1.0,13.0,0.077,4.0,17.0,0.235,0.183,2.0,2.0,1.0,1.0,13.0,14.0,9.0,1.0,0.0,4.0,12.0,13.0
20224,20224,2010.0,James Johnson,PF,22.0,CHI,65.0,11.0,757.0,10.4,0.532,0.21899999999999997,0.33299999999999996,5.1,13.6,9.4,9.8,1.4,4.3,20.5,18.0,,-0.3,1.1,0.8,0.054000000000000006,,-3.8,1.7,-2.1,0.0,95.0,210.0,0.452,15.0,46.0,0.326,80.0,164.0,0.488,0.488,51.0,70.0,0.7290000000000001,34.0,94.0,128.0,48.0,21.0,43.0,62.0,126.0,256.0
20251,20251,2010.0,Acie Law,PG,25.0,CHI,12.0,1.0,135.0,15.4,0.58,0.267,0.6,2.5,8.9,5.8,19.2,1.5,0.0,17.4,22.9,,0.2,0.1,0.3,0.10099999999999999,,-0.6,-2.4,-3.0,0.0,21.0,45.0,0.467,4.0,12.0,0.33299999999999996,17.0,33.0,0.515,0.511,20.0,27.0,0.741,3.0,11.0,14.0,16.0,4.0,0.0,12.0,8.0,66.0
20305,20305,2010.0,Brad Miller,C,33.0,CHI,82.0,37.0,1950.0,12.9,0.53,0.22699999999999998,0.379,4.8,17.8,11.4,12.2,1.2,1.1,13.6,18.1,,1.5,2.5,4.0,0.098,,-1.3,0.5,-0.8,0.6,250.0,581.0,0.43,37.0,132.0,0.28,213.0,449.0,0.474,0.462,182.0,220.0,0.8270000000000001,83.0,316.0,399.0,154.0,44.0,29.0,107.0,189.0,719.0
