,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23630,23630,2016.0,Jared Cunningham,SG,24.0,CLE,40.0,3.0,355.0,5.9,0.46399999999999997,0.35200000000000004,0.527,1.0,8.2,4.6,7.6,1.7,0.5,13.8,16.6,,-0.2,0.4,0.1,0.018000000000000002,,-4.4,-1.0,-5.4,-0.3,32.0,91.0,0.35200000000000004,10.0,32.0,0.313,22.0,59.0,0.373,0.40700000000000003,30.0,48.0,0.625,3.0,26.0,29.0,19.0,12.0,2.0,18.0,37.0,104.0
23641,23641,2016.0,Matthew Dellavedova,PG,25.0,CLE,76.0,14.0,1867.0,11.3,0.527,0.46799999999999997,0.129,2.0,7.8,4.9,26.2,1.2,0.4,17.7,15.9,,2.2,1.6,3.8,0.098,,-0.2,-1.4,-1.6,0.2,207.0,511.0,0.405,98.0,239.0,0.41,109.0,272.0,0.401,0.501,57.0,66.0,0.8640000000000001,33.0,129.0,162.0,337.0,44.0,9.0,116.0,178.0,569.0
23684,23684,2016.0,Channing Frye,C,32.0,CLE,26.0,3.0,446.0,14.9,0.586,0.708,0.087,3.1,20.4,11.8,9.1,0.9,1.5,7.2,18.3,,0.9,0.6,1.5,0.157,,1.9,-0.8,1.1,0.3,71.0,161.0,0.441,43.0,114.0,0.377,28.0,47.0,0.596,0.575,11.0,14.0,0.7859999999999999,12.0,81.0,93.0,26.0,8.0,8.0,13.0,56.0,196.0
23728,23728,2016.0,Joe Harris,SG,24.0,CLE,5.0,0.0,15.0,3.4,0.375,1.0,0.0,0.0,22.5,11.3,18.2,0.0,0.0,20.0,15.1,,0.0,0.0,0.0,-0.032,,-5.0,-1.6,-6.6,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0
23778,23778,2016.0,Kyrie Irving,PG,23.0,CLE,53.0,53.0,1667.0,19.9,0.54,0.298,0.217,3.0,7.6,5.3,26.6,1.7,0.9,11.4,29.5,,3.2,1.7,5.0,0.14300000000000002,,3.0,-1.4,1.6,1.5,394.0,879.0,0.44799999999999995,84.0,262.0,0.321,310.0,617.0,0.502,0.496,169.0,191.0,0.885,44.0,113.0,157.0,249.0,56.0,18.0,124.0,107.0,1041.0
23781,23781,2016.0,LeBron James,SF,31.0,CLE,76.0,76.0,2709.0,27.5,0.588,0.19899999999999998,0.34700000000000003,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,,9.6,4.0,13.6,0.242,,6.9,2.3,9.1,7.6,737.0,1416.0,0.52,87.0,282.0,0.309,650.0,1134.0,0.573,0.551,359.0,491.0,0.731,111.0,454.0,565.0,514.0,104.0,49.0,249.0,143.0,1920.0
23784,23784,2016.0,Richard Jefferson,SF,35.0,CLE,74.0,5.0,1326.0,9.7,0.585,0.5539999999999999,0.27899999999999997,1.3,9.6,5.5,6.4,1.3,0.9,10.9,13.4,,1.4,1.3,2.7,0.099,,-0.5,-0.3,-0.8,0.4,143.0,312.0,0.45799999999999996,66.0,173.0,0.382,77.0,139.0,0.5539999999999999,0.564,58.0,87.0,0.667,15.0,113.0,128.0,59.0,33.0,14.0,43.0,129.0,410.0
23805,23805,2016.0,Dahntay Jones,SF,35.0,CLE,1.0,0.0,42.0,10.3,0.46399999999999997,0.14300000000000002,0.0,2.7,10.7,6.7,7.3,1.2,3.9,0.0,15.1,,0.0,0.1,0.1,0.096,,-3.1,0.9,-2.2,0.0,6.0,14.0,0.429,1.0,2.0,0.5,5.0,12.0,0.41700000000000004,0.46399999999999997,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,2.0,0.0,6.0,13.0
23806,23806,2016.0,James Jones,SF,35.0,CLE,48.0,0.0,463.0,11.6,0.58,0.732,0.183,2.0,10.2,6.1,4.5,1.2,1.8,7.8,16.2,,0.7,0.5,1.2,0.12,,0.3,-1.3,-1.0,0.1,58.0,142.0,0.408,41.0,104.0,0.39399999999999996,17.0,38.0,0.447,0.5529999999999999,21.0,26.0,0.8079999999999999,8.0,42.0,50.0,14.0,11.0,10.0,13.0,50.0,178.0
23815,23815,2016.0,Sasha Kaun,C,30.0,CLE,25.0,0.0,95.0,12.5,0.527,0.0,0.647,14.4,16.5,15.5,4.5,2.2,4.3,24.3,13.7,,0.0,0.2,0.2,0.096,,-3.5,2.7,-0.8,0.0,9.0,17.0,0.529,0.0,0.0,,9.0,17.0,0.529,0.529,5.0,11.0,0.455,12.0,14.0,26.0,3.0,4.0,5.0,7.0,11.0,23.0
23848,23848,2016.0,Kevin Love,PF,27.0,CLE,77.0,77.0,2424.0,19.0,0.5529999999999999,0.449,0.321,7.0,28.4,17.8,12.2,1.2,1.4,11.3,23.4,,4.7,3.8,8.5,0.16899999999999998,,1.7,0.9,2.5,2.8,409.0,977.0,0.419,158.0,439.0,0.36,251.0,538.0,0.467,0.499,258.0,314.0,0.8220000000000001,149.0,613.0,762.0,186.0,58.0,41.0,142.0,159.0,1234.0
23879,23879,2016.0,Jordan McRae,PG,24.0,CLE,15.0,1.0,113.0,14.2,0.537,0.212,0.25,2.0,9.9,6.0,22.3,0.0,0.7,13.5,26.7,,0.1,0.1,0.2,0.081,,-1.5,-3.6,-5.2,-0.1,23.0,52.0,0.442,7.0,11.0,0.636,16.0,41.0,0.39,0.51,9.0,13.0,0.6920000000000001,2.0,10.0,12.0,15.0,0.0,1.0,9.0,10.0,62.0
23905,23905,2016.0,Timofey Mozgov,C,29.0,CLE,76.0,48.0,1326.0,14.6,0.593,0.019,0.265,9.5,19.2,14.4,3.9,0.9,3.5,15.0,16.1,,1.8,1.9,3.7,0.133,,-2.2,1.0,-1.2,0.3,203.0,359.0,0.565,1.0,7.0,0.14300000000000002,202.0,352.0,0.574,0.5670000000000001,68.0,95.0,0.716,110.0,227.0,337.0,33.0,22.0,57.0,71.0,159.0,475.0
23990,23990,2016.0,Iman Shumpert,SG,25.0,CLE,54.0,5.0,1316.0,8.4,0.475,0.479,0.16699999999999998,2.8,14.6,8.7,9.8,2.1,1.2,14.8,13.2,,-0.1,1.8,1.7,0.063,,-2.1,1.9,-0.2,0.6,114.0,305.0,0.374,43.0,146.0,0.295,71.0,159.0,0.447,0.444,40.0,51.0,0.784,32.0,171.0,203.0,92.0,54.0,19.0,57.0,119.0,311.0
24000,24000,2016.0,J.R. Smith,SG,30.0,CLE,77.0,77.0,2362.0,12.4,0.542,0.6,0.084,2.1,8.3,5.2,8.5,1.8,0.7,6.3,18.0,,3.0,2.5,5.5,0.111,,1.8,-0.4,1.3,2.0,353.0,850.0,0.415,204.0,510.0,0.4,149.0,340.0,0.43799999999999994,0.535,45.0,71.0,0.634,43.0,174.0,217.0,130.0,81.0,21.0,59.0,204.0,955.0
24034,24034,2016.0,Tristan Thompson,PF,24.0,CLE,82.0,34.0,2269.0,15.9,0.611,0.0,0.5760000000000001,13.5,23.3,18.4,4.0,0.9,1.8,10.4,11.7,,5.6,3.1,8.7,0.185,,0.2,1.3,1.5,2.0,247.0,420.0,0.588,0.0,0.0,,247.0,420.0,0.588,0.588,149.0,242.0,0.616,268.0,470.0,738.0,62.0,38.0,51.0,61.0,202.0,643.0
24049,24049,2016.0,Anderson Varejao,C,33.0,CLE,31.0,0.0,310.0,11.2,0.469,0.013000000000000001,0.276,8.8,24.3,16.6,9.3,1.8,1.3,15.8,14.8,,0.1,0.5,0.6,0.08900000000000001,,-4.1,1.8,-2.3,0.0,32.0,76.0,0.42100000000000004,0.0,1.0,0.0,32.0,75.0,0.42700000000000005,0.42100000000000004,16.0,21.0,0.762,24.0,67.0,91.0,20.0,11.0,5.0,16.0,35.0,80.0
24081,24081,2016.0,Mo Williams,PG,33.0,CLE,41.0,14.0,748.0,12.4,0.527,0.33799999999999997,0.139,0.9,9.9,5.4,21.1,1.0,0.5,15.1,22.8,,0.4,0.7,1.1,0.067,,-1.3,-2.1,-3.3,-0.2,132.0,302.0,0.43700000000000006,36.0,102.0,0.353,96.0,200.0,0.48,0.49700000000000005,38.0,42.0,0.905,6.0,66.0,72.0,98.0,14.0,5.0,57.0,60.0,338.0
