,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
8306,8306,1987.0,Mark Aguirre,SF,27.0,DAL,80.0,80.0,2663.0,22.1,0.56,0.094,0.35,7.5,9.8,8.7,15.7,1.5,0.6,10.6,31.3,,6.8,2.1,8.9,0.16,,4.4,-1.6,2.8,3.2,787.0,1590.0,0.495,53.0,150.0,0.353,734.0,1440.0,0.51,0.512,429.0,557.0,0.77,181.0,246.0,427.0,254.0,84.0,30.0,217.0,243.0,2056.0
8327,8327,1987.0,Uwe Blab,C,24.0,DAL,30.0,0.0,160.0,7.1,0.419,0.0,0.5489999999999999,7.6,16.6,12.2,10.4,1.2,3.2,19.2,19.9,,-0.3,0.2,-0.1,-0.027000000000000003,,-5.7,0.8,-4.9,-0.1,20.0,51.0,0.392,0.0,0.0,,20.0,51.0,0.392,0.392,13.0,28.0,0.46399999999999997,11.0,25.0,36.0,13.0,4.0,9.0,15.0,33.0,53.0
8328,8328,1987.0,Rolando Blackman,SG,27.0,DAL,80.0,80.0,2758.0,18.1,0.569,0.012,0.375,3.8,7.0,5.5,14.2,1.1,0.4,10.6,24.3,,6.5,1.5,8.0,0.14,,2.1,-1.5,0.6,1.8,626.0,1264.0,0.495,5.0,15.0,0.33299999999999996,621.0,1249.0,0.49700000000000005,0.49700000000000005,419.0,474.0,0.884,96.0,182.0,278.0,266.0,64.0,21.0,174.0,142.0,1676.0
8374,8374,1987.0,Brad Davis,PG,31.0,DAL,82.0,6.0,1582.0,14.5,0.564,0.243,0.392,1.9,5.8,3.9,30.3,1.9,0.4,18.2,16.1,,2.8,1.1,3.9,0.11900000000000001,,0.9,-2.1,-1.2,0.3,199.0,436.0,0.456,32.0,106.0,0.302,167.0,330.0,0.506,0.493,147.0,171.0,0.86,27.0,87.0,114.0,373.0,63.0,10.0,114.0,159.0,577.0
8381,8381,1987.0,James Donaldson,C,29.0,DAL,82.0,82.0,3028.0,15.3,0.6579999999999999,0.0,0.62,10.7,23.8,17.4,2.6,0.8,2.5,13.3,10.5,,6.5,3.9,10.4,0.166,,0.8,1.8,2.6,3.5,311.0,531.0,0.586,0.0,0.0,,311.0,531.0,0.586,0.586,267.0,329.0,0.812,295.0,678.0,973.0,63.0,51.0,136.0,104.0,191.0,889.0
8428,8428,1987.0,Derek Harper,PG,25.0,DAL,77.0,76.0,2556.0,20.0,0.561,0.213,0.23600000000000002,2.2,6.1,4.2,33.6,3.1,0.6,11.2,19.6,,6.8,2.6,9.4,0.177,,4.6,-0.5,4.1,3.9,497.0,993.0,0.501,76.0,212.0,0.358,421.0,781.0,0.539,0.539,160.0,234.0,0.684,51.0,148.0,199.0,609.0,167.0,25.0,138.0,195.0,1230.0
8452,8452,1987.0,Myron Jackson,PG,22.0,DAL,8.0,0.0,22.0,10.6,0.439,0.0,0.889,5.0,9.6,7.4,33.5,2.2,0.0,28.5,32.4,,-0.1,0.0,0.0,-0.10400000000000001,,-6.5,-1.8,-8.3,0.0,2.0,9.0,0.222,0.0,0.0,,2.0,9.0,0.222,0.222,7.0,8.0,0.875,1.0,2.0,3.0,6.0,1.0,0.0,5.0,1.0,11.0
8537,8537,1987.0,Dennis Nutt,PG,23.0,DAL,25.0,0.0,91.0,20.0,0.574,0.425,0.55,1.2,8.2,4.8,24.1,3.7,0.0,16.8,26.7,,0.2,0.1,0.3,0.156,,2.7,-1.9,0.8,0.1,16.0,40.0,0.4,5.0,17.0,0.294,11.0,23.0,0.478,0.46299999999999997,20.0,22.0,0.909,1.0,7.0,8.0,16.0,7.0,0.0,10.0,6.0,57.0
8547,8547,1987.0,Sam Perkins,PF,25.0,DAL,80.0,80.0,2687.0,15.9,0.545,0.055999999999999994,0.309,8.1,16.5,12.4,7.4,1.9,1.6,10.8,18.5,,4.2,3.3,7.5,0.134,,0.9,1.4,2.4,3.0,461.0,957.0,0.48200000000000004,19.0,54.0,0.35200000000000004,442.0,903.0,0.489,0.49200000000000005,245.0,296.0,0.828,197.0,419.0,616.0,146.0,109.0,77.0,132.0,269.0,1186.0
8582,8582,1987.0,Detlef Schrempf,SF,24.0,DAL,81.0,5.0,1711.0,13.7,0.56,0.12300000000000001,0.46299999999999997,5.6,13.4,9.6,12.6,1.4,0.5,14.0,18.7,,2.5,1.5,4.0,0.113,,0.5,-0.2,0.4,1.0,265.0,561.0,0.47200000000000003,33.0,69.0,0.478,232.0,492.0,0.47200000000000003,0.502,193.0,260.0,0.742,87.0,216.0,303.0,161.0,50.0,16.0,110.0,224.0,756.0
