,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
9548,9548,1990.0,Michael Adams,PG,27.0,DEN,79.0,74.0,2690.0,15.4,0.542,0.43700000000000006,0.317,1.8,7.3,4.4,23.3,2.0,0.1,11.1,18.5,,4.4,2.5,6.9,0.124,,2.7,-0.9,1.7,2.5,398.0,989.0,0.402,158.0,432.0,0.366,240.0,557.0,0.431,0.48200000000000004,267.0,314.0,0.85,49.0,176.0,225.0,495.0,121.0,3.0,141.0,133.0,1221.0
9605,9605,1990.0,Joe Barry,C,31.0,DEN,30.0,27.0,719.0,13.8,0.465,0.0,0.198,7.0,22.0,14.0,10.4,1.8,4.8,16.9,25.2,,-1.2,1.3,0.1,0.006,,-4.8,2.6,-2.3,0.0,153.0,354.0,0.43200000000000005,0.0,0.0,,153.0,354.0,0.43200000000000005,0.43200000000000005,52.0,70.0,0.743,51.0,142.0,193.0,54.0,28.0,59.0,78.0,70.0,358.0
9633,9633,1990.0,Walter Davis,SG,35.0,DEN,69.0,0.0,1635.0,18.3,0.5329999999999999,0.045,0.22,2.8,9.1,5.7,14.9,1.6,0.3,8.3,29.6,,2.1,1.5,3.6,0.105,,1.1,-2.5,-1.4,0.3,497.0,1033.0,0.48100000000000004,6.0,46.0,0.13,491.0,987.0,0.49700000000000005,0.484,207.0,227.0,0.912,46.0,133.0,179.0,155.0,59.0,9.0,102.0,160.0,1207.0
9650,9650,1990.0,T.R. Dunn,SF,34.0,DEN,65.0,2.0,657.0,9.8,0.499,0.021,0.402,8.4,13.9,11.0,7.5,2.8,0.4,14.3,7.9,,0.5,0.9,1.4,0.10099999999999999,,-2.3,2.5,0.2,0.4,44.0,97.0,0.45399999999999996,0.0,2.0,0.0,44.0,95.0,0.46299999999999997,0.45399999999999996,26.0,39.0,0.667,56.0,82.0,138.0,43.0,41.0,4.0,19.0,67.0,114.0
9661,9661,1990.0,Alex English*,SF,36.0,DEN,80.0,80.0,2211.0,17.9,0.522,0.004,0.142,5.3,8.4,6.8,15.6,1.1,0.6,6.3,26.0,,3.3,1.7,5.1,0.11,,1.5,-1.7,-0.2,1.0,635.0,1293.0,0.491,2.0,5.0,0.4,633.0,1288.0,0.491,0.49200000000000005,161.0,183.0,0.88,119.0,167.0,286.0,225.0,51.0,23.0,93.0,130.0,1433.0
9699,9699,1990.0,Bill Hanzlik,PF,32.0,DEN,81.0,0.0,1605.0,10.3,0.525,0.078,0.462,4.1,9.7,6.8,14.0,2.2,1.0,15.4,13.7,,1.0,1.9,2.9,0.086,,-1.7,1.3,-0.4,0.6,179.0,396.0,0.452,6.0,31.0,0.19399999999999998,173.0,365.0,0.474,0.46,136.0,183.0,0.743,67.0,140.0,207.0,186.0,78.0,29.0,87.0,249.0,500.0
9713,9713,1990.0,Mike Higgins,SF,22.0,DEN,5.0,0.0,32.0,12.9,0.564,0.0,1.0,3.1,7.0,4.9,7.4,1.4,0.0,8.0,15.3,,0.1,0.0,0.1,0.133,,-2.2,-1.8,-4.0,0.0,3.0,8.0,0.375,0.0,0.0,,3.0,8.0,0.375,0.375,7.0,8.0,0.875,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,13.0
9723,9723,1990.0,Eddie Hughes,PG,29.0,DEN,60.0,7.0,892.0,8.3,0.48200000000000004,0.243,0.168,1.7,6.9,4.1,15.4,2.5,0.1,15.2,11.2,,0.1,0.9,1.0,0.055,,-2.8,0.2,-2.5,-0.1,83.0,202.0,0.41100000000000003,20.0,49.0,0.408,63.0,153.0,0.41200000000000003,0.46,23.0,34.0,0.6759999999999999,15.0,55.0,70.0,116.0,48.0,1.0,39.0,87.0,209.0
9749,9749,1990.0,Tim Kempton,PF,26.0,DEN,71.0,14.0,1061.0,10.7,0.529,0.003,0.365,4.7,17.5,10.8,14.0,1.3,0.5,18.1,16.3,,0.1,1.2,1.3,0.06,,-3.0,0.5,-2.5,-0.1,153.0,312.0,0.49,0.0,1.0,0.0,153.0,311.0,0.49200000000000005,0.49,77.0,114.0,0.675,51.0,167.0,218.0,118.0,30.0,9.0,80.0,144.0,383.0
9764,9764,1990.0,Jerome Lane,PF,23.0,DEN,67.0,46.0,956.0,12.8,0.462,0.016,0.38799999999999996,14.9,25.3,19.8,14.0,2.5,1.0,19.0,18.3,,-0.4,1.6,1.2,0.062,,-2.1,2.5,0.4,0.6,145.0,309.0,0.469,0.0,5.0,0.0,145.0,304.0,0.47700000000000004,0.469,44.0,120.0,0.36700000000000005,144.0,217.0,361.0,105.0,53.0,17.0,85.0,189.0,334.0
