,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17101,17101,2005.0,Carlos Arroyo,PG,25.0,DET,40.0,0.0,706.0,10.7,0.45799999999999996,0.061,0.43700000000000006,2.5,7.1,4.8,29.7,1.9,0.1,18.1,19.1,,0.0,0.9,0.9,0.06,,-3.1,-1.4,-4.5,-0.4,74.0,197.0,0.376,1.0,12.0,0.083,73.0,185.0,0.395,0.37799999999999995,66.0,86.0,0.767,15.0,43.0,58.0,128.0,24.0,1.0,52.0,76.0,215.0
17128,17128,2005.0,Chauncey Billups,PG,28.0,DET,80.0,80.0,2866.0,19.0,0.609,0.424,0.418,2.0,9.0,5.5,28.2,1.6,0.2,14.3,20.7,,8.6,3.5,12.1,0.20199999999999999,,4.7,-0.9,3.8,4.2,404.0,913.0,0.442,165.0,387.0,0.426,239.0,526.0,0.45399999999999996,0.5329999999999999,343.0,382.0,0.898,48.0,223.0,271.0,464.0,81.0,9.0,180.0,194.0,1316.0
17172,17172,2005.0,Elden Campbell,C,36.0,DET,30.0,1.0,340.0,8.4,0.426,0.017,0.44,8.7,19.5,14.1,7.8,1.3,1.3,16.8,23.0,,-0.5,0.6,0.1,0.013000000000000001,,-6.7,-0.4,-7.0,-0.4,39.0,116.0,0.336,0.0,2.0,0.0,39.0,114.0,0.342,0.336,40.0,51.0,0.784,25.0,57.0,82.0,16.0,8.0,6.0,28.0,47.0,118.0
17193,17193,2005.0,Derrick Coleman,C,37.0,DET,5.0,0.0,50.0,1.2,0.294,0.14300000000000002,0.214,7.1,27.9,17.6,0.0,0.0,0.0,11.5,16.3,,-0.1,0.1,-0.1,-0.049,,-11.9,-5.5,-17.4,-0.2,3.0,14.0,0.214,0.0,2.0,0.0,3.0,12.0,0.25,0.214,3.0,3.0,1.0,3.0,12.0,15.0,0.0,0.0,0.0,2.0,6.0,9.0
17219,17219,2005.0,Carlos Delfino,SG,22.0,DET,30.0,4.0,459.0,8.6,0.431,0.299,0.342,3.3,10.6,7.0,13.3,2.6,1.0,14.6,16.1,,-0.3,0.8,0.5,0.048,,-3.5,1.2,-2.3,0.0,42.0,117.0,0.359,9.0,35.0,0.257,33.0,82.0,0.402,0.397,23.0,40.0,0.575,13.0,42.0,55.0,38.0,22.0,6.0,23.0,44.0,116.0
17236,17236,2005.0,Ronald Dupree,SF,24.0,DET,47.0,0.0,472.0,11.8,0.515,0.016,0.37,8.5,15.0,11.8,8.7,0.8,1.6,13.0,16.9,,0.4,0.7,1.0,0.10400000000000001,,-2.9,0.0,-2.9,-0.1,61.0,127.0,0.48,1.0,2.0,0.5,60.0,125.0,0.48,0.484,29.0,47.0,0.617,34.0,61.0,95.0,24.0,7.0,10.0,22.0,60.0,152.0
17276,17276,2005.0,Anthony Goldwire,PG,33.0,DET,9.0,0.0,55.0,7.4,0.486,0.6,0.5329999999999999,2.2,14.8,8.5,0.0,0.0,0.0,5.1,16.7,,0.0,0.1,0.1,0.09300000000000001,,-4.3,-5.7,-10.0,-0.1,4.0,15.0,0.267,3.0,9.0,0.33299999999999996,1.0,6.0,0.16699999999999998,0.36700000000000005,7.0,8.0,0.875,1.0,7.0,8.0,0.0,0.0,0.0,1.0,5.0,18.0
17288,17288,2005.0,Darvin Ham,SF,31.0,DET,47.0,0.0,275.0,5.6,0.45399999999999996,0.0,0.838,8.2,6.8,7.5,2.8,1.2,1.9,13.6,10.0,,0.0,0.3,0.3,0.055,,-4.4,0.7,-3.8,-0.1,17.0,37.0,0.45899999999999996,0.0,0.0,,17.0,37.0,0.45899999999999996,0.45899999999999996,12.0,31.0,0.387,19.0,16.0,35.0,5.0,6.0,7.0,8.0,39.0,46.0
17289,17289,2005.0,Richard Hamilton,SG,26.0,DET,76.0,76.0,2926.0,16.0,0.528,0.102,0.37,3.0,8.8,5.9,23.5,1.4,0.3,13.9,25.1,,3.9,3.5,7.4,0.121,,0.9,-0.5,0.4,1.8,510.0,1160.0,0.44,36.0,118.0,0.305,474.0,1042.0,0.455,0.455,368.0,429.0,0.858,74.0,221.0,295.0,372.0,77.0,13.0,217.0,232.0,1424.0
17325,17325,2005.0,Lindsey Hunter,SG,34.0,DET,76.0,3.0,1144.0,9.6,0.435,0.278,0.192,3.9,8.6,6.3,18.3,3.3,0.9,17.2,16.2,,-0.6,2.0,1.4,0.057999999999999996,,-2.8,1.6,-1.3,0.2,108.0,302.0,0.358,23.0,84.0,0.27399999999999997,85.0,218.0,0.39,0.396,46.0,58.0,0.7929999999999999,38.0,85.0,123.0,130.0,68.0,13.0,68.0,125.0,285.0
17353,17353,2005.0,Horace Jenkins,PG,30.0,DET,15.0,0.0,104.0,10.2,0.414,0.2,0.289,3.4,6.7,5.1,15.2,2.6,0.7,12.1,26.1,,-0.1,0.2,0.0,0.006,,-4.5,-1.6,-6.1,-0.1,15.0,45.0,0.33299999999999996,0.0,9.0,0.0,15.0,36.0,0.41700000000000004,0.33299999999999996,12.0,13.0,0.9229999999999999,3.0,6.0,9.0,9.0,5.0,1.0,7.0,6.0,42.0
17410,17410,2005.0,Antonio McDyess,PF,30.0,DET,77.0,8.0,1797.0,17.2,0.542,0.002,0.321,11.6,19.7,15.7,7.3,1.4,2.2,12.0,20.3,,2.5,3.3,5.7,0.154,,-0.8,1.0,0.2,1.0,307.0,598.0,0.513,0.0,1.0,0.0,307.0,597.0,0.514,0.513,126.0,192.0,0.6559999999999999,177.0,305.0,482.0,71.0,46.0,52.0,93.0,204.0,740.0
17419,17419,2005.0,Darko Milicic,C,19.0,DET,37.0,2.0,254.0,4.7,0.387,0.0,0.316,1.4,18.3,9.9,4.5,0.4,5.1,15.6,19.0,,-0.6,0.4,-0.2,-0.031,,-10.1,0.9,-9.1,-0.5,25.0,76.0,0.32899999999999996,0.0,0.0,,25.0,76.0,0.32899999999999996,0.32899999999999996,17.0,24.0,0.708,3.0,40.0,43.0,7.0,2.0,17.0,16.0,31.0,67.0
17476,17476,2005.0,Smush Parker,PG,23.0,DET,11.0,1.0,110.0,6.6,0.489,0.321,0.46399999999999997,2.2,7.4,4.8,16.3,1.5,0.0,22.9,18.7,,-0.1,0.1,0.0,0.009000000000000001,,-4.5,-1.6,-6.1,-0.1,11.0,28.0,0.39299999999999996,2.0,9.0,0.222,9.0,19.0,0.474,0.429,9.0,13.0,0.6920000000000001,2.0,7.0,9.0,11.0,3.0,0.0,10.0,13.0,33.0
17498,17498,2005.0,Tayshaun Prince,SF,24.0,DET,82.0,82.0,3039.0,16.2,0.556,0.14300000000000002,0.285,5.2,11.5,8.4,14.5,1.0,1.8,11.1,18.8,,5.4,4.0,9.4,0.149,,1.2,1.2,2.4,3.4,469.0,963.0,0.48700000000000004,47.0,138.0,0.341,422.0,825.0,0.512,0.511,221.0,274.0,0.807,133.0,302.0,435.0,247.0,56.0,71.0,135.0,161.0,1206.0
17614,17614,2005.0,Ben Wallace,C,30.0,DET,74.0,74.0,2671.0,17.4,0.45899999999999996,0.013999999999999999,0.467,12.9,26.5,19.8,7.6,2.2,5.0,9.5,15.2,,1.8,6.7,8.5,0.153,,-1.5,5.4,3.8,3.9,295.0,651.0,0.45299999999999996,1.0,9.0,0.111,294.0,642.0,0.45799999999999996,0.45399999999999996,130.0,304.0,0.428,292.0,610.0,902.0,123.0,106.0,176.0,82.0,159.0,721.0
17616,17616,2005.0,Rasheed Wallace,PF,30.0,DET,79.0,79.0,2687.0,16.4,0.499,0.222,0.184,7.7,20.3,14.0,9.8,1.3,3.2,10.0,22.3,,2.0,5.1,7.1,0.127,,-0.4,1.9,1.4,2.3,467.0,1062.0,0.44,75.0,236.0,0.318,392.0,826.0,0.475,0.475,136.0,195.0,0.6970000000000001,174.0,470.0,644.0,142.0,65.0,115.0,127.0,236.0,1145.0
