,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16562,16562,2004.0,J.R. Bremer,PG,23.0,GSW,5.0,0.0,40.0,-3.5,0.19,0.381,0.0,5.6,2.8,4.2,48.1,0.0,0.0,19.2,30.0,,-0.3,0.0,-0.3,-0.34,,-8.3,-6.4,-14.7,-0.1,4.0,21.0,0.19,0.0,8.0,0.0,4.0,13.0,0.308,0.19,0.0,0.0,,2.0,1.0,3.0,12.0,0.0,0.0,5.0,5.0,8.0
16585,16585,2004.0,Brian Cardinal,PF,26.0,GSW,76.0,11.0,1634.0,19.4,0.626,0.266,0.5820000000000001,6.9,15.0,10.9,10.7,2.2,0.9,12.6,18.9,,5.5,1.7,7.2,0.212,,3.2,0.2,3.4,2.2,220.0,466.0,0.47200000000000003,55.0,124.0,0.444,165.0,342.0,0.48200000000000004,0.531,238.0,271.0,0.878,100.0,217.0,317.0,103.0,66.0,20.0,84.0,206.0,733.0
16597,16597,2004.0,Calbert Cheaney,SF,32.0,GSW,79.0,7.0,2067.0,10.6,0.493,0.017,0.133,4.2,10.0,7.1,11.2,1.6,0.4,12.2,15.5,,1.0,1.3,2.3,0.054000000000000006,,-1.7,0.1,-1.6,0.2,278.0,578.0,0.48100000000000004,0.0,10.0,0.0,278.0,568.0,0.489,0.48100000000000004,47.0,77.0,0.61,77.0,183.0,260.0,136.0,60.0,12.0,85.0,184.0,603.0
16600,16600,2004.0,Speedy Claxton,PG,25.0,GSW,60.0,29.0,1595.0,17.3,0.509,0.042,0.42700000000000005,2.7,8.4,5.5,28.7,3.3,0.4,14.1,20.9,,2.6,1.6,4.2,0.127,,0.8,0.1,0.9,1.2,224.0,524.0,0.42700000000000005,4.0,22.0,0.182,220.0,502.0,0.43799999999999994,0.431,182.0,224.0,0.813,38.0,118.0,156.0,267.0,97.0,9.0,102.0,146.0,634.0
16615,16615,2004.0,Erick Dampier,C,28.0,GSW,74.0,74.0,2403.0,20.1,0.573,0.003,0.511,16.1,25.5,20.8,4.3,0.7,4.1,14.1,17.8,,5.5,3.4,8.9,0.17800000000000002,,0.4,1.1,1.4,2.1,348.0,650.0,0.535,0.0,2.0,0.0,348.0,648.0,0.537,0.535,217.0,332.0,0.654,344.0,543.0,887.0,60.0,33.0,137.0,131.0,227.0,913.0
16648,16648,2004.0,Mike Dunleavy,SF,23.0,GSW,75.0,69.0,2336.0,15.1,0.547,0.353,0.257,4.2,17.2,10.7,16.1,1.6,0.4,15.1,18.6,,3.0,2.2,5.2,0.107,,1.3,0.5,1.8,2.2,323.0,720.0,0.449,94.0,254.0,0.37,229.0,466.0,0.491,0.514,137.0,185.0,0.741,87.0,355.0,442.0,220.0,68.0,13.0,143.0,169.0,877.0
16667,16667,2004.0,Adonal Foyle,C,28.0,GSW,44.0,8.0,572.0,13.0,0.47100000000000003,0.0,0.26899999999999996,10.6,22.3,16.4,4.8,0.6,5.8,12.6,13.4,,0.3,0.8,1.1,0.09300000000000001,,-3.8,2.1,-1.7,0.0,59.0,130.0,0.45399999999999996,0.0,0.0,,59.0,130.0,0.45399999999999996,0.45399999999999996,19.0,35.0,0.5429999999999999,54.0,113.0,167.0,17.0,6.0,46.0,21.0,68.0,137.0
16759,16759,2004.0,Avery Johnson,PG,38.0,GSW,46.0,1.0,637.0,11.7,0.45399999999999996,0.015,0.392,0.5,5.3,2.9,29.1,2.2,0.3,17.9,20.6,,-0.2,0.4,0.2,0.016,,-3.8,-2.9,-6.6,-0.7,80.0,199.0,0.402,0.0,3.0,0.0,80.0,196.0,0.408,0.402,52.0,78.0,0.667,3.0,30.0,33.0,111.0,26.0,3.0,51.0,34.0,212.0
16770,16770,2004.0,Popeye Jones,PF,33.0,GSW,5.0,0.0,10.0,-7.8,0.0,0.0,0.0,11.2,0.0,5.6,0.0,0.0,0.0,0.0,9.2,,0.0,0.0,0.0,-0.16899999999999998,,-9.5,-3.5,-13.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
16785,16785,2004.0,Sean Lampley,SF,24.0,GSW,10.0,0.0,63.0,21.6,0.672,0.0,0.6,3.6,16.1,9.8,6.1,0.0,1.1,10.6,20.7,,0.2,0.0,0.2,0.18899999999999997,,0.1,-3.3,-3.2,0.0,13.0,20.0,0.65,0.0,0.0,,13.0,20.0,0.65,0.65,8.0,12.0,0.667,2.0,9.0,11.0,2.0,0.0,1.0,3.0,2.0,34.0
