,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16088,16088,2003.0,Kelvin Cato,C,28.0,HOU,73.0,5.0,1247.0,15.5,0.535,0.016,0.484,12.5,26.7,19.8,2.6,1.6,4.9,15.3,13.6,,1.3,2.5,3.8,0.145,,-2.8,1.8,-1.0,0.3,133.0,256.0,0.52,0.0,4.0,0.0,133.0,252.0,0.528,0.52,66.0,124.0,0.532,132.0,296.0,428.0,20.0,38.0,85.0,56.0,176.0,332.0
16100,16100,2003.0,Jason Collier,C,25.0,HOU,13.0,3.0,104.0,15.0,0.488,0.0,0.055999999999999994,13.6,18.4,16.1,1.8,1.0,0.7,5.1,17.3,,0.2,0.1,0.3,0.126,,-2.3,-3.4,-5.8,-0.1,17.0,36.0,0.47200000000000003,0.0,0.0,,17.0,36.0,0.47200000000000003,0.47200000000000003,2.0,2.0,1.0,12.0,17.0,29.0,1.0,2.0,1.0,2.0,10.0,36.0
16148,16148,2003.0,Steve Francis,PG,25.0,HOU,81.0,81.0,3318.0,20.6,0.541,0.183,0.45399999999999996,5.7,11.5,8.7,28.0,2.3,0.9,16.0,26.1,,7.4,3.7,11.1,0.16,,4.1,0.8,4.9,5.8,571.0,1312.0,0.435,85.0,240.0,0.354,486.0,1072.0,0.45299999999999996,0.46799999999999997,476.0,595.0,0.8,159.0,340.0,499.0,502.0,141.0,41.0,299.0,251.0,1703.0
16170,16170,2003.0,Eddie Griffin,PF,20.0,HOU,77.0,66.0,1890.0,15.4,0.462,0.28300000000000003,0.139,8.6,19.2,14.0,8.0,1.5,4.2,9.6,19.4,,1.0,2.9,3.9,0.1,,-1.1,1.5,0.4,1.1,271.0,678.0,0.4,64.0,192.0,0.33299999999999996,207.0,486.0,0.426,0.447,58.0,94.0,0.617,138.0,323.0,461.0,86.0,52.0,111.0,76.0,136.0,664.0
16191,16191,2003.0,Juaquin Hawkins,SG,29.0,HOU,58.0,10.0,685.0,7.3,0.42700000000000005,0.162,0.135,2.8,10.2,6.6,10.9,2.3,0.6,15.6,12.5,,-0.3,0.7,0.4,0.027000000000000003,,-3.8,0.5,-3.3,-0.2,57.0,148.0,0.385,10.0,24.0,0.41700000000000004,47.0,124.0,0.379,0.419,10.0,20.0,0.5,16.0,62.0,78.0,47.0,29.0,6.0,29.0,57.0,134.0
16263,16263,2003.0,Tito Maddox,SG,21.0,HOU,9.0,0.0,35.0,11.2,0.354,0.25,0.667,3.4,19.3,11.5,22.8,4.6,2.0,16.2,24.4,,-0.1,0.1,0.0,-0.011000000000000001,,-4.7,2.5,-2.2,0.0,3.0,12.0,0.25,0.0,3.0,0.0,3.0,9.0,0.33299999999999996,0.25,5.0,8.0,0.625,1.0,6.0,7.0,5.0,3.0,1.0,3.0,4.0,11.0
16300,16300,2003.0,Yao Ming*,C,22.0,HOU,82.0,72.0,2382.0,20.6,0.57,0.002,0.461,9.7,22.6,16.3,10.6,0.7,4.4,15.2,22.1,,5.2,3.5,8.7,0.17600000000000002,,0.2,1.7,1.9,2.4,401.0,805.0,0.498,1.0,2.0,0.5,400.0,803.0,0.498,0.499,301.0,371.0,0.8109999999999999,196.0,479.0,675.0,137.0,31.0,147.0,173.0,230.0,1104.0
16301,16301,2003.0,Cuttino Mobley,SG,27.0,HOU,73.0,73.0,3044.0,14.7,0.537,0.298,0.264,2.7,8.6,5.7,12.2,1.7,0.8,12.2,20.6,,4.5,2.5,6.9,0.109,,1.7,-0.3,1.3,2.5,463.0,1067.0,0.434,112.0,318.0,0.35200000000000004,351.0,749.0,0.469,0.486,242.0,282.0,0.858,70.0,233.0,303.0,208.0,95.0,36.0,166.0,185.0,1280.0
16307,16307,2003.0,Terence Morris,SF,24.0,HOU,49.0,0.0,632.0,11.9,0.5,0.182,0.08,7.5,15.7,11.7,6.8,0.7,1.9,13.7,15.4,,0.3,0.6,0.9,0.07,,-2.4,-0.6,-3.0,-0.2,82.0,176.0,0.466,7.0,32.0,0.21899999999999997,75.0,144.0,0.521,0.486,11.0,14.0,0.7859999999999999,40.0,88.0,128.0,25.0,8.0,17.0,29.0,35.0,182.0
16315,16315,2003.0,Bostjan Nachbar,SF,22.0,HOU,14.0,1.0,77.0,5.8,0.41,0.32299999999999995,0.32299999999999995,4.6,11.7,8.2,6.8,1.4,1.9,14.5,24.8,,-0.2,0.1,-0.1,-0.053,,-5.5,-2.6,-8.1,-0.1,11.0,31.0,0.355,2.0,10.0,0.2,9.0,21.0,0.429,0.387,5.0,10.0,0.5,3.0,8.0,11.0,3.0,2.0,2.0,6.0,13.0,29.0
