,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18243,18243,2007.0,Darrell Armstrong,PG,38.0,IND,81.0,4.0,1275.0,15.1,0.547,0.568,0.247,3.0,9.3,6.1,24.8,2.9,0.4,15.4,17.4,,1.7,1.5,3.2,0.121,,1.7,-0.6,1.1,1.0,156.0,377.0,0.414,72.0,214.0,0.336,84.0,163.0,0.515,0.509,73.0,93.0,0.785,34.0,101.0,135.0,191.0,70.0,6.0,76.0,102.0,457.0
18259,18259,2007.0,Maceo Baston,PF,31.0,IND,47.0,2.0,405.0,13.7,0.7140000000000001,0.092,0.618,5.9,15.4,10.6,6.5,1.5,3.4,24.9,14.2,,0.5,0.5,1.1,0.127,,-1.9,1.4,-0.6,0.1,49.0,76.0,0.645,3.0,7.0,0.429,46.0,69.0,0.667,0.664,37.0,47.0,0.787,21.0,53.0,74.0,16.0,12.0,18.0,32.0,65.0,138.0
18329,18329,2007.0,Marquis Daniels,SG,26.0,IND,45.0,4.0,800.0,11.6,0.506,0.09300000000000001,0.285,3.7,8.3,5.9,12.6,1.8,0.7,14.8,20.8,,-0.1,0.7,0.6,0.036000000000000004,,-2.7,-1.0,-3.7,-0.4,129.0,281.0,0.45899999999999996,6.0,26.0,0.231,123.0,255.0,0.48200000000000004,0.47,56.0,80.0,0.7,26.0,56.0,82.0,57.0,27.0,7.0,55.0,56.0,320.0
18342,18342,2007.0,Ike Diogu,PF,23.0,IND,42.0,2.0,538.0,13.5,0.539,0.0,0.525,11.4,18.8,15.0,6.5,0.5,2.1,17.9,22.8,,0.3,0.6,0.9,0.076,,-3.5,-1.4,-4.9,-0.4,83.0,183.0,0.45399999999999996,0.0,0.0,,83.0,183.0,0.45399999999999996,0.45399999999999996,77.0,96.0,0.802,54.0,86.0,140.0,20.0,5.0,15.0,49.0,87.0,243.0
18354,18354,2007.0,Mike Dunleavy,SG,26.0,IND,43.0,43.0,1529.0,13.8,0.544,0.25,0.35,3.3,15.4,9.2,12.4,1.6,0.5,12.3,18.5,,1.6,1.6,3.2,0.102,,0.1,0.4,0.6,1.0,218.0,480.0,0.45399999999999996,34.0,120.0,0.28300000000000003,184.0,360.0,0.511,0.49,133.0,168.0,0.792,44.0,200.0,244.0,111.0,46.0,10.0,78.0,120.0,603.0
18371,18371,2007.0,Jeff Foster,C,30.0,IND,75.0,43.0,1740.0,13.0,0.513,0.004,0.469,16.5,24.1,20.2,5.0,1.9,1.6,18.2,9.9,,1.8,2.7,4.5,0.124,,-1.4,2.3,0.9,1.3,122.0,260.0,0.469,0.0,1.0,0.0,122.0,259.0,0.47100000000000003,0.469,78.0,122.0,0.639,253.0,356.0,609.0,57.0,62.0,37.0,70.0,202.0,322.0
18395,18395,2007.0,Danny Granger,SF,23.0,IND,82.0,57.0,2785.0,13.9,0.573,0.332,0.33899999999999997,4.6,11.3,7.9,7.0,1.2,1.7,11.9,18.2,,3.9,2.6,6.5,0.111,,0.8,0.0,0.9,2.0,398.0,868.0,0.45899999999999996,110.0,288.0,0.382,288.0,580.0,0.49700000000000005,0.522,236.0,294.0,0.8029999999999999,114.0,267.0,381.0,114.0,67.0,61.0,135.0,245.0,1142.0
18398,18398,2007.0,Orien Greene,SG,24.0,IND,41.0,0.0,254.0,6.5,0.43200000000000005,0.177,0.40299999999999997,5.4,14.9,10.0,13.6,3.5,1.2,27.7,17.8,,-0.6,0.4,-0.2,-0.034,,-6.0,2.0,-4.0,-0.1,23.0,62.0,0.371,2.0,11.0,0.182,21.0,51.0,0.41200000000000003,0.387,15.0,25.0,0.6,12.0,32.0,44.0,22.0,17.0,4.0,28.0,38.0,63.0
18406,18406,2007.0,Al Harrington,PF,26.0,IND,36.0,36.0,1208.0,13.4,0.5379999999999999,0.242,0.207,6.7,15.1,10.8,7.8,1.1,0.6,14.6,23.1,,0.3,1.1,1.5,0.059000000000000004,,-0.6,-1.1,-1.7,0.1,223.0,487.0,0.45799999999999996,54.0,118.0,0.45799999999999996,169.0,369.0,0.45799999999999996,0.513,72.0,101.0,0.713,71.0,155.0,226.0,51.0,25.0,10.0,91.0,116.0,572.0
18411,18411,2007.0,David Harrison,C,24.0,IND,24.0,2.0,190.0,7.0,0.525,0.0,0.379,5.4,20.5,12.8,5.6,1.4,4.8,27.8,22.1,,-0.5,0.3,-0.2,-0.04,,-8.1,1.3,-6.8,-0.2,30.0,58.0,0.517,0.0,0.0,,30.0,58.0,0.517,0.517,11.0,22.0,0.5,9.0,33.0,42.0,6.0,5.0,12.0,26.0,47.0,71.0
