,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10511,10511,1992.0,Tony Brown,SF,31.0,LAC,22.0,0.0,254.0,10.5,0.506,0.247,0.326,3.9,8.4,6.1,9.1,2.3,0.2,12.1,19.4,,0.0,0.3,0.3,0.064,,-1.9,-0.9,-2.8,-0.1,39.0,89.0,0.43799999999999994,7.0,22.0,0.318,32.0,67.0,0.478,0.478,18.0,29.0,0.621,9.0,19.0,28.0,16.0,12.0,1.0,14.0,31.0,103.0
10543,10543,1992.0,Lanard Copeland,SG,26.0,LAC,10.0,0.0,48.0,4.0,0.335,0.087,0.087,2.3,14.0,8.1,14.9,2.1,0.0,14.3,24.7,,-0.2,0.1,-0.1,-0.11599999999999999,,-8.6,-1.3,-9.9,-0.1,7.0,23.0,0.304,0.0,2.0,0.0,7.0,21.0,0.33299999999999996,0.304,2.0,2.0,1.0,1.0,6.0,7.0,5.0,2.0,0.0,4.0,5.0,16.0
10575,10575,1992.0,James Edwards,C,36.0,LAC,72.0,11.0,1437.0,11.7,0.531,0.002,0.504,4.2,11.4,7.8,5.5,0.8,1.4,9.9,21.6,,1.3,1.5,2.8,0.094,,-2.6,-1.4,-4.0,-0.7,250.0,538.0,0.465,0.0,1.0,0.0,250.0,537.0,0.466,0.465,198.0,271.0,0.731,55.0,147.0,202.0,53.0,24.0,33.0,72.0,236.0,698.0
10581,10581,1992.0,LeRon Ellis,C,22.0,LAC,29.0,0.0,103.0,8.6,0.368,0.0,0.38,12.9,13.0,13.0,1.4,2.9,5.5,15.9,28.6,,-0.4,0.2,-0.2,-0.1,,-9.7,-0.4,-10.2,-0.2,17.0,50.0,0.34,0.0,0.0,,17.0,50.0,0.34,0.34,9.0,19.0,0.474,12.0,12.0,24.0,1.0,6.0,9.0,11.0,11.0,43.0
10610,10610,1992.0,Gary Grant,PG,26.0,LAC,78.0,53.0,2049.0,13.4,0.49200000000000005,0.086,0.091,1.8,8.2,5.0,37.0,3.3,0.4,23.2,16.7,,0.0,2.9,3.0,0.069,,-1.7,0.1,-1.6,0.2,275.0,595.0,0.462,15.0,51.0,0.294,260.0,544.0,0.478,0.475,44.0,54.0,0.815,34.0,150.0,184.0,538.0,138.0,14.0,187.0,181.0,609.0
10628,10628,1992.0,Ron Harper,SG,28.0,LAC,82.0,82.0,3144.0,15.4,0.51,0.163,0.308,4.2,11.6,7.9,20.0,2.4,1.4,14.7,23.3,,1.1,4.4,5.6,0.085,,0.6,1.7,2.4,3.4,569.0,1292.0,0.44,64.0,211.0,0.303,505.0,1081.0,0.467,0.465,293.0,398.0,0.736,120.0,327.0,447.0,417.0,152.0,72.0,252.0,199.0,1495.0
10671,10671,1992.0,Bo Kimble,SG,25.0,LAC,34.0,0.0,277.0,9.1,0.449,0.11699999999999999,0.27899999999999997,5.2,7.7,6.4,9.0,1.8,1.4,10.7,21.4,,-0.2,0.3,0.1,0.023,,-3.8,-1.1,-4.9,-0.2,44.0,111.0,0.396,4.0,13.0,0.308,40.0,98.0,0.408,0.414,20.0,31.0,0.645,13.0,19.0,32.0,17.0,10.0,6.0,15.0,37.0,112.0
10706,10706,1992.0,Danny Manning,PF,25.0,LAC,82.0,82.0,2904.0,19.7,0.5770000000000001,0.004,0.321,8.7,12.9,10.8,15.8,2.3,2.6,13.3,23.1,,5.3,4.5,9.8,0.162,,2.8,2.6,5.5,5.5,650.0,1199.0,0.542,0.0,5.0,0.0,650.0,1194.0,0.544,0.542,279.0,385.0,0.725,229.0,335.0,564.0,285.0,135.0,122.0,210.0,293.0,1579.0
10717,10717,1992.0,Tharon Mayes,SG,23.0,LAC,3.0,0.0,40.0,4.3,0.589,0.4,1.2,0.0,2.8,1.4,9.4,2.5,1.6,28.2,11.3,,0.0,0.0,0.0,0.040999999999999995,,-4.3,0.3,-4.1,0.0,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.33299999999999996,0.5,4.0,6.0,0.667,0.0,1.0,1.0,3.0,2.0,1.0,3.0,9.0,9.0
10746,10746,1992.0,Ken Norman,SF,27.0,LAC,77.0,24.0,2009.0,15.3,0.505,0.034,0.275,8.7,16.2,12.4,9.7,1.3,2.1,9.8,21.6,,1.2,2.8,4.0,0.095,,-0.9,0.7,-0.2,0.9,402.0,821.0,0.49,4.0,28.0,0.14300000000000002,398.0,793.0,0.502,0.49200000000000005,121.0,226.0,0.535,158.0,290.0,448.0,125.0,53.0,66.0,100.0,145.0,929.0
