,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20546,20546,2011.0,Matt Barnes,SF,30.0,LAL,53.0,0.0,1020.0,14.6,0.569,0.384,0.276,8.4,16.7,12.7,10.5,2.0,1.6,15.6,16.6,,1.4,1.6,3.0,0.142,,0.6,1.2,1.8,1.0,131.0,279.0,0.47,34.0,107.0,0.318,97.0,172.0,0.564,0.53,60.0,77.0,0.779,73.0,155.0,228.0,71.0,39.0,22.0,58.0,127.0,356.0
20574,20574,2011.0,Steve Blake,PG,30.0,LAL,79.0,0.0,1581.0,7.5,0.5,0.631,0.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,,0.3,1.5,1.8,0.055,,-1.9,-0.4,-2.3,-0.1,110.0,306.0,0.359,73.0,193.0,0.37799999999999995,37.0,113.0,0.327,0.479,26.0,30.0,0.867,19.0,137.0,156.0,170.0,40.0,3.0,73.0,99.0,319.0
20599,20599,2011.0,Shannon Brown,SG,25.0,LAL,82.0,0.0,1568.0,13.6,0.518,0.33,0.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,,1.1,1.9,3.1,0.09300000000000001,,-0.6,-1.1,-1.7,0.1,273.0,643.0,0.425,74.0,212.0,0.349,199.0,431.0,0.462,0.48200000000000004,92.0,101.0,0.9109999999999999,35.0,122.0,157.0,96.0,67.0,16.0,75.0,124.0,712.0
20600,20600,2011.0,Kobe Bryant,SG,32.0,LAL,82.0,82.0,2779.0,23.9,0.5479999999999999,0.217,0.35600000000000004,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,,6.8,3.5,10.3,0.17800000000000002,,4.7,-0.9,3.8,4.1,740.0,1639.0,0.451,115.0,356.0,0.32299999999999995,625.0,1283.0,0.48700000000000004,0.48700000000000004,483.0,583.0,0.828,83.0,336.0,419.0,388.0,99.0,12.0,243.0,172.0,2078.0
20606,20606,2011.0,Andrew Bynum,C,23.0,LAL,54.0,47.0,1500.0,21.1,0.606,0.0,0.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,,3.8,2.8,6.6,0.21,,0.5,2.8,3.3,2.0,237.0,413.0,0.574,0.0,0.0,,237.0,413.0,0.574,0.574,138.0,209.0,0.66,170.0,338.0,508.0,73.0,19.0,106.0,74.0,140.0,612.0
20610,20610,2011.0,Derrick Caracter,C,22.0,LAL,41.0,0.0,215.0,10.0,0.532,0.0,0.348,10.3,12.2,11.3,5.1,1.0,3.5,20.0,20.2,,0.0,0.3,0.3,0.057,,-4.5,-0.3,-4.9,-0.2,32.0,66.0,0.485,0.0,0.0,,32.0,66.0,0.485,0.485,17.0,23.0,0.7390000000000001,19.0,24.0,43.0,7.0,4.0,10.0,19.0,47.0,81.0
20685,20685,2011.0,Devin Ebanks,SG,21.0,LAL,20.0,0.0,118.0,19.4,0.507,0.098,0.451,14.9,11.1,13.0,2.8,1.8,3.2,8.9,25.9,,0.2,0.2,0.4,0.14400000000000002,,-1.8,-2.5,-4.3,-0.1,21.0,51.0,0.41200000000000003,2.0,5.0,0.4,19.0,46.0,0.413,0.431,18.0,23.0,0.7829999999999999,15.0,12.0,27.0,2.0,4.0,5.0,6.0,7.0,62.0
20711,20711,2011.0,Derek Fisher,PG,36.0,LAL,82.0,82.0,2297.0,8.9,0.486,0.301,0.195,0.7,6.6,3.7,14.0,2.3,0.3,10.9,12.8,,1.2,2.5,3.7,0.078,,-1.6,0.3,-1.2,0.4,206.0,529.0,0.389,63.0,159.0,0.396,143.0,370.0,0.386,0.449,83.0,103.0,0.8059999999999999,14.0,138.0,152.0,224.0,99.0,8.0,70.0,192.0,558.0
20731,20731,2011.0,Pau Gasol,C,30.0,LAL,82.0,82.0,3037.0,23.3,0.589,0.003,0.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,,10.0,4.7,14.7,0.23199999999999998,,3.0,2.2,5.3,5.6,593.0,1120.0,0.529,1.0,3.0,0.33299999999999996,592.0,1117.0,0.53,0.53,354.0,430.0,0.823,268.0,568.0,836.0,273.0,48.0,130.0,142.0,203.0,1541.0
20836,20836,2011.0,Trey Johnson,SG,26.0,LAL,1.0,0.0,13.0,16.2,0.773,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,,0.1,0.0,0.1,0.23,,0.8,-4.5,-3.7,0.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
20933,20933,2011.0,Lamar Odom,PF,31.0,LAL,82.0,35.0,2639.0,19.4,0.589,0.19899999999999998,0.275,7.8,22.2,15.2,15.5,0.9,1.8,12.2,19.7,,6.1,4.0,10.1,0.184,,2.3,1.4,3.7,3.8,473.0,893.0,0.53,68.0,178.0,0.382,405.0,715.0,0.5660000000000001,0.568,166.0,246.0,0.675,175.0,535.0,710.0,249.0,47.0,61.0,139.0,200.0,1180.0
20978,20978,2011.0,Theo Ratliff,C,37.0,LAL,10.0,0.0,71.0,4.4,0.145,0.0,0.33299999999999996,9.9,10.8,10.4,5.5,1.5,5.4,30.4,6.3,,-0.1,0.1,0.0,0.0,,-6.4,4.7,-1.8,0.0,1.0,6.0,0.16699999999999998,0.0,0.0,,1.0,6.0,0.16699999999999998,0.16699999999999998,0.0,2.0,0.0,6.0,7.0,13.0,3.0,2.0,5.0,3.0,7.0,2.0
