,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18816,18816,2008.0,Andre Brown,PF,26.0,MEM,33.0,1.0,286.0,13.5,0.502,0.0,0.628,14.4,21.8,18.0,4.4,1.2,1.0,12.3,17.7,,0.2,0.2,0.4,0.068,,-3.1,-2.0,-5.1,-0.2,39.0,78.0,0.5,0.0,0.0,,39.0,78.0,0.5,0.5,22.0,49.0,0.449,37.0,55.0,92.0,8.0,7.0,4.0,14.0,38.0,100.0
18820,18820,2008.0,Kwame Brown,C,25.0,MEM,15.0,1.0,204.0,11.1,0.48200000000000004,0.0,0.872,10.9,20.5,15.7,12.3,1.5,1.4,20.6,14.8,,0.0,0.2,0.1,0.034,,-3.3,0.9,-2.4,0.0,19.0,39.0,0.48700000000000004,0.0,0.0,,19.0,39.0,0.48700000000000004,0.48700000000000004,14.0,34.0,0.41200000000000003,20.0,37.0,57.0,17.0,6.0,4.0,14.0,24.0,52.0
18832,18832,2008.0,Brian Cardinal,PF,30.0,MEM,37.0,1.0,440.0,7.3,0.461,0.643,0.151,6.6,18.0,12.2,7.4,1.1,0.3,14.6,15.9,,-0.2,0.2,0.0,0.003,,-2.4,-1.8,-4.3,-0.3,43.0,126.0,0.341,25.0,81.0,0.309,18.0,45.0,0.4,0.44,13.0,19.0,0.684,26.0,70.0,96.0,22.0,10.0,2.0,23.0,62.0,124.0
18846,18846,2008.0,Jason Collins,C,29.0,MEM,31.0,3.0,488.0,5.4,0.528,0.017,0.644,6.6,13.9,10.2,1.7,1.2,2.5,24.8,9.2,,-0.2,0.3,0.1,0.015,,-4.8,0.6,-4.2,-0.3,30.0,59.0,0.508,0.0,1.0,0.0,30.0,58.0,0.517,0.508,20.0,38.0,0.526,29.0,60.0,89.0,6.0,12.0,17.0,25.0,84.0,80.0
18849,18849,2008.0,Mike Conley,PG,20.0,MEM,53.0,46.0,1381.0,12.6,0.502,0.20600000000000002,0.278,1.7,9.7,5.6,25.3,1.6,0.1,15.2,18.8,,0.6,0.5,1.1,0.038,,-1.1,-1.8,-3.0,-0.3,189.0,442.0,0.428,30.0,91.0,0.33,159.0,351.0,0.45299999999999996,0.462,90.0,123.0,0.732,21.0,118.0,139.0,222.0,44.0,2.0,89.0,85.0,498.0
18857,18857,2008.0,Javaris Crittenton,SG,20.0,MEM,28.0,0.0,508.0,11.0,0.483,0.18899999999999997,0.42200000000000004,4.4,15.4,9.8,10.3,1.2,0.3,13.4,21.6,,-0.2,0.2,0.0,0.001,,-3.4,-2.0,-5.4,-0.4,72.0,180.0,0.4,9.0,34.0,0.265,63.0,146.0,0.43200000000000005,0.425,53.0,76.0,0.6970000000000001,20.0,69.0,89.0,33.0,12.0,2.0,33.0,35.0,206.0
18926,18926,2008.0,Pau Gasol,C,27.0,MEM,39.0,39.0,1433.0,20.1,0.5660000000000001,0.027000000000000003,0.386,7.3,19.6,13.4,14.0,0.6,2.8,10.9,22.7,,3.0,0.9,3.9,0.129,,1.0,0.5,1.5,1.3,279.0,557.0,0.501,4.0,15.0,0.267,275.0,542.0,0.507,0.504,176.0,215.0,0.8190000000000001,94.0,248.0,342.0,116.0,16.0,56.0,80.0,85.0,738.0
18928,18928,2008.0,Rudy Gay,SF,21.0,MEM,81.0,81.0,3000.0,17.4,0.546,0.28600000000000003,0.233,5.2,13.5,9.3,9.3,1.9,1.9,11.3,25.0,,2.9,2.1,5.0,0.08,,1.3,-0.5,0.8,2.1,625.0,1355.0,0.461,134.0,387.0,0.34600000000000003,491.0,968.0,0.507,0.511,248.0,316.0,0.785,140.0,359.0,499.0,158.0,111.0,79.0,190.0,230.0,1632.0
19015,19015,2008.0,Casey Jacobsen,SG,26.0,MEM,53.0,0.0,547.0,4.5,0.43700000000000006,0.626,0.14800000000000002,2.4,11.0,6.7,5.2,0.5,0.1,11.6,11.3,,-0.3,0.0,-0.3,-0.023,,-3.8,-2.2,-6.1,-0.6,39.0,115.0,0.33899999999999997,16.0,72.0,0.222,23.0,43.0,0.535,0.409,13.0,17.0,0.765,12.0,53.0,65.0,20.0,5.0,1.0,16.0,34.0,107.0
19039,19039,2008.0,Bobby Jones,SF,24.0,MEM,9.0,2.0,137.0,12.1,0.495,0.361,0.278,8.1,14.0,11.0,12.0,1.8,1.1,11.0,14.7,,0.1,0.1,0.2,0.079,,-0.6,-0.2,-0.9,0.0,14.0,36.0,0.389,3.0,13.0,0.231,11.0,23.0,0.478,0.431,9.0,10.0,0.9,10.0,17.0,27.0,11.0,5.0,2.0,5.0,17.0,40.0
