,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17079,17079,2005.0,Malik Allen,PF,26.0,MIA,14.0,0.0,248.0,13.6,0.505,0.0,0.184,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,,0.3,0.3,0.6,0.113,,-1.7,0.6,-1.1,0.1,35.0,76.0,0.461,0.0,0.0,,35.0,76.0,0.461,0.461,13.0,14.0,0.929,24.0,28.0,52.0,11.0,4.0,11.0,11.0,29.0,83.0
17091,17091,2005.0,Shandon Anderson,SF,31.0,MIA,65.0,5.0,1151.0,9.2,0.522,0.13,0.307,4.2,14.6,9.6,8.8,1.8,0.9,16.7,11.9,,0.5,1.6,2.2,0.09,,-2.3,1.5,-0.9,0.3,98.0,215.0,0.456,5.0,28.0,0.179,93.0,187.0,0.49700000000000005,0.467,54.0,66.0,0.818,40.0,150.0,190.0,70.0,40.0,14.0,49.0,136.0,255.0
17165,17165,2005.0,Rasual Butler,SF,25.0,MIA,65.0,15.0,1203.0,10.3,0.488,0.374,0.11699999999999999,1.5,12.7,7.3,8.1,0.8,1.8,7.9,18.1,,0.3,1.4,1.7,0.068,,-2.0,-0.9,-2.9,-0.3,163.0,409.0,0.39899999999999997,57.0,153.0,0.373,106.0,256.0,0.414,0.46799999999999997,37.0,48.0,0.7709999999999999,15.0,136.0,151.0,62.0,18.0,29.0,37.0,104.0,420.0
17230,17230,2005.0,Michael Doleac,C,27.0,MIA,80.0,8.0,1175.0,9.7,0.46,0.006,0.124,7.7,17.7,12.9,6.2,1.0,1.4,9.3,15.3,,0.2,1.6,1.9,0.076,,-3.5,0.1,-3.4,-0.4,148.0,331.0,0.447,0.0,2.0,0.0,148.0,329.0,0.45,0.447,25.0,41.0,0.61,74.0,185.0,259.0,47.0,23.0,22.0,36.0,160.0,321.0
17231,17231,2005.0,Keyon Dooling,PG,24.0,MIA,74.0,0.0,1184.0,10.1,0.486,0.217,0.316,1.1,7.5,4.4,17.0,1.7,0.7,14.2,18.0,,0.2,1.3,1.5,0.061,,-2.6,-1.1,-3.7,-0.5,139.0,345.0,0.40299999999999997,19.0,75.0,0.253,120.0,270.0,0.444,0.43,85.0,109.0,0.78,11.0,79.0,90.0,132.0,39.0,11.0,65.0,120.0,382.0
17302,17302,2005.0,Udonis Haslem,PF,24.0,MIA,80.0,80.0,2675.0,15.5,0.588,0.006,0.35100000000000003,10.9,20.4,15.8,6.3,1.2,1.1,13.2,14.9,,5.2,4.0,9.2,0.165,,0.6,1.3,1.8,2.6,346.0,641.0,0.54,0.0,4.0,0.0,346.0,637.0,0.5429999999999999,0.54,178.0,225.0,0.7909999999999999,239.0,487.0,726.0,108.0,63.0,41.0,113.0,260.0,870.0
17361,17361,2005.0,Damon Jones,PG,28.0,MIA,82.0,66.0,2576.0,15.5,0.625,0.718,0.11800000000000001,0.7,9.5,5.2,21.0,0.9,0.1,11.4,15.6,,6.5,2.3,8.7,0.162,,4.1,-1.7,2.5,2.9,331.0,726.0,0.456,225.0,521.0,0.43200000000000005,106.0,205.0,0.517,0.611,68.0,86.0,0.7909999999999999,14.0,217.0,231.0,350.0,44.0,5.0,98.0,121.0,955.0
17362,17362,2005.0,Eddie Jones,SF,33.0,MIA,80.0,80.0,2839.0,13.6,0.556,0.466,0.263,1.6,14.5,8.3,11.5,1.6,1.0,9.8,16.6,,4.2,3.8,8.0,0.135,,1.5,0.9,2.4,3.1,351.0,820.0,0.428,142.0,382.0,0.37200000000000005,209.0,438.0,0.47700000000000004,0.515,174.0,216.0,0.8059999999999999,38.0,367.0,405.0,212.0,86.0,38.0,99.0,251.0,1018.0
17380,17380,2005.0,Christian Laettner,PF,35.0,MIA,49.0,0.0,739.0,16.3,0.619,0.038,0.321,5.9,14.4,10.3,8.8,2.3,1.5,12.1,15.1,,1.5,1.2,2.7,0.174,,0.3,1.3,1.6,0.7,107.0,184.0,0.5820000000000001,1.0,7.0,0.14300000000000002,106.0,177.0,0.599,0.584,45.0,59.0,0.763,36.0,95.0,131.0,41.0,32.0,15.0,29.0,78.0,260.0
17439,17439,2005.0,Alonzo Mourning*,C,34.0,MIA,19.0,3.0,245.0,18.9,0.551,0.0,0.887,10.9,22.4,16.9,2.5,0.6,9.9,12.2,18.7,,0.3,0.5,0.9,0.17300000000000001,,-3.5,2.7,-0.8,0.1,32.0,62.0,0.516,0.0,0.0,,32.0,62.0,0.516,0.516,31.0,55.0,0.564,22.0,49.0,71.0,4.0,3.0,33.0,12.0,32.0,95.0
