,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16011,16011,2003.0,Ray Allen,SG,27.0,MIL,47.0,46.0,1683.0,19.9,0.564,0.387,0.243,3.1,12.1,7.6,17.5,1.8,0.5,11.6,27.8,,3.8,0.5,4.3,0.12300000000000001,,4.5,-2.6,1.9,1.6,351.0,803.0,0.43700000000000006,123.0,311.0,0.395,228.0,492.0,0.46299999999999997,0.514,178.0,195.0,0.9129999999999999,45.0,173.0,218.0,164.0,57.0,11.0,117.0,149.0,1003.0
16079,16079,2003.0,Jason Caffey,PF,29.0,MIL,51.0,16.0,894.0,10.5,0.501,0.0,0.42700000000000005,8.9,14.2,11.5,6.7,1.1,1.2,16.0,18.3,,0.3,0.3,0.6,0.031,,-2.9,-1.9,-4.8,-0.6,113.0,248.0,0.456,0.0,0.0,,113.0,248.0,0.456,0.456,69.0,106.0,0.6509999999999999,68.0,108.0,176.0,38.0,19.0,15.0,56.0,122.0,295.0
16087,16087,2003.0,Sam Cassell,PG,33.0,MIL,78.0,77.0,2700.0,22.3,0.565,0.14,0.385,2.5,12.4,7.4,29.6,1.7,0.4,11.5,26.5,,8.8,0.8,9.6,0.171,,4.5,-2.0,2.6,3.1,546.0,1162.0,0.47,59.0,163.0,0.36200000000000004,487.0,999.0,0.48700000000000004,0.495,385.0,447.0,0.861,57.0,285.0,342.0,450.0,88.0,14.0,177.0,216.0,1536.0
16150,16150,2003.0,Dan Gadzuric,C,24.0,MIL,49.0,30.0,760.0,11.2,0.498,0.006999999999999999,0.386,10.1,20.3,15.2,1.8,1.5,5.1,13.7,12.0,,0.4,0.7,1.2,0.075,,-3.5,0.7,-2.9,-0.2,70.0,145.0,0.483,0.0,1.0,0.0,70.0,144.0,0.486,0.483,29.0,56.0,0.518,66.0,131.0,197.0,9.0,22.0,52.0,27.0,125.0,169.0
16173,16173,2003.0,Marcus Haislip,PF,22.0,MIL,39.0,8.0,441.0,9.6,0.474,0.078,0.248,5.5,8.5,7.0,3.3,0.8,3.0,11.0,20.1,,-0.1,0.1,0.0,-0.003,,-4.3,-2.9,-7.2,-0.6,66.0,153.0,0.431,3.0,12.0,0.25,63.0,141.0,0.447,0.441,26.0,38.0,0.684,21.0,32.0,53.0,9.0,7.0,18.0,21.0,55.0,161.0
16232,16232,2003.0,Ervin Johnson,C,35.0,MIL,69.0,17.0,1170.0,9.4,0.49200000000000005,0.0,0.326,11.7,17.8,14.7,2.9,1.5,4.0,18.1,7.5,,1.0,0.9,1.9,0.079,,-2.4,1.6,-0.8,0.4,61.0,135.0,0.452,0.0,0.0,,61.0,135.0,0.452,0.452,30.0,44.0,0.682,117.0,177.0,294.0,24.0,34.0,63.0,34.0,178.0,152.0
16248,16248,2003.0,Toni Kukoc,PF,34.0,MIL,63.0,0.0,1704.0,18.0,0.551,0.456,0.336,4.6,13.7,9.1,21.8,2.5,1.3,15.6,21.4,,2.9,1.1,4.0,0.11199999999999999,,3.0,-0.5,2.5,1.9,249.0,577.0,0.43200000000000005,95.0,263.0,0.361,154.0,314.0,0.49,0.514,137.0,194.0,0.706,67.0,199.0,266.0,230.0,81.0,29.0,122.0,134.0,730.0
16277,16277,2003.0,Anthony Mason,C,36.0,MIL,65.0,58.0,2119.0,11.3,0.524,0.003,0.298,4.9,18.1,11.5,14.6,0.8,0.4,15.1,11.5,,2.5,0.6,3.1,0.069,,-1.0,0.0,-0.9,0.6,191.0,393.0,0.486,0.0,1.0,0.0,191.0,392.0,0.48700000000000004,0.486,84.0,117.0,0.718,90.0,326.0,416.0,209.0,32.0,12.0,79.0,147.0,466.0
16280,16280,2003.0,Desmond Mason,SF,25.0,MIL,28.0,25.0,952.0,16.9,0.525,0.049,0.29100000000000004,8.1,15.1,11.6,12.1,1.1,0.9,9.4,21.3,,1.8,0.3,2.0,0.10300000000000001,,0.9,-1.5,-0.6,0.3,166.0,350.0,0.474,5.0,17.0,0.294,161.0,333.0,0.483,0.48100000000000004,78.0,102.0,0.765,66.0,122.0,188.0,68.0,20.0,11.0,41.0,74.0,415.0
16310,16310,2003.0,Ronald Murray,SG,23.0,MIL,12.0,0.0,42.0,10.7,0.39,0.154,0.308,0.0,2.8,1.4,13.0,5.1,0.0,11.9,37.1,,-0.2,0.0,-0.1,-0.165,,-7.4,-5.1,-12.5,-0.1,9.0,26.0,0.34600000000000003,0.0,4.0,0.0,9.0,22.0,0.409,0.34600000000000003,5.0,8.0,0.625,0.0,1.0,1.0,3.0,4.0,0.0,4.0,0.0,23.0
