,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21692,21692,2013.0,Lou Amundson,PF,30.0,MIN,20.0,0.0,161.0,6.3,0.342,0.0,0.526,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,,-0.4,0.2,-0.1,-0.038,,-6.9,0.9,-5.9,-0.2,14.0,38.0,0.368,0.0,0.0,,14.0,38.0,0.368,0.368,4.0,20.0,0.2,23.0,24.0,47.0,3.0,7.0,6.0,11.0,26.0,32.0
21713,21713,2013.0,J.J. Barea,PG,28.0,MIN,74.0,2.0,1713.0,14.1,0.51,0.369,0.177,2.2,11.9,6.9,30.6,1.0,0.0,15.1,25.1,,0.8,1.0,1.9,0.053,,1.1,-2.1,-1.0,0.4,316.0,758.0,0.41700000000000004,97.0,280.0,0.34600000000000003,219.0,478.0,0.45799999999999996,0.48100000000000004,105.0,134.0,0.784,34.0,173.0,207.0,294.0,32.0,0.0,145.0,131.0,834.0
21758,21758,2013.0,Chase Budinger,SF,24.0,MIN,23.0,1.0,508.0,12.6,0.516,0.424,0.22,3.3,13.0,8.0,8.3,1.4,1.1,9.9,20.5,,0.3,0.4,0.7,0.066,,-0.7,-1.1,-1.8,0.0,79.0,191.0,0.414,26.0,81.0,0.321,53.0,110.0,0.48200000000000004,0.48200000000000004,32.0,42.0,0.762,15.0,56.0,71.0,25.0,14.0,7.0,23.0,29.0,216.0
21784,21784,2013.0,Will Conroy,PG,30.0,MIN,4.0,0.0,20.0,-15.2,0.051,0.33299999999999996,0.222,5.5,0.0,2.9,0.0,0.0,0.0,0.0,22.1,,-0.2,0.0,-0.2,-0.433,,-15.9,-6.8,-22.8,-0.1,0.0,9.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
21795,21795,2013.0,Dante Cunningham,PF,25.0,MIN,80.0,9.0,2010.0,13.3,0.485,0.009000000000000001,0.154,7.8,15.6,11.6,5.7,2.2,1.5,7.3,17.2,,1.1,2.4,3.5,0.084,,-2.1,1.1,-0.9,0.5,314.0,671.0,0.46799999999999997,0.0,6.0,0.0,314.0,665.0,0.47200000000000003,0.46799999999999997,67.0,103.0,0.65,142.0,266.0,408.0,67.0,84.0,38.0,56.0,153.0,695.0
21861,21861,2013.0,Mickael Gelabale,SF,29.0,MIN,36.0,13.0,644.0,11.8,0.605,0.374,0.17300000000000001,5.5,12.3,8.8,6.4,1.3,0.5,9.7,11.5,,1.0,0.5,1.5,0.114,,-0.1,0.0,-0.1,0.3,72.0,139.0,0.518,16.0,52.0,0.308,56.0,87.0,0.644,0.5760000000000001,21.0,24.0,0.875,32.0,67.0,99.0,26.0,16.0,4.0,16.0,47.0,181.0
21901,21901,2013.0,Lazar Hayward,SF,26.0,MIN,4.0,0.0,31.0,11.2,0.396,0.4,0.6,0.0,15.2,7.4,14.2,3.3,0.0,0.0,18.3,,0.0,0.0,0.1,0.087,,-2.5,-0.4,-2.9,0.0,2.0,10.0,0.2,0.0,4.0,0.0,2.0,6.0,0.33299999999999996,0.2,6.0,6.0,1.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,3.0,10.0
21920,21920,2013.0,Josh Howard,SF,32.0,MIN,11.0,4.0,207.0,9.5,0.45,0.20800000000000002,0.156,4.8,15.4,9.9,3.2,2.5,1.1,10.8,20.0,,-0.2,0.3,0.0,0.009000000000000001,,-4.6,-0.6,-5.2,-0.2,31.0,77.0,0.40299999999999997,5.0,16.0,0.313,26.0,61.0,0.426,0.435,7.0,12.0,0.583,9.0,27.0,36.0,4.0,10.0,3.0,10.0,18.0,74.0
21946,21946,2013.0,Chris Johnson,C,27.0,MIN,30.0,0.0,284.0,18.4,0.65,0.0,0.45299999999999996,7.8,16.6,12.1,4.9,1.3,7.6,12.6,16.2,,0.6,0.4,1.0,0.17600000000000002,,-1.2,3.1,1.9,0.3,48.0,75.0,0.64,0.0,0.0,,48.0,75.0,0.64,0.64,21.0,34.0,0.618,20.0,40.0,60.0,8.0,7.0,28.0,13.0,49.0,117.0
21973,21973,2013.0,Andrei Kirilenko,SF,31.0,MIN,64.0,64.0,2034.0,17.6,0.59,0.214,0.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,,3.4,2.6,6.0,0.142,,1.4,2.8,4.2,3.2,284.0,560.0,0.507,35.0,120.0,0.292,249.0,440.0,0.5660000000000001,0.5379999999999999,188.0,250.0,0.752,102.0,260.0,362.0,177.0,96.0,62.0,119.0,82.0,791.0
21987,21987,2013.0,Malcolm Lee,SG,22.0,MIN,16.0,12.0,289.0,9.8,0.46,0.316,0.263,5.8,9.8,7.7,10.7,2.1,1.6,10.5,14.7,,0.1,0.3,0.4,0.059000000000000004,,-1.8,0.9,-0.9,0.1,29.0,76.0,0.382,8.0,24.0,0.33299999999999996,21.0,52.0,0.40399999999999997,0.434,12.0,20.0,0.6,15.0,24.0,39.0,20.0,12.0,6.0,10.0,30.0,78.0
22002,22002,2013.0,Kevin Love,PF,24.0,MIN,18.0,18.0,618.0,17.9,0.45799999999999996,0.309,0.47700000000000004,11.5,35.9,23.3,11.8,1.1,1.1,9.8,28.9,,0.1,0.9,1.1,0.084,,-0.8,-0.3,-1.1,0.1,105.0,298.0,0.35200000000000004,20.0,92.0,0.217,85.0,206.0,0.413,0.386,100.0,142.0,0.7040000000000001,64.0,188.0,252.0,42.0,13.0,9.0,39.0,34.0,330.0
22090,22090,2013.0,Nikola Pekovic,C,27.0,MIN,62.0,62.0,1959.0,20.2,0.5720000000000001,0.0,0.43700000000000006,13.0,19.0,15.9,4.9,1.1,2.0,10.3,22.5,,4.6,2.1,6.7,0.163,,0.8,-0.5,0.3,1.2,385.0,741.0,0.52,0.0,0.0,,385.0,741.0,0.52,0.52,241.0,324.0,0.7440000000000001,230.0,315.0,545.0,53.0,43.0,50.0,101.0,143.0,1011.0
22117,22117,2013.0,Luke Ridnour,SG,31.0,MIN,82.0,82.0,2474.0,13.0,0.532,0.261,0.20199999999999999,1.8,7.9,4.8,21.0,1.7,0.5,12.8,18.3,,2.6,1.8,4.3,0.084,,0.3,-0.7,-0.4,1.0,367.0,811.0,0.45299999999999996,66.0,212.0,0.311,301.0,599.0,0.503,0.493,139.0,164.0,0.848,41.0,165.0,206.0,311.0,82.0,15.0,130.0,187.0,939.0
22126,22126,2013.0,Brandon Roy,SG,28.0,MIN,5.0,5.0,122.0,8.3,0.368,0.257,0.28600000000000003,2.7,10.6,6.6,28.8,1.3,0.0,15.1,17.0,,-0.1,0.1,0.0,-0.017,,-3.9,-1.5,-5.5,-0.1,11.0,35.0,0.314,0.0,9.0,0.0,11.0,26.0,0.423,0.314,7.0,10.0,0.7,3.0,11.0,14.0,23.0,3.0,0.0,7.0,5.0,29.0
22127,22127,2013.0,Ricky Rubio,PG,22.0,MIN,57.0,47.0,1691.0,16.2,0.48200000000000004,0.179,0.514,2.9,12.9,7.7,38.8,4.2,0.2,21.4,21.2,,0.4,2.6,3.0,0.085,,0.0,1.8,1.8,1.6,185.0,514.0,0.36,27.0,92.0,0.293,158.0,422.0,0.374,0.386,211.0,264.0,0.799,44.0,185.0,229.0,418.0,137.0,5.0,172.0,143.0,608.0
22141,22141,2013.0,Alexey Shved,SG,24.0,MIN,77.0,16.0,1840.0,11.0,0.474,0.45399999999999996,0.23600000000000002,2.5,8.6,5.4,25.2,1.5,1.1,17.3,20.6,,-0.6,1.4,0.8,0.02,,-1.0,-1.1,-2.1,-0.1,236.0,635.0,0.37200000000000005,85.0,288.0,0.295,151.0,347.0,0.435,0.439,108.0,150.0,0.72,41.0,134.0,175.0,286.0,54.0,27.0,147.0,117.0,665.0
22163,22163,2013.0,Greg Stiemsma,C,27.0,MIN,76.0,19.0,1209.0,10.5,0.498,0.0,0.248,5.6,19.5,12.3,3.9,1.9,5.8,16.1,13.6,,-0.3,2.0,1.7,0.069,,-5.1,3.7,-1.4,0.2,127.0,278.0,0.457,0.0,0.0,,127.0,278.0,0.457,0.457,53.0,69.0,0.768,61.0,200.0,261.0,30.0,44.0,90.0,59.0,184.0,307.0
22236,22236,2013.0,Derrick Williams,PF,21.0,MIN,78.0,56.0,1916.0,14.5,0.515,0.249,0.34600000000000003,5.6,20.6,12.8,4.2,1.2,1.5,10.0,23.5,,1.0,2.1,3.0,0.076,,-2.1,-1.5,-3.7,-0.8,338.0,786.0,0.43,65.0,196.0,0.332,273.0,590.0,0.46299999999999997,0.47100000000000003,192.0,272.0,0.706,96.0,334.0,430.0,46.0,44.0,37.0,101.0,127.0,933.0
