,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22872,22872,2015.0,Alexis Ajinca,C,26.0,NOP,68.0,8.0,957.0,19.9,0.595,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,,1.9,1.2,3.2,0.159,,-0.5,0.6,0.2,0.5,181.0,329.0,0.55,0.0,0.0,,181.0,329.0,0.55,0.55,81.0,99.0,0.818,104.0,211.0,315.0,47.0,21.0,51.0,69.0,151.0,443.0
22885,22885,2015.0,Ryan Anderson,PF,26.0,NOP,61.0,5.0,1675.0,15.6,0.524,0.49200000000000005,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,,2.6,0.9,3.5,0.1,,2.0,-3.1,-1.1,0.4,291.0,729.0,0.39899999999999997,122.0,359.0,0.34,169.0,370.0,0.457,0.483,129.0,151.0,0.8540000000000001,108.0,187.0,295.0,55.0,33.0,20.0,62.0,113.0,833.0
22892,22892,2015.0,Omer Asik,C,28.0,NOP,76.0,76.0,1982.0,15.5,0.545,0.0,0.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,,2.8,2.2,5.0,0.12,,-1.3,0.6,-0.7,0.6,213.0,412.0,0.517,0.0,0.0,,213.0,412.0,0.517,0.517,131.0,225.0,0.5820000000000001,244.0,504.0,748.0,72.0,29.0,54.0,95.0,144.0,557.0
22897,22897,2015.0,Luke Babbitt,SF,25.0,NOP,63.0,19.0,830.0,11.1,0.639,0.599,0.099,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,,1.1,0.5,1.6,0.092,,0.0,-1.4,-1.4,0.1,92.0,192.0,0.479,59.0,115.0,0.513,33.0,77.0,0.429,0.633,13.0,19.0,0.684,12.0,99.0,111.0,24.0,17.0,11.0,26.0,63.0,256.0
22983,22983,2015.0,Norris Cole,PG,26.0,NOP,28.0,2.0,683.0,12.6,0.52,0.294,0.139,0.2,8.3,4.2,21.2,1.2,0.8,13.3,20.6,,0.5,0.3,0.7,0.052000000000000005,,-0.5,-2.6,-3.1,-0.2,112.0,252.0,0.444,28.0,74.0,0.37799999999999995,84.0,178.0,0.47200000000000003,0.5,26.0,35.0,0.743,1.0,50.0,51.0,90.0,15.0,7.0,41.0,49.0,278.0
22997,22997,2015.0,Dante Cunningham,PF,27.0,NOP,66.0,27.0,1652.0,8.9,0.473,0.028999999999999998,0.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,,0.5,1.2,1.6,0.047,,-2.6,1.0,-1.6,0.2,155.0,339.0,0.457,1.0,10.0,0.1,154.0,329.0,0.46799999999999997,0.45899999999999996,29.0,47.0,0.617,70.0,186.0,256.0,50.0,46.0,37.0,35.0,101.0,340.0
23012,23012,2015.0,Anthony Davis,PF,21.0,NOP,68.0,68.0,2455.0,30.8,0.591,0.01,0.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,,9.9,4.2,14.0,0.27399999999999997,,4.2,3.0,7.1,5.7,642.0,1199.0,0.535,1.0,12.0,0.083,641.0,1187.0,0.54,0.536,371.0,461.0,0.805,173.0,523.0,696.0,149.0,100.0,200.0,95.0,141.0,1656.0
23027,23027,2015.0,Toney Douglas,SG,28.0,NOP,12.0,0.0,177.0,11.2,0.45,0.353,0.255,1.3,12.8,7.1,20.0,3.3,1.7,15.0,17.2,,0.0,0.2,0.2,0.046,,-2.1,0.8,-1.3,0.0,19.0,51.0,0.373,5.0,18.0,0.278,14.0,33.0,0.424,0.42200000000000004,8.0,13.0,0.615,2.0,20.0,22.0,24.0,11.0,4.0,10.0,20.0,51.0
23050,23050,2015.0,Tyreke Evans,SG,25.0,NOP,79.0,76.0,2690.0,17.7,0.508,0.195,0.25,3.5,14.1,8.8,32.7,2.0,1.0,16.0,26.1,,2.4,2.2,4.6,0.08199999999999999,,1.7,0.1,1.9,2.6,521.0,1165.0,0.447,69.0,227.0,0.304,452.0,938.0,0.48200000000000004,0.47700000000000004,202.0,291.0,0.6940000000000001,82.0,334.0,416.0,521.0,100.0,37.0,246.0,198.0,1313.0
23064,23064,2015.0,Jimmer Fredette,PG,25.0,NOP,50.0,0.0,509.0,9.8,0.479,0.289,0.271,1.8,7.1,4.5,17.2,1.5,0.3,15.1,19.6,,0.0,0.2,0.2,0.021,,-2.6,-2.9,-5.5,-0.4,63.0,166.0,0.38,9.0,48.0,0.188,54.0,118.0,0.45799999999999996,0.40700000000000003,43.0,45.0,0.956,8.0,32.0,40.0,58.0,15.0,2.0,33.0,43.0,178.0
23088,23088,2015.0,Eric Gordon,SG,26.0,NOP,61.0,60.0,2018.0,12.7,0.544,0.45399999999999996,0.192,1.6,7.4,4.5,17.6,1.3,0.5,14.0,19.8,,2.2,0.7,2.9,0.069,,1.4,-2.0,-0.6,0.7,285.0,694.0,0.41100000000000003,141.0,315.0,0.44799999999999995,144.0,379.0,0.38,0.512,107.0,133.0,0.805,28.0,131.0,159.0,229.0,50.0,14.0,122.0,145.0,818.0
23135,23135,2015.0,Jrue Holiday,PG,24.0,NOP,40.0,37.0,1303.0,18.8,0.522,0.253,0.142,2.8,9.0,5.9,34.9,2.5,1.3,13.8,23.1,,2.3,1.1,3.4,0.124,,3.0,-0.7,2.3,1.4,238.0,534.0,0.446,51.0,135.0,0.37799999999999995,187.0,399.0,0.469,0.493,65.0,76.0,0.855,32.0,103.0,135.0,274.0,63.0,23.0,91.0,110.0,592.0
23251,23251,2015.0,Gal Mekel,PG,26.0,NOP,4.0,0.0,43.0,0.5,0.15,0.15,0.0,0.0,2.6,1.3,42.2,2.4,0.0,9.1,23.3,,-0.2,0.0,-0.2,-0.23800000000000002,,-10.3,-6.3,-16.6,-0.2,3.0,20.0,0.15,0.0,3.0,0.0,3.0,17.0,0.17600000000000002,0.15,0.0,0.0,,0.0,1.0,1.0,13.0,2.0,0.0,2.0,1.0,6.0
23257,23257,2015.0,Darius Miller,SF,24.0,NOP,5.0,1.0,43.0,-5.1,0.14300000000000002,0.14300000000000002,0.0,0.0,2.6,1.3,6.1,1.2,0.0,12.5,8.5,,-0.1,0.0,-0.1,-0.122,,-8.4,-1.5,-9.9,-0.1,1.0,7.0,0.14300000000000002,0.0,1.0,0.0,1.0,6.0,0.16699999999999998,0.14300000000000002,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,8.0,2.0
23328,23328,2015.0,Quincy Pondexter,SF,26.0,NOP,45.0,28.0,1253.0,11.1,0.5920000000000001,0.5479999999999999,0.212,3.0,9.5,6.3,7.8,0.6,1.2,10.7,13.9,,1.9,0.4,2.3,0.08900000000000001,,1.3,-1.2,0.0,0.6,140.0,312.0,0.449,74.0,171.0,0.433,66.0,141.0,0.46799999999999997,0.5670000000000001,50.0,66.0,0.758,33.0,105.0,138.0,66.0,14.0,19.0,41.0,103.0,404.0
23357,23357,2015.0,Austin Rivers,SG,22.0,NOP,35.0,3.0,772.0,10.1,0.47200000000000003,0.225,0.32,1.8,8.2,5.0,16.7,1.2,0.7,10.6,16.7,,0.4,0.3,0.7,0.046,,-1.7,-1.7,-3.4,-0.3,86.0,222.0,0.387,14.0,50.0,0.28,72.0,172.0,0.419,0.419,53.0,71.0,0.746,12.0,56.0,68.0,87.0,18.0,7.0,30.0,65.0,239.0
23379,23379,2015.0,John Salmons,SF,35.0,NOP,21.0,0.0,270.0,5.1,0.42200000000000004,0.542,0.083,1.7,7.1,4.4,6.6,1.8,1.1,9.1,9.3,,0.0,0.1,0.1,0.017,,-2.7,-0.2,-2.9,-0.1,16.0,48.0,0.33299999999999996,8.0,26.0,0.308,8.0,22.0,0.364,0.41700000000000004,2.0,4.0,0.5,4.0,17.0,21.0,13.0,9.0,4.0,5.0,25.0,42.0
