,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1689,1689,1962.0,George Blaney,PG,22.0,NYK,36.0,,363.0,7.8,0.391,,0.12,,,,,,,,,,-0.4,0.3,-0.1,-0.013999999999999999,,,,,,54.0,142.0,0.38,,,,54.0,142.0,0.38,0.38,9.0,17.0,0.529,,,36.0,45.0,,,,34.0,117.0
1695,1695,1962.0,Cleveland Buckner,PF,23.0,NYK,62.0,,696.0,15.7,0.469,,0.36200000000000004,,,,,,,,,,0.6,0.7,1.3,0.087,,,,,,158.0,367.0,0.431,,,,158.0,367.0,0.431,0.431,83.0,133.0,0.624,,,236.0,39.0,,,,114.0,399.0
1696,1696,1962.0,Dave Budd,SF,23.0,NYK,79.0,,1370.0,11.6,0.483,,0.536,,,,,,,,,,1.2,1.1,2.3,0.081,,,,,,188.0,431.0,0.436,,,,188.0,431.0,0.436,0.436,138.0,231.0,0.597,,,345.0,86.0,,,,162.0,514.0
1697,1697,1962.0,Ed Burton,F,22.0,NYK,8.0,,28.0,12.6,0.47600000000000003,,0.28600000000000003,,,,,,,,,,0.0,0.0,0.0,0.075,,,,,,7.0,14.0,0.5,,,,7.0,14.0,0.5,0.5,1.0,4.0,0.25,,,5.0,1.0,,,,3.0,15.0
1698,1698,1962.0,Donnie Butcher,PG,25.0,NYK,47.0,,479.0,6.8,0.37200000000000005,,0.445,,,,,,,,,,-0.6,0.4,-0.3,-0.026000000000000002,,,,,,48.0,155.0,0.31,,,,48.0,155.0,0.31,0.31,42.0,69.0,0.609,,,79.0,51.0,,,,63.0,138.0
1701,1701,1962.0,Al Butler,PG,23.0,NYK,54.0,,1969.0,12.9,0.496,,0.243,,,,,,,,,,2.4,1.5,3.9,0.096,,,,,,336.0,725.0,0.46299999999999997,,,,336.0,725.0,0.46299999999999997,0.46299999999999997,124.0,176.0,0.705,,,324.0,201.0,,,,147.0,796.0
1724,1724,1962.0,Johnny Green,PF,28.0,NYK,80.0,,2789.0,15.8,0.47,,0.373,,,,,,,,,,2.1,3.0,5.1,0.08800000000000001,,,,,,507.0,1164.0,0.436,,,,507.0,1164.0,0.436,0.436,261.0,434.0,0.601,,,1066.0,191.0,,,,265.0,1275.0
1728,1728,1962.0,Richie Guerin*,SG,29.0,NYK,78.0,,3348.0,20.9,0.516,,0.402,,,,,,,,,,9.2,3.0,12.1,0.174,,,,,,839.0,1897.0,0.442,,,,839.0,1897.0,0.442,0.442,625.0,762.0,0.82,,,501.0,539.0,,,,299.0,2303.0
1738,1738,1962.0,Darrall Imhoff,C,23.0,NYK,76.0,,1481.0,9.1,0.41600000000000004,,0.28800000000000003,,,,,,,,,,-0.7,1.4,0.7,0.021,,,,,,186.0,482.0,0.386,,,,186.0,482.0,0.386,0.386,80.0,139.0,0.5760000000000001,,,470.0,82.0,,,,230.0,452.0
1744,1744,1962.0,Phil Jordon,C,28.0,NYK,76.0,,2195.0,9.8,0.409,,0.163,,,,,,,,,,-1.9,1.7,-0.2,-0.003,,,,,,403.0,1028.0,0.392,,,,403.0,1028.0,0.392,0.392,96.0,168.0,0.5710000000000001,,,482.0,156.0,,,,258.0,902.0
1746,1746,1962.0,Doug Kistler,F,23.0,NYK,5.0,,13.0,12.1,0.515,,0.667,,,,,,,,,,0.0,0.0,0.0,0.12300000000000001,,,,,,3.0,6.0,0.5,,,,3.0,6.0,0.5,0.5,2.0,4.0,0.5,,,1.0,0.0,,,,2.0,8.0
1758,1758,1962.0,Whitey Martin,SG,22.0,NYK,66.0,,1018.0,5.4,0.359,,0.188,,,,,,,,,,-1.3,0.8,-0.5,-0.022000000000000002,,,,,,95.0,292.0,0.325,,,,95.0,292.0,0.325,0.325,37.0,55.0,0.6729999999999999,,,158.0,115.0,,,,158.0,227.0
1768,1768,1962.0,Willie Naulls,SF,27.0,NYK,75.0,,2978.0,17.7,0.47,,0.253,,,,,,,,,,2.8,2.7,5.5,0.08900000000000001,,,,,,747.0,1798.0,0.415,,,,747.0,1798.0,0.415,0.415,383.0,455.0,0.8420000000000001,,,867.0,192.0,,,,260.0,1877.0
1796,1796,1962.0,Bill Smith,G-F,22.0,NYK,9.0,,83.0,5.7,0.315,,0.242,,,,,,,,,,-0.2,0.1,-0.2,-0.10099999999999999,,,,,,8.0,33.0,0.242,,,,8.0,33.0,0.242,0.242,7.0,8.0,0.875,,,16.0,7.0,,,,6.0,23.0
1798,1798,1962.0,Sam Stith,SG,24.0,NYK,32.0,,440.0,7.9,0.39399999999999996,,0.235,,,,,,,,,,-0.4,0.3,-0.1,-0.006,,,,,,59.0,162.0,0.364,,,,59.0,162.0,0.364,0.364,23.0,38.0,0.605,,,51.0,60.0,,,,55.0,141.0
