,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
13969,13969,1999.0,Nick Anderson,SF,31.0,ORL,47.0,39.0,1581.0,15.3,0.493,0.433,0.253,3.7,16.9,10.2,10.7,2.2,0.7,10.4,22.8,,1.3,2.6,3.9,0.11800000000000001,,1.0,0.3,1.3,1.3,253.0,640.0,0.395,96.0,277.0,0.34700000000000003,157.0,363.0,0.433,0.47,99.0,162.0,0.611,51.0,226.0,277.0,91.0,64.0,15.0,83.0,72.0,701.0
13975,13975,1999.0,B.J. Armstrong,PG,31.0,ORL,22.0,0.0,180.0,12.4,0.48200000000000004,0.156,0.244,0.6,14.4,7.4,31.8,2.7,0.0,23.1,16.3,,0.0,0.3,0.3,0.087,,-3.3,-0.2,-3.5,-0.1,19.0,45.0,0.42200000000000004,1.0,7.0,0.14300000000000002,18.0,38.0,0.474,0.433,9.0,11.0,0.818,1.0,22.0,23.0,34.0,9.0,0.0,15.0,15.0,48.0
13976,13976,1999.0,Darrell Armstrong,PG,30.0,ORL,50.0,15.0,1502.0,22.2,0.575,0.36200000000000004,0.341,4.0,10.0,7.0,40.8,3.9,0.2,20.8,22.9,,3.8,2.7,6.4,0.205,,5.1,0.8,5.9,3.0,230.0,522.0,0.441,69.0,189.0,0.365,161.0,333.0,0.483,0.507,161.0,178.0,0.904,53.0,127.0,180.0,335.0,108.0,4.0,158.0,90.0,690.0
13979,13979,1999.0,Isaac Austin,C,29.0,ORL,49.0,49.0,1259.0,12.0,0.457,0.015,0.34700000000000003,7.5,14.5,10.9,12.8,2.0,2.1,17.9,22.9,,-0.9,2.1,1.2,0.045,,-3.4,1.6,-1.8,0.1,185.0,453.0,0.408,2.0,7.0,0.28600000000000003,183.0,446.0,0.41,0.41100000000000003,105.0,157.0,0.669,83.0,154.0,237.0,89.0,47.0,35.0,114.0,125.0,477.0
14091,14091,1999.0,Michael Doleac,C,21.0,ORL,49.0,0.0,780.0,13.7,0.503,0.0,0.3,9.7,12.4,11.0,4.8,1.3,1.6,7.9,19.1,,1.2,1.1,2.2,0.138,,-1.5,-0.8,-2.3,-0.1,125.0,267.0,0.46799999999999997,0.0,0.0,,125.0,267.0,0.46799999999999997,0.46799999999999997,54.0,80.0,0.675,66.0,82.0,148.0,20.0,19.0,17.0,26.0,117.0,304.0
14134,14134,1999.0,Horace Grant,PF,33.0,ORL,50.0,50.0,1660.0,13.3,0.455,0.004,0.154,8.0,16.7,12.3,9.3,1.5,2.7,8.3,14.5,,1.4,2.7,4.1,0.11800000000000001,,-1.6,2.9,1.3,1.4,198.0,456.0,0.434,0.0,2.0,0.0,198.0,454.0,0.436,0.434,47.0,70.0,0.6709999999999999,117.0,234.0,351.0,90.0,46.0,60.0,44.0,99.0,443.0
14143,14143,1999.0,Anfernee Hardaway,SG,27.0,ORL,50.0,50.0,1944.0,16.7,0.488,0.195,0.294,4.3,12.8,8.5,25.1,3.1,0.9,15.6,22.4,,1.6,3.4,5.0,0.122,,1.3,2.3,3.6,2.8,301.0,717.0,0.42,40.0,140.0,0.28600000000000003,261.0,577.0,0.452,0.44799999999999995,149.0,211.0,0.706,74.0,210.0,284.0,266.0,111.0,23.0,150.0,111.0,791.0
14147,14147,1999.0,Matt Harpring,SF,22.0,ORL,50.0,22.0,1114.0,13.0,0.5329999999999999,0.078,0.447,9.0,13.4,11.2,7.1,1.5,0.4,16.0,18.6,,1.2,1.5,2.6,0.113,,-1.2,-0.2,-1.4,0.2,148.0,320.0,0.46299999999999997,10.0,25.0,0.4,138.0,295.0,0.46799999999999997,0.478,102.0,143.0,0.713,88.0,126.0,214.0,45.0,30.0,6.0,73.0,112.0,408.0
14203,14203,1999.0,Jonathan Kerner,C,24.0,ORL,1.0,0.0,5.0,-15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,,0.0,0.0,0.0,-0.177,,-12.2,-2.0,-14.2,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
14298,14298,1999.0,Kevin Ollie,PG,26.0,ORL,1.0,0.0,4.0,-2.8,0.266,0.0,2.0,0.0,29.5,14.5,0.0,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,-0.085,,-14.4,-7.1,-21.6,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
