,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6463,6463,1982.0,Mike Bantom,SF,30.0,PHI,43.0,1.0,979.0,12.7,0.5329999999999999,0.01,0.373,10.5,15.3,13.0,6.3,1.2,2.2,15.2,17.9,,0.6,1.3,1.9,0.092,,-1.2,0.4,-0.7,0.3,156.0,306.0,0.51,1.0,3.0,0.33299999999999996,155.0,303.0,0.512,0.511,67.0,114.0,0.588,87.0,139.0,226.0,46.0,25.0,37.0,64.0,133.0,380.0
6504,6504,1982.0,Maurice Cheeks,PG,25.0,PHI,79.0,79.0,2498.0,18.3,0.57,0.033,0.325,2.4,8.5,5.6,34.7,4.0,0.8,19.2,16.0,,4.6,4.0,8.6,0.166,,2.0,1.3,3.3,3.3,352.0,676.0,0.521,6.0,22.0,0.273,346.0,654.0,0.529,0.525,171.0,220.0,0.777,51.0,197.0,248.0,667.0,209.0,33.0,184.0,247.0,881.0
6519,6519,1982.0,Earl Cureton,PF,24.0,PHI,66.0,8.0,956.0,12.8,0.502,0.006999999999999999,0.307,11.1,20.3,15.9,4.4,1.5,1.6,11.2,17.0,,0.6,1.5,2.1,0.10300000000000001,,-2.1,-0.3,-2.4,-0.1,149.0,306.0,0.48700000000000004,0.0,2.0,0.0,149.0,304.0,0.49,0.48700000000000004,51.0,94.0,0.5429999999999999,90.0,180.0,270.0,32.0,31.0,27.0,44.0,142.0,349.0
6527,6527,1982.0,Darryl Dawkins,C,25.0,PHI,48.0,36.0,1124.0,15.0,0.601,0.005,0.447,7.1,22.8,15.3,6.7,0.8,2.8,17.9,19.8,,1.1,1.8,2.9,0.122,,-1.5,0.6,-0.9,0.3,207.0,367.0,0.564,0.0,2.0,0.0,207.0,365.0,0.5670000000000001,0.564,114.0,164.0,0.695,68.0,237.0,305.0,55.0,19.0,55.0,96.0,193.0,528.0
6542,6542,1982.0,Franklin Edwards,PG,22.0,PHI,42.0,3.0,291.0,13.7,0.46299999999999997,0.06,0.18,4.0,6.3,5.2,22.5,2.6,1.0,12.9,26.6,,-0.1,0.4,0.2,0.040999999999999995,,-1.9,-1.8,-3.7,-0.1,65.0,150.0,0.433,0.0,9.0,0.0,65.0,141.0,0.461,0.433,20.0,27.0,0.741,10.0,17.0,27.0,45.0,16.0,5.0,24.0,37.0,150.0
6546,6546,1982.0,Julius Erving*,SF,31.0,PHI,81.0,81.0,2789.0,25.9,0.593,0.008,0.377,9.3,13.0,11.2,18.1,2.8,2.9,11.4,28.1,,8.7,4.6,13.3,0.22899999999999998,,5.6,2.1,7.8,6.9,780.0,1428.0,0.546,3.0,11.0,0.273,777.0,1417.0,0.5479999999999999,0.547,411.0,539.0,0.763,220.0,337.0,557.0,319.0,161.0,141.0,214.0,229.0,1974.0
6592,6592,1982.0,Lionel Hollins,PG,28.0,PHI,81.0,81.0,2257.0,12.5,0.508,0.02,0.23600000000000002,1.8,7.3,4.7,18.9,2.2,0.5,14.2,18.9,,0.9,2.5,3.4,0.07200000000000001,,-1.1,-0.3,-1.4,0.3,380.0,797.0,0.47700000000000004,2.0,16.0,0.125,378.0,781.0,0.484,0.478,132.0,188.0,0.7020000000000001,35.0,152.0,187.0,316.0,103.0,20.0,146.0,198.0,894.0
6614,6614,1982.0,Ollie Johnson,SF,32.0,PHI,26.0,0.0,150.0,12.4,0.534,0.055999999999999994,0.13,5.5,10.8,8.3,9.1,4.1,1.2,18.6,19.5,,0.0,0.3,0.2,0.076,,-2.1,1.4,-0.8,0.0,27.0,54.0,0.5,1.0,3.0,0.33299999999999996,26.0,51.0,0.51,0.509,6.0,7.0,0.857,7.0,15.0,22.0,10.0,13.0,3.0,13.0,28.0,61.0
6623,6623,1982.0,Bobby Jones,PF,30.0,PHI,76.0,73.0,2181.0,19.3,0.62,0.004,0.452,5.9,14.1,10.1,12.0,2.2,3.0,14.1,19.6,,4.8,3.4,8.2,0.18100000000000002,,2.0,2.2,4.2,3.4,416.0,737.0,0.564,0.0,3.0,0.0,416.0,734.0,0.5670000000000001,0.564,263.0,333.0,0.79,109.0,284.0,393.0,189.0,99.0,112.0,145.0,211.0,1095.0
6624,6624,1982.0,Caldwell Jones,C,31.0,PHI,81.0,47.0,2446.0,11.3,0.5710000000000001,0.006,0.47100000000000003,7.9,24.0,16.3,5.0,0.7,3.4,21.6,12.2,,1.1,4.1,5.2,0.102,,-2.3,2.5,0.2,1.3,231.0,465.0,0.49700000000000005,0.0,3.0,0.0,231.0,462.0,0.5,0.49700000000000005,179.0,219.0,0.8170000000000001,164.0,544.0,708.0,100.0,38.0,146.0,155.0,301.0,641.0
6690,6690,1982.0,Steve Mix,SF,34.0,PHI,75.0,0.0,1235.0,15.8,0.57,0.01,0.431,8.8,11.6,10.3,10.1,1.6,0.8,12.4,18.3,,2.3,1.4,3.7,0.14400000000000002,,0.7,-0.3,0.3,0.7,202.0,399.0,0.506,1.0,4.0,0.25,201.0,395.0,0.509,0.508,136.0,172.0,0.7909999999999999,92.0,133.0,225.0,93.0,42.0,17.0,67.0,86.0,541.0
6728,6728,1982.0,Clint Richardson,SG,25.0,PHI,77.0,0.0,1040.0,9.8,0.503,0.006,0.284,6.2,6.5,6.4,13.5,1.7,0.5,18.5,17.1,,0.1,1.0,1.0,0.048,,-2.2,-0.6,-2.9,-0.2,140.0,310.0,0.452,2.0,2.0,1.0,138.0,308.0,0.44799999999999995,0.455,69.0,88.0,0.784,55.0,63.0,118.0,109.0,36.0,9.0,79.0,109.0,351.0
6774,6774,1982.0,Andrew Toney,SG,24.0,PHI,77.0,1.0,1909.0,17.2,0.5720000000000001,0.06,0.313,2.7,5.1,4.0,23.1,1.6,0.5,16.1,29.0,,2.3,1.7,4.0,0.1,,1.5,-2.7,-1.2,0.4,511.0,979.0,0.522,25.0,59.0,0.424,486.0,920.0,0.528,0.535,227.0,306.0,0.742,43.0,91.0,134.0,283.0,64.0,17.0,214.0,269.0,1274.0
