,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16016,16016,2003.0,Derek Anderson,PG,28.0,POR,76.0,76.0,2556.0,16.9,0.556,0.39799999999999996,0.32299999999999995,2.5,10.0,6.2,20.7,1.9,0.5,11.9,19.5,,5.9,2.2,8.1,0.153,,3.1,-0.6,2.5,2.9,355.0,832.0,0.42700000000000005,116.0,331.0,0.35,239.0,501.0,0.47700000000000004,0.496,231.0,269.0,0.8590000000000001,53.0,211.0,264.0,325.0,90.0,16.0,128.0,141.0,1057.0
16050,16050,2003.0,Ruben Boumtje-Boumtje,C,24.0,POR,2.0,0.0,5.0,18.4,0.0,0.0,0.0,24.2,0.0,12.1,26.6,10.7,0.0,0.0,9.2,,0.0,0.0,0.0,0.114,,1.8,8.0,9.8,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16110,16110,2003.0,Antonio Daniels,SG,27.0,POR,67.0,2.0,872.0,13.3,0.5720000000000001,0.317,0.409,1.5,8.4,5.0,14.9,2.0,0.8,12.7,13.3,,1.6,0.8,2.3,0.128,,-0.3,-0.7,-0.9,0.2,84.0,186.0,0.452,18.0,59.0,0.305,66.0,127.0,0.52,0.5,65.0,76.0,0.855,11.0,61.0,72.0,85.0,33.0,9.0,32.0,43.0,251.0
16113,16113,2003.0,Dale Davis,C,33.0,POR,78.0,78.0,2282.0,14.5,0.5660000000000001,0.0,0.379,12.3,17.5,14.9,6.4,1.2,2.3,12.2,11.8,,4.3,2.6,6.9,0.145,,0.6,1.8,2.4,2.5,237.0,438.0,0.541,0.0,0.0,,237.0,438.0,0.541,0.541,105.0,166.0,0.633,233.0,331.0,564.0,94.0,51.0,70.0,71.0,189.0,579.0
16128,16128,2003.0,Chris Dudley,C,37.0,POR,3.0,0.0,11.0,-1.7,0.0,0.0,0.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,4.2,,0.0,0.0,0.0,0.0,,-3.8,-3.1,-6.9,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
16287,16287,2003.0,Jeff McInnis,PG,28.0,POR,75.0,1.0,1311.0,10.0,0.47700000000000004,0.083,0.158,2.0,6.9,4.5,21.3,0.9,0.1,14.2,18.6,,0.5,0.6,1.1,0.04,,-2.5,-2.7,-5.1,-1.0,188.0,423.0,0.444,6.0,35.0,0.171,182.0,388.0,0.469,0.452,50.0,67.0,0.746,22.0,75.0,97.0,170.0,21.0,2.0,75.0,117.0,432.0
16344,16344,2003.0,Ruben Patterson,SF,27.0,POR,78.0,17.0,1655.0,14.5,0.53,0.039,0.426,8.8,10.5,9.6,10.2,2.4,1.3,16.0,20.4,,1.4,1.8,3.2,0.09300000000000001,,-0.6,0.5,-0.1,0.8,254.0,516.0,0.49200000000000005,3.0,20.0,0.15,251.0,496.0,0.506,0.495,138.0,220.0,0.627,120.0,144.0,264.0,101.0,73.0,29.0,117.0,161.0,649.0
16353,16353,2003.0,Scottie Pippen*,SF,37.0,POR,64.0,58.0,1911.0,15.3,0.52,0.223,0.248,3.6,14.0,8.8,24.3,3.0,1.0,19.9,20.0,,1.2,2.6,3.8,0.095,,0.3,1.6,2.0,1.9,265.0,597.0,0.444,38.0,133.0,0.28600000000000003,227.0,464.0,0.489,0.47600000000000003,121.0,148.0,0.818,57.0,221.0,278.0,285.0,105.0,25.0,164.0,149.0,689.0
16364,16364,2003.0,Zach Randolph,PF,21.0,POR,77.0,11.0,1301.0,19.9,0.555,0.01,0.313,12.9,18.9,15.9,5.7,1.7,0.8,9.6,23.0,,3.2,1.6,4.8,0.177,,0.6,-1.8,-1.1,0.3,264.0,515.0,0.513,0.0,5.0,0.0,264.0,510.0,0.518,0.513,122.0,161.0,0.758,139.0,204.0,343.0,41.0,42.0,14.0,62.0,141.0,650.0
16385,16385,2003.0,Arvydas Sabonis*,C,38.0,POR,78.0,1.0,1209.0,20.5,0.5489999999999999,0.017,0.45399999999999996,8.8,24.7,16.7,19.3,2.7,3.1,14.8,19.4,,2.6,2.3,4.9,0.196,,0.7,3.4,4.1,1.9,172.0,361.0,0.47600000000000003,3.0,6.0,0.5,169.0,355.0,0.47600000000000003,0.48100000000000004,129.0,164.0,0.787,88.0,247.0,335.0,142.0,61.0,49.0,75.0,141.0,476.0
16403,16403,2003.0,Charles Smith,SG,27.0,POR,3.0,0.0,13.0,5.9,0.434,0.25,1.0,0.0,0.0,0.0,11.4,4.1,0.0,14.8,24.0,,0.0,0.0,0.0,0.006999999999999999,,-5.6,-4.4,-10.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.33299999999999996,0.25,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0
16414,16414,2003.0,Damon Stoudamire,PG,29.0,POR,59.0,27.0,1315.0,12.1,0.46,0.275,0.161,3.7,10.6,7.1,24.5,1.6,0.3,15.6,18.5,,0.6,1.1,1.6,0.059000000000000004,,-0.9,-1.0,-1.9,0.0,156.0,415.0,0.376,44.0,114.0,0.386,112.0,301.0,0.37200000000000005,0.429,53.0,67.0,0.7909999999999999,40.0,115.0,155.0,204.0,39.0,6.0,82.0,67.0,409.0
16449,16449,2003.0,Rasheed Wallace,PF,28.0,POR,74.0,74.0,2684.0,18.5,0.552,0.281,0.249,5.1,19.6,12.3,10.2,1.4,2.2,10.3,23.3,,5.1,3.4,8.5,0.151,,2.1,0.4,2.4,3.0,515.0,1094.0,0.47100000000000003,110.0,307.0,0.358,405.0,787.0,0.515,0.521,200.0,272.0,0.735,113.0,435.0,548.0,153.0,70.0,77.0,140.0,223.0,1340.0
16454,16454,2003.0,Bonzi Wells,SG,26.0,POR,75.0,65.0,2396.0,15.7,0.505,0.131,0.316,4.9,14.9,9.9,18.0,2.8,0.6,16.0,25.9,,0.9,3.1,4.0,0.08,,-0.1,0.8,0.7,1.6,437.0,990.0,0.441,38.0,130.0,0.292,399.0,860.0,0.46399999999999997,0.461,226.0,313.0,0.722,98.0,296.0,394.0,246.0,123.0,18.0,215.0,220.0,1138.0
16484,16484,2003.0,Qyntel Woods,PF,21.0,POR,53.0,0.0,334.0,11.2,0.505,0.076,0.16899999999999998,5.4,13.7,9.6,6.2,2.4,0.2,15.4,20.7,,-0.1,0.4,0.2,0.034,,-3.6,-1.4,-5.0,-0.3,59.0,118.0,0.5,3.0,9.0,0.33299999999999996,56.0,109.0,0.514,0.513,7.0,20.0,0.35,15.0,38.0,53.0,12.0,15.0,1.0,23.0,36.0,128.0
