,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
13962,13962,1999.0,Tariq Abdul-Wahad,SG,24.0,SAC,49.0,49.0,1205.0,11.8,0.486,0.052000000000000005,0.33399999999999996,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,,0.5,0.9,1.4,0.057999999999999996,,-2.4,-0.4,-2.8,-0.2,177.0,407.0,0.435,6.0,21.0,0.28600000000000003,171.0,386.0,0.44299999999999995,0.442,94.0,136.0,0.691,72.0,114.0,186.0,50.0,50.0,16.0,70.0,121.0,454.0
13966,13966,1999.0,Peter Aluma,C,25.0,SAC,2.0,0.0,5.0,3.1,0.5,0.0,0.0,21.2,21.0,21.1,0.0,10.0,12.7,50.0,34.1,,0.0,0.0,0.0,-0.20600000000000002,,-15.2,8.2,-7.1,0.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0
13989,13989,1999.0,Jon Barry,SG,29.0,SAC,43.0,0.0,736.0,15.9,0.609,0.5720000000000001,0.609,3.6,10.1,6.9,21.6,3.6,0.4,21.2,12.9,,1.6,0.8,2.4,0.156,,1.4,0.7,2.1,0.8,59.0,138.0,0.428,24.0,79.0,0.304,35.0,59.0,0.593,0.514,71.0,84.0,0.845,25.0,71.0,96.0,112.0,53.0,5.0,47.0,61.0,213.0
14084,14084,1999.0,Terry Dehere,PG,27.0,SAC,4.0,0.0,20.0,10.7,0.409,0.455,0.0,10.6,0.0,5.3,8.5,5.0,0.0,15.4,27.7,,0.0,0.0,0.0,-0.05,,-1.6,-2.0,-3.6,0.0,4.0,11.0,0.364,1.0,5.0,0.2,3.0,6.0,0.5,0.409,0.0,0.0,,2.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,9.0
14090,14090,1999.0,Vlade Divac,C,30.0,SAC,50.0,50.0,1761.0,18.0,0.5329999999999999,0.077,0.45799999999999996,8.4,21.5,15.0,19.2,1.2,1.8,16.4,19.4,,3.1,2.1,5.2,0.142,,0.8,1.8,2.7,2.1,262.0,557.0,0.47,11.0,43.0,0.256,251.0,514.0,0.488,0.48,179.0,255.0,0.7020000000000001,140.0,361.0,501.0,215.0,44.0,51.0,131.0,166.0,714.0
14119,14119,1999.0,Lawrence Funderburke,PF,28.0,SAC,47.0,2.0,936.0,18.5,0.597,0.017,0.401,11.4,13.6,12.5,5.3,1.2,1.6,12.9,18.4,,2.4,0.7,3.1,0.159,,0.6,-1.0,-0.4,0.4,167.0,299.0,0.5589999999999999,1.0,5.0,0.2,166.0,294.0,0.565,0.56,85.0,120.0,0.708,101.0,121.0,222.0,30.0,22.0,23.0,52.0,77.0,420.0
14152,14152,1999.0,Michael Hawkins,PG,26.0,SAC,24.0,0.0,203.0,7.2,0.436,0.475,0.075,5.2,7.8,6.5,18.5,0.7,0.3,23.9,11.4,,0.0,0.1,0.0,0.011000000000000001,,-3.3,-1.9,-5.2,-0.2,14.0,40.0,0.35,5.0,19.0,0.263,9.0,21.0,0.429,0.413,3.0,3.0,1.0,10.0,15.0,25.0,27.0,3.0,1.0,13.0,14.0,36.0
14184,14184,1999.0,Jerome James,C,23.0,SAC,16.0,0.0,42.0,11.5,0.41,0.0,0.5,15.1,27.5,21.3,4.2,2.4,9.1,23.5,38.9,,-0.2,0.1,-0.1,-0.13699999999999998,,-12.5,0.3,-12.2,-0.1,9.0,24.0,0.375,0.0,0.0,,9.0,24.0,0.375,0.375,6.0,12.0,0.5,6.0,11.0,17.0,1.0,2.0,6.0,9.0,11.0,24.0
14247,14247,1999.0,Vernon Maxwell,SG,33.0,SAC,46.0,1.0,1007.0,12.6,0.522,0.5489999999999999,0.271,1.4,7.5,4.5,12.1,1.5,0.2,12.4,22.8,,1.1,0.5,1.6,0.07400000000000001,,0.8,-3.1,-2.3,-0.1,164.0,421.0,0.39,80.0,231.0,0.34600000000000003,84.0,190.0,0.442,0.485,84.0,114.0,0.737,13.0,72.0,85.0,76.0,30.0,3.0,67.0,111.0,492.0
14265,14265,1999.0,Oliver Miller,C,28.0,SAC,4.0,0.0,35.0,8.3,0.455,0.0,0.0,21.2,3.0,12.1,0.0,0.0,3.6,26.7,18.3,,0.0,0.0,0.0,-0.052000000000000005,,-5.9,-4.3,-10.2,-0.1,5.0,11.0,0.455,0.0,0.0,,5.0,11.0,0.455,0.455,0.0,0.0,,7.0,1.0,8.0,0.0,0.0,2.0,4.0,3.0,10.0
14297,14297,1999.0,Kevin Ollie,PG,26.0,SAC,7.0,0.0,68.0,4.1,0.395,0.0,0.385,0.0,9.3,4.7,6.1,2.2,0.9,16.5,11.4,,-0.1,0.1,0.0,-0.011000000000000001,,-6.7,0.3,-6.4,-0.1,4.0,13.0,0.308,0.0,0.0,,4.0,13.0,0.308,0.308,4.0,5.0,0.8,0.0,6.0,6.0,3.0,3.0,1.0,3.0,8.0,12.0
14325,14325,1999.0,Scot Pollard,C,23.0,SAC,16.0,5.0,259.0,18.0,0.5760000000000001,0.0,0.377,15.5,17.8,16.7,2.3,1.5,4.4,6.6,12.5,,0.7,0.3,1.1,0.2,,-0.1,0.7,0.6,0.2,33.0,61.0,0.541,0.0,0.0,,33.0,61.0,0.541,0.541,16.0,23.0,0.696,38.0,44.0,82.0,4.0,8.0,18.0,5.0,41.0,82.0
14398,14398,1999.0,Peja Stojakovic,SF,21.0,SAC,48.0,1.0,1025.0,13.5,0.496,0.47700000000000004,0.198,4.4,10.2,7.4,10.8,2.0,0.4,11.6,19.1,,1.0,0.7,1.7,0.081,,0.2,-1.2,-1.0,0.2,141.0,373.0,0.37799999999999995,57.0,178.0,0.32,84.0,195.0,0.431,0.45399999999999996,63.0,74.0,0.851,43.0,100.0,143.0,72.0,41.0,7.0,53.0,43.0,402.0
14432,14432,1999.0,Chris Webber,PF,25.0,SAC,42.0,42.0,1719.0,19.5,0.491,0.044000000000000004,0.22399999999999998,9.2,24.2,16.7,17.8,1.7,3.3,14.8,24.9,,1.0,2.7,3.6,0.102,,0.0,3.0,3.0,2.1,378.0,778.0,0.486,4.0,34.0,0.11800000000000001,374.0,744.0,0.503,0.488,79.0,174.0,0.45399999999999996,149.0,396.0,545.0,173.0,60.0,89.0,148.0,145.0,839.0
14450,14450,1999.0,Jason Williams,PG,23.0,SAC,50.0,50.0,1805.0,12.8,0.483,0.524,0.17,0.8,8.1,4.5,25.2,2.6,0.0,17.7,19.1,,0.7,1.3,2.1,0.055,,0.4,-1.0,-0.6,0.6,231.0,617.0,0.374,100.0,323.0,0.31,131.0,294.0,0.446,0.455,79.0,105.0,0.752,14.0,139.0,153.0,299.0,95.0,1.0,143.0,91.0,641.0
