,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15558,15558,2002.0,Bruce Bowen,SF,30.0,SAS,59.0,59.0,1699.0,8.2,0.46799999999999997,0.37200000000000005,0.24100000000000002,2.9,7.9,5.5,8.1,1.9,1.0,13.0,13.9,,-0.3,2.2,1.9,0.054000000000000006,,-1.5,1.5,-0.1,0.8,155.0,398.0,0.389,56.0,148.0,0.37799999999999995,99.0,250.0,0.396,0.46,46.0,96.0,0.479,42.0,120.0,162.0,88.0,62.0,25.0,66.0,116.0,412.0
15579,15579,2002.0,Mark Bryant,PF,36.0,SAS,30.0,3.0,206.0,11.5,0.478,0.0,0.145,14.4,10.3,12.3,7.9,1.8,0.7,9.3,14.6,,0.3,0.3,0.6,0.133,,-0.5,0.5,-0.1,0.1,25.0,55.0,0.455,0.0,0.0,,25.0,55.0,0.455,0.455,6.0,8.0,0.75,25.0,19.0,44.0,10.0,7.0,2.0,6.0,38.0,56.0
15620,15620,2002.0,Antonio Daniels,SG,26.0,SAS,82.0,13.0,2175.0,13.4,0.534,0.32,0.34299999999999997,1.3,7.8,4.7,17.2,1.2,0.4,9.0,16.6,,3.7,2.3,5.9,0.131,,0.8,-0.7,0.2,1.2,269.0,612.0,0.44,57.0,196.0,0.29100000000000004,212.0,416.0,0.51,0.486,158.0,210.0,0.752,23.0,153.0,176.0,228.0,48.0,12.0,70.0,104.0,753.0
15643,15643,2002.0,Tim Duncan,PF,25.0,SAS,82.0,82.0,3329.0,27.0,0.5760000000000001,0.006999999999999999,0.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,,10.7,7.1,17.8,0.257,,3.9,3.8,7.6,8.1,764.0,1504.0,0.508,1.0,10.0,0.1,763.0,1494.0,0.511,0.508,560.0,701.0,0.799,268.0,774.0,1042.0,307.0,61.0,203.0,263.0,217.0,2089.0
15650,15650,2002.0,Danny Ferry,SF,35.0,SAS,50.0,2.0,799.0,11.2,0.594,0.5589999999999999,0.203,2.2,10.4,6.5,9.4,1.1,0.8,10.2,12.5,,1.4,0.9,2.3,0.14,,0.6,0.0,0.6,0.5,76.0,177.0,0.429,43.0,99.0,0.434,33.0,78.0,0.423,0.551,34.0,36.0,0.9440000000000001,15.0,75.0,90.0,48.0,16.0,9.0,22.0,70.0,229.0
15697,15697,2002.0,Jason Hart,PG,23.0,SAS,10.0,0.0,92.0,13.5,0.601,0.105,0.316,5.2,10.9,8.1,20.9,4.1,0.8,27.0,15.0,,0.1,0.2,0.3,0.142,,-0.8,2.7,1.9,0.1,10.0,19.0,0.526,0.0,2.0,0.0,10.0,17.0,0.588,0.526,6.0,6.0,1.0,4.0,9.0,13.0,12.0,7.0,1.0,8.0,16.0,26.0
15730,15730,2002.0,Stephen Jackson,SF,23.0,SAS,23.0,1.0,227.0,7.9,0.452,0.396,0.187,1.6,11.3,6.6,8.3,3.5,0.9,18.9,24.9,,-0.5,0.4,-0.1,-0.024,,-4.7,0.2,-4.5,-0.1,34.0,91.0,0.374,9.0,36.0,0.25,25.0,55.0,0.455,0.423,12.0,17.0,0.706,3.0,23.0,26.0,11.0,15.0,3.0,23.0,29.0,89.0
15796,15796,2002.0,Amal McCaskill,C,28.0,SAS,27.0,0.0,153.0,10.2,0.43,0.0,0.531,12.4,14.5,13.5,4.3,2.1,4.6,18.8,22.6,,-0.3,0.3,0.0,0.01,,-6.2,1.4,-4.8,-0.1,20.0,49.0,0.408,0.0,0.0,,20.0,49.0,0.408,0.408,12.0,26.0,0.462,16.0,20.0,36.0,4.0,6.0,10.0,14.0,23.0,52.0
15861,15861,2002.0,Tony Parker,PG,19.0,SAS,77.0,72.0,2267.0,11.7,0.49700000000000005,0.29600000000000004,0.25,1.7,8.0,5.0,23.9,2.1,0.2,17.5,17.7,,0.8,2.9,3.8,0.08,,-0.5,0.1,-0.4,0.9,268.0,639.0,0.419,61.0,189.0,0.32299999999999995,207.0,450.0,0.46,0.467,108.0,160.0,0.675,33.0,164.0,197.0,334.0,89.0,7.0,151.0,166.0,705.0
15862,15862,2002.0,Cherokee Parks,C,29.0,SAS,42.0,1.0,234.0,7.6,0.364,0.0,0.096,12.2,16.2,14.3,7.1,1.6,2.4,13.9,20.0,,-0.4,0.4,0.0,-0.005,,-6.0,0.7,-5.3,-0.2,30.0,83.0,0.361,0.0,0.0,,30.0,83.0,0.361,0.361,3.0,8.0,0.375,24.0,34.0,58.0,10.0,7.0,8.0,14.0,34.0,63.0
15875,15875,2002.0,Terry Porter,PG,38.0,SAS,72.0,0.0,1294.0,13.9,0.5579999999999999,0.442,0.259,1.1,13.1,7.3,25.2,1.9,0.9,19.2,15.9,,1.6,1.9,3.5,0.131,,0.2,0.6,0.8,0.9,136.0,321.0,0.424,59.0,142.0,0.415,77.0,179.0,0.43,0.516,68.0,83.0,0.8190000000000001,12.0,152.0,164.0,205.0,45.0,16.0,85.0,89.0,399.0
15899,15899,2002.0,David Robinson*,C,36.0,SAS,78.0,78.0,2303.0,20.3,0.562,0.0,0.588,9.9,22.0,16.2,7.0,2.0,4.3,10.9,19.2,,5.0,5.1,10.1,0.21100000000000002,,0.4,3.5,3.9,3.4,341.0,672.0,0.507,0.0,0.0,,341.0,672.0,0.507,0.507,269.0,395.0,0.6809999999999999,191.0,456.0,647.0,94.0,86.0,140.0,104.0,193.0,951.0
15911,15911,2002.0,Malik Rose,PF,27.0,SAS,82.0,1.0,1725.0,16.4,0.517,0.019,0.406,11.9,20.6,16.4,6.3,2.2,1.7,15.8,23.9,,1.0,3.4,4.4,0.12300000000000001,,-2.0,0.8,-1.2,0.3,293.0,633.0,0.46299999999999997,1.0,12.0,0.083,292.0,621.0,0.47,0.46399999999999997,185.0,257.0,0.72,172.0,320.0,492.0,61.0,70.0,42.0,140.0,208.0,772.0
15927,15927,2002.0,Charles Smith,SG,26.0,SAS,60.0,22.0,1141.0,13.2,0.483,0.306,0.152,3.5,9.7,6.7,12.2,2.4,2.7,11.4,21.0,,0.1,1.9,2.0,0.085,,-1.0,1.3,0.3,0.7,182.0,428.0,0.425,35.0,131.0,0.267,147.0,297.0,0.495,0.466,42.0,65.0,0.6459999999999999,34.0,99.0,133.0,80.0,52.0,44.0,59.0,114.0,441.0
15933,15933,2002.0,Steve Smith,SG,32.0,SAS,77.0,76.0,2211.0,13.9,0.588,0.361,0.265,2.4,7.4,5.0,11.5,1.3,0.5,12.4,18.3,,4.0,2.4,6.4,0.139,,1.7,-0.5,1.3,1.8,310.0,682.0,0.455,116.0,246.0,0.47200000000000003,194.0,436.0,0.445,0.54,159.0,181.0,0.878,45.0,148.0,193.0,151.0,54.0,15.0,108.0,158.0,895.0
