,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18756,18756,2008.0,Morris Almond,SG,22.0,UTA,9.0,0.0,39.0,2.0,0.368,0.267,0.4,0.0,6.2,3.1,10.5,1.3,0.0,10.2,22.5,,-0.1,0.0,-0.1,-0.081,,-6.9,-4.0,-11.0,-0.1,4.0,15.0,0.267,1.0,4.0,0.25,3.0,11.0,0.273,0.3,4.0,6.0,0.667,0.0,2.0,2.0,3.0,1.0,0.0,2.0,5.0,13.0
18803,18803,2008.0,Carlos Boozer,PF,26.0,UTA,81.0,81.0,2827.0,21.9,0.581,0.001,0.303,8.6,27.7,18.2,14.2,1.8,1.2,12.5,26.6,,5.9,4.3,10.2,0.17300000000000001,,1.9,1.3,3.2,3.7,709.0,1297.0,0.547,0.0,1.0,0.0,709.0,1296.0,0.547,0.547,290.0,393.0,0.738,197.0,647.0,844.0,233.0,100.0,41.0,210.0,293.0,1708.0
18810,18810,2008.0,Ronnie Brewer,SG,22.0,UTA,76.0,76.0,2088.0,18.4,0.612,0.079,0.405,5.7,7.0,6.4,9.7,3.2,0.7,8.5,17.5,,5.4,2.4,7.8,0.17800000000000002,,3.0,0.9,3.9,3.1,354.0,634.0,0.5579999999999999,11.0,50.0,0.22,343.0,584.0,0.5870000000000001,0.5670000000000001,195.0,257.0,0.759,97.0,121.0,218.0,134.0,129.0,19.0,69.0,110.0,914.0
18843,18843,2008.0,Jarron Collins,C,29.0,UTA,70.0,9.0,702.0,6.1,0.515,0.012,0.902,7.0,13.1,10.1,6.8,0.7,0.7,16.1,8.7,,0.5,0.5,1.0,0.07,,-2.3,0.1,-2.2,0.0,36.0,82.0,0.439,0.0,1.0,0.0,36.0,81.0,0.444,0.439,46.0,74.0,0.622,40.0,76.0,116.0,37.0,10.0,6.0,22.0,106.0,118.0
18909,18909,2008.0,Kyrylo Fesenko,C,21.0,UTA,9.0,0.0,70.0,4.0,0.39399999999999996,0.0,0.25,24.6,19.0,21.8,3.8,0.0,3.5,31.1,16.5,,-0.1,0.1,0.0,-0.031,,-5.3,-0.7,-6.0,-0.1,6.0,16.0,0.375,0.0,0.0,,6.0,16.0,0.375,0.375,2.0,4.0,0.5,14.0,11.0,25.0,2.0,0.0,3.0,8.0,19.0,14.0
18937,18937,2008.0,Gordan Giricek,SG,30.0,UTA,22.0,0.0,279.0,7.0,0.46399999999999997,0.33299999999999996,0.01,2.7,10.9,6.8,8.4,2.4,0.3,17.0,19.8,,-0.4,0.3,-0.1,-0.022000000000000002,,-3.7,-1.0,-4.7,-0.2,41.0,102.0,0.402,12.0,34.0,0.353,29.0,68.0,0.426,0.461,1.0,1.0,1.0,6.0,25.0,31.0,16.0,13.0,1.0,21.0,24.0,95.0
18964,18964,2008.0,Matt Harpring,SF,31.0,UTA,76.0,0.0,1374.0,14.1,0.551,0.021,0.43200000000000005,8.6,12.7,10.7,9.0,1.7,0.8,14.4,21.5,,1.4,1.4,2.8,0.096,,-0.8,-0.7,-1.5,0.2,237.0,474.0,0.5,2.0,10.0,0.2,235.0,464.0,0.506,0.502,146.0,205.0,0.7120000000000001,96.0,144.0,240.0,82.0,45.0,14.0,95.0,162.0,622.0
18972,18972,2008.0,Jason Hart,PG,29.0,UTA,57.0,0.0,606.0,8.0,0.413,0.172,0.25,1.0,10.0,5.5,19.3,2.5,0.4,12.3,16.8,,-0.2,0.7,0.4,0.033,,-3.6,-0.6,-4.2,-0.3,58.0,180.0,0.322,11.0,31.0,0.355,47.0,149.0,0.315,0.353,38.0,45.0,0.8440000000000001,5.0,50.0,55.0,86.0,30.0,3.0,28.0,75.0,165.0
19058,19058,2008.0,Andrei Kirilenko,SF,26.0,UTA,72.0,72.0,2217.0,17.2,0.603,0.213,0.47200000000000003,6.7,11.9,9.3,18.2,2.0,4.0,17.6,16.1,,4.3,2.8,7.1,0.154,,2.4,3.0,5.4,4.1,275.0,544.0,0.506,44.0,116.0,0.379,231.0,428.0,0.54,0.546,198.0,257.0,0.77,121.0,218.0,339.0,285.0,86.0,109.0,140.0,165.0,792.0
19063,19063,2008.0,Kyle Korver,SG,26.0,UTA,50.0,0.0,1075.0,14.2,0.629,0.54,0.276,1.0,10.1,5.6,9.3,1.1,1.7,10.7,18.2,,2.3,0.9,3.2,0.141,,2.4,-1.3,1.1,0.8,165.0,348.0,0.474,73.0,188.0,0.38799999999999996,92.0,160.0,0.575,0.579,88.0,96.0,0.917,9.0,90.0,99.0,68.0,22.0,23.0,47.0,125.0,491.0
